"var","categoria","Totalmente seguro","Bastante seguro","Algo seguro","Para nada seguro"
"P05","Mucho",0.433,0.199,0.258,0.173
"P05","Bastante",0.261,0.299,0.137,0.119
"P05","Poco",0.131,0.336,0.381,0.179
"P05","Nada",0.154,0.121,0.178,0.398
"P05","No sabe",0.021,0.045,0.046,0.131
"P06","Siempre",0.245,0.159,0.041,0.103
"P06","Casi siempre",0.303,0.252,0.25,0.141
"P06","Casi nunca",0.229,0.377,0.444,0.302
"P06","Nunca, pero esta es una excepción",0.223,0.212,0.265,0.454
"P09","Unión por la Patria",0.472,0.271,0.207,0.083
"P09","Juntos por el Cambio",0.257,0.357,0.255,0.158
"P09","De los Liberales libertarios",0.129,0.118,0.218,0.026
"P09","De la Izquierda",0.023,0.085,0.046,0.094
"P09","Hacemos por nuestro pais",0.029,0.032,0.022,0.041
"P09","Otro",0.028,0.031,0.055,0.048
"P09","En blanco",0.025,0.034,0.03,0.119
"P09","No sabe",0.037,0.072,0.167,0.431
"P10","Sergio Massa a presidente, Axel Kicillof a gobernador y Juan Zabaleta a intendente por Unión por la Patria",0.238,0.196,0.217,0.038
"P10","Juan Grabois a presidente, Axel Kicillof a gobernador y Juan Zabaleta a intendente por Unión por la Patria",0.033,0.01,0.037,0.07
"P10","Sergio Massa a presidente, Axel Kicillof a gobernador y Damián Selci a intendente por Unión por la Patria",0.16,0.084,0.079,0.061
"P10","Juan Grabois a presidente, Axel Kicillof a gobernador y Damián Selci a intendente por Unión por la Patria",0.048,0.078,0,0.021
"P10","Patricia Bullrich a presidenta, Néstor Grindetti a gobernador y Andrea Giorgini a intendenta por Juntos por el Cambio",0.19,0.272,0.199,0.082
"P10","Horacio Rodríguez Larreta a presidente, Diego Santilli a gobernador y Lucas Delfino a intendente por Juntos por el Cambio",0.074,0.13,0.149,0.048
"P10","Javier Milei a presidente, Carolina Piparo a gobernadora  y Rafael De Francesco a intendente por la Libertad Avanza",0.183,0.166,0.134,0.119
"P10","Alguno de los candidatos a presidente, gobernador e intendente de la Izquierda",0.013,0,0.01,0.159
"P10","En blanco",0.027,0.012,0.015,0.075
"P10","No sabe",0.034,0.052,0.16,0.327
"P13","Sergio Massa a presidente, Axel Kicillof a gobernador y Juan Zabaleta a intendente por Unión por la Patria",0.345,0.247,0.277,0.068
"P13","Patricia Bullrich a presidenta, Néstor Grindetti a gobernador y Andrea Giorgini a intendenta por Juntos por el Cambio",0.251,0.295,0.182,0.08
"P13","Javier Milei a presidente, Carolina Piparo a gobernadora  y Rafael De Francesco a intendente por la Libertad Avanza",0.166,0.184,0.197,0.072
"P13","Alguno de los candidatos a presidente, gobernador e intendente de la Izquierda",0.038,0.092,0.051,0.092
"P13","En blanco",0.062,0,0.041,0.166
"P13","No sabe",0.138,0.182,0.252,0.522
"P16","Sergio Massa a presidente, Axel Kicillof a gobernador y Juan Zabaleta a intendente por Unión por la Patria",0.346,0.277,0.356,0.077
"P16","Horacio Rodríguez Larreta a presidente, Diego Santilli a gobernador y Lucas Delfino a intendente por Juntos por el Cambio",0.24,0.267,0.284,0.134
"P16","Javier Milei a presidente, Carolina Piparo a gobernadora  y Rafael De Francesco a intendente por la Libertad Avanza",0.197,0.279,0.112,0.08
"P16","Alguno de los candidatos a presidente, gobernador e intendente de la Izquierda",0.037,0,0.037,0.142
"P16","En blanco",0.066,0.029,0.025,0.096
"P16","No sabe",0.114,0.148,0.186,0.471
"P19","Sergio Massa a presidente, Axel Kicillof a gobernador y Damian Selci a intendente por Unión por la Patria",0.402,0.338,0.35,0.084
"P19","Patricia Bullrich a presidenta, Néstor Grindetti a gobernador y Andrea Giorgini a intendenta por Juntos por el Cambio",0.246,0.287,0.226,0.158
"P19","Javier Milei a presidente, Carolina Piparo a gobernadora  y Rafael De Francesco a intendente por la Libertad Avanza",0.164,0.192,0.227,0.041
"P19","Alguno de los candidatos a presidente, gobernador e intendente de la Izquierda",0.037,0.015,0.01,0.085
"P19","En blanco",0.079,0.029,0.024,0.141
"P19","No sabe",0.072,0.139,0.163,0.491
"P22","Sergio Massa a presidente, Axel Kicillof a gobernador y Damián Selci a intendente por Unión por la Patria",0.341,0.224,0.342,0.057
"P22","Horacio Rodríguez Larreta a presidente, Diego Santilli a gobernador y Lucas Delfino a intendente por Juntos por el Cambio",0.252,0.296,0.227,0.112
"P22","Javier Milei a presidente, Carolina Piparo a gobernadora  y Rafael De Francesco a intendente por la Libertad Avanza",0.217,0.242,0.144,0.087
"P22","Alguno de los candidatos a presidente, gobernador e intendente de la Izquierda",0.036,0.035,0.08,0.092
"P22","En blanco",0.09,0.056,0.014,0.147
"P22","No sabe",0.064,0.147,0.193,0.505
"P26","Tiene Decidido que va a ir a votar",0.934,0.79,0.815,0.584
"P26","Tiene dudas sobre si va a ir a  votar",0.035,0.203,0.145,0.262
"P26","Tiene Decidido que no va a ir a votar",0.031,0.007,0.04,0.154
"P27","Si",0.98,0.96,0.867,0.99
"P27","No",0.02,0.04,0.133,0.01
