"clase","Todos","Hombres","Mujeres","16-29 años","30-49 años","50-64 años","65+ años","Hasta primario completo","Secundario completo/incompleto","Terciario completo/incompleto","Fernandez","Macri","Lavagna","Zabaleta","Delfino","De Francesco","Chayan","Arguello"
"Totalmente seguro",0.598,0.641,0.56,0.555,0.633,0.647,0.536,0.559,0.602,0.66,0.654,0.696,0.388,0.704,0.613,0.412,0.374,0.689
"Bastante seguro",0.149,0.144,0.153,0.186,0.124,0.15,0.134,0.131,0.16,0.155,0.156,0.146,0.236,0.124,0.209,0.407,0.274,0.223
"Algo seguro",0.119,0.107,0.13,0.095,0.134,0.113,0.141,0.128,0.133,0.073,0.123,0.09,0.185,0.108,0.122,0.015,0.119,0
"Para nada seguro",0.134,0.108,0.157,0.164,0.109,0.09,0.189,0.182,0.105,0.112,0.067,0.068,0.191,0.064,0.056,0.166,0.233,0.088
