"var","categoria","Sergio Massa a presidente, Axel Kicillof a gobernador y Damian Selci a intendente por Unión por la Patria","Patricia Bullrich a presidenta, Néstor Grindetti a gobernador y Andrea Giorgini a intendenta por Juntos por el Cambio","Javier Milei a presidente, Carolina Piparo a gobernadora  y Rafael De Francesco a intendente por la Libertad Avanza","Alguno de los candidatos a presidente, gobernador e intendente de la Izquierda","En blanco","No sabe"
"P05","Mucho",0.453,0.302,0.31,0.135,0.219,0.263
"P05","Bastante",0.269,0.284,0.2,0.301,0.308,0.052
"P05","Poco",0.204,0.177,0.256,0.195,0.175,0.249
"P05","Nada",0.056,0.194,0.181,0.248,0.26,0.372
"P05","No sabe",0.018,0.043,0.053,0.121,0.038,0.064
"P06","Siempre",0.22,0.218,0.157,0.104,0.112,0.084
"P06","Casi siempre",0.337,0.269,0.225,0.099,0.283,0.142
"P06","Casi nunca",0.286,0.266,0.356,0.379,0.211,0.344
"P06","Nunca, pero esta es una excepción",0.157,0.247,0.262,0.418,0.394,0.43
"P09","Unión por la Patria",0.727,0.168,0.11,0.164,0.281,0.108
"P09","Juntos por el Cambio",0.095,0.637,0.115,0.23,0.171,0.224
"P09","De los Liberales libertarios",0.033,0.052,0.574,0.022,0.024,0.013
"P09","De la Izquierda",0.022,0.044,0.021,0.306,0.092,0.033
"P09","Hacemos por nuestro pais",0.012,0.02,0.096,0.049,0.069,0.006
"P09","Otro",0.026,0.014,0.017,0.048,0,0.107
"P09","En blanco",0.011,0.01,0.012,0.041,0.347,0.009
"P09","No sabe",0.074,0.055,0.055,0.14,0.016,0.5
"P10","Sergio Massa a presidente, Axel Kicillof a gobernador y Juan Zabaleta a intendente por Unión por la Patria",0.364,0.08,0.07,0.208,0.219,0.101
"P10","Juan Grabois a presidente, Axel Kicillof a gobernador y Juan Zabaleta a intendente por Unión por la Patria",0.034,0.036,0.03,0.049,0.074,0.003
"P10","Sergio Massa a presidente, Axel Kicillof a gobernador y Damián Selci a intendente por Unión por la Patria",0.325,0.018,0.006,0.154,0.033,0.011
"P10","Juan Grabois a presidente, Axel Kicillof a gobernador y Damián Selci a intendente por Unión por la Patria",0.075,0.02,0.029,0.032,0.03,0.027
"P10","Patricia Bullrich a presidenta, Néstor Grindetti a gobernador y Andrea Giorgini a intendenta por Juntos por el Cambio",0.11,0.511,0.139,0.099,0.111,0.051
"P10","Horacio Rodríguez Larreta a presidente, Diego Santilli a gobernador y Lucas Delfino a intendente por Juntos por el Cambio",0.021,0.139,0.07,0.083,0.064,0.172
"P10","Javier Milei a presidente, Carolina Piparo a gobernadora  y Rafael De Francesco a intendente por la Libertad Avanza",0.053,0.142,0.632,0.021,0,0.05
"P10","Alguno de los candidatos a presidente, gobernador e intendente de la Izquierda",0.001,0.005,0,0.166,0.076,0.09
"P10","En blanco",0.006,0,0,0.056,0.283,0.017
"P10","No sabe",0.011,0.049,0.024,0.132,0.11,0.478
"P13","Sergio Massa a presidente, Axel Kicillof a gobernador y Juan Zabaleta a intendente por Unión por la Patria",0.594,0.123,0.072,0.291,0.195,0.094
"P13","Patricia Bullrich a presidenta, Néstor Grindetti a gobernador y Andrea Giorgini a intendenta por Juntos por el Cambio",0.116,0.607,0.111,0.055,0.023,0.086
"P13","Javier Milei a presidente, Carolina Piparo a gobernadora  y Rafael De Francesco a intendente por la Libertad Avanza",0.057,0.105,0.694,0,0.091,0.009
"P13","Alguno de los candidatos a presidente, gobernador e intendente de la Izquierda",0.049,0.044,0.03,0.476,0.111,0
"P13","En blanco",0.022,0.054,0.018,0.085,0.431,0.065
"P13","No sabe",0.162,0.067,0.075,0.093,0.149,0.746
