"var","categoria","Sergio Massa a presidente, Axel Kicillof a gobernador y Juan Zabaleta a intendente por Unión por la Patria","Horacio Rodríguez Larreta a presidente, Diego Santilli a gobernador y Lucas Delfino a intendente por Juntos por el Cambio","Javier Milei a presidente, Carolina Piparo a gobernadora  y Rafael De Francesco a intendente por la Libertad Avanza","Alguno de los candidatos a presidente, gobernador e intendente de la Izquierda","En blanco","No sabe"
"P05","Mucho",0.364,0.361,0.364,0.267,0.192,0.261
"P05","Bastante",0.304,0.215,0.181,0.252,0.189,0.131
"P05","Poco",0.22,0.265,0.165,0.168,0.168,0.228
"P05","Nada",0.088,0.111,0.251,0.277,0.367,0.3
"P05","No sabe",0.024,0.048,0.039,0.036,0.084,0.08
"P06","Siempre",0.173,0.16,0.233,0.167,0.13,0.14
"P06","Casi siempre",0.314,0.286,0.179,0.188,0.196,0.204
"P06","Casi nunca",0.278,0.312,0.343,0.336,0.317,0.278
"P06","Nunca, pero esta es una excepción",0.235,0.242,0.245,0.309,0.357,0.378
"P09","Unión por la Patria",0.725,0.123,0.202,0.147,0.238,0.237
"P09","Juntos por el Cambio",0.078,0.63,0.168,0.033,0.121,0.174
"P09","De los Liberales libertarios",0.054,0.064,0.433,0.054,0.007,0.01
"P09","De la Izquierda",0.013,0.043,0.035,0.44,0.036,0
"P09","Hacemos por nuestro pais",0.006,0.027,0.036,0.13,0.054,0.025
"P09","Otro",0.014,0.006,0.032,0.068,0,0.104
"P09","En blanco",0.003,0.025,0.018,0.068,0.509,0.002
"P09","No sabe",0.107,0.082,0.076,0.06,0.035,0.448
"P10","Sergio Massa a presidente, Axel Kicillof a gobernador y Juan Zabaleta a intendente por Unión por la Patria",0.489,0.082,0.108,0.033,0.043,0.03
"P10","Juan Grabois a presidente, Axel Kicillof a gobernador y Juan Zabaleta a intendente por Unión por la Patria",0.048,0.017,0.025,0.067,0.07,0.005
"P10","Sergio Massa a presidente, Axel Kicillof a gobernador y Damián Selci a intendente por Unión por la Patria",0.158,0.047,0.008,0.246,0.171,0.228
"P10","Juan Grabois a presidente, Axel Kicillof a gobernador y Damián Selci a intendente por Unión por la Patria",0.057,0.037,0.007,0.028,0.041,0.039
"P10","Patricia Bullrich a presidenta, Néstor Grindetti a gobernador y Andrea Giorgini a intendenta por Juntos por el Cambio",0.104,0.364,0.196,0.03,0.185,0.118
"P10","Horacio Rodríguez Larreta a presidente, Diego Santilli a gobernador y Lucas Delfino a intendente por Juntos por el Cambio",0.022,0.281,0.068,0.023,0,0.014
"P10","Javier Milei a presidente, Carolina Piparo a gobernadora  y Rafael De Francesco a intendente por la Libertad Avanza",0.07,0.097,0.544,0.126,0,0.046
"P10","Alguno de los candidatos a presidente, gobernador e intendente de la Izquierda",0.021,0,0,0.276,0,0.072
"P10","En blanco",0.005,0.006,0.025,0.023,0.433,0.018
"P10","No sabe",0.026,0.069,0.019,0.148,0.057,0.43
"P13","Sergio Massa a presidente, Axel Kicillof a gobernador y Juan Zabaleta a intendente por Unión por la Patria",0.723,0.121,0.191,0.085,0.016,0.062
"P13","Patricia Bullrich a presidenta, Néstor Grindetti a gobernador y Andrea Giorgini a intendenta por Juntos por el Cambio",0.101,0.499,0.199,0.05,0.087,0.093
"P13","Javier Milei a presidente, Carolina Piparo a gobernadora  y Rafael De Francesco a intendente por la Libertad Avanza",0.068,0.116,0.542,0.102,0.043,0.012
"P13","Alguno de los candidatos a presidente, gobernador e intendente de la Izquierda",0.025,0.035,0.027,0.584,0.036,0.033
"P13","En blanco",0.04,0.044,0.022,0.122,0.62,0.04
"P13","No sabe",0.043,0.185,0.019,0.057,0.198,0.76
"P19","Sergio Massa a presidente, Axel Kicillof a gobernador y Damian Selci a intendente por Unión por la Patria",0.682,0.136,0.175,0.123,0.219,0.292
"P19","Patricia Bullrich a presidenta, Néstor Grindetti a gobernador y Andrea Giorgini a intendenta por Juntos por el Cambio",0.092,0.551,0.249,0.152,0.106,0.091
"P19","Javier Milei a presidente, Carolina Piparo a gobernadora  y Rafael De Francesco a intendente por la Libertad Avanza",0.085,0.126,0.527,0.057,0,0.031
"P19","Alguno de los candidatos a presidente, gobernador e intendente de la Izquierda",0.044,0.012,0.026,0.46,0,0.017
"P19","En blanco",0.044,0.041,0.006,0.208,0.639,0.01
"P19","No sabe",0.053,0.134,0.017,0,0.036,0.559
"P22","Sergio Massa a presidente, Axel Kicillof a gobernador y Damián Selci a intendente por Unión por la Patria",0.578,0.1,0.105,0.172,0.236,0.252
"P22","Horacio Rodríguez Larreta a presidente, Diego Santilli a gobernador y Lucas Delfino a intendente por Juntos por el Cambio",0.133,0.616,0.187,0.059,0.063,0.061
"P22","Javier Milei a presidente, Carolina Piparo a gobernadora  y Rafael De Francesco a intendente por la Libertad Avanza",0.073,0.139,0.646,0.036,0.132,0.032
"P22","Alguno de los candidatos a presidente, gobernador e intendente de la Izquierda",0.049,0.011,0.032,0.489,0,0.017
"P22","En blanco",0.07,0.057,0.005,0.13,0.513,0.058
"P22","No sabe",0.097,0.077,0.025,0.114,0.056,0.58
"P25","Totalmente seguro",0.688,0.611,0.642,0.485,0.663,0.389
"P25","Bastante seguro",0.137,0.169,0.227,0,0.073,0.125
"P25","Algo seguro",0.141,0.144,0.073,0.097,0.05,0.127
"P25","Para nada seguro",0.034,0.076,0.058,0.418,0.214,0.359
"P26","Tiene Decidido que va a ir a votar",0.876,0.865,0.852,0.747,0.77,0.848
"P26","Tiene dudas sobre si va a ir a  votar",0.104,0.124,0.075,0.241,0.112,0.061
"P26","Tiene Decidido que no va a ir a votar",0.02,0.011,0.073,0.012,0.118,0.091
"P27","Si",0.944,0.952,0.979,1,1,1
"P27","No",0.056,0.048,0.021,0,0,0
