"clase","Todos","Hombres","Mujeres","16-29 años","30-49 años","50-64 años","65+ años","Hasta primario completo","Secundario completo/incompleto","Terciario completo/incompleto","Fernandez","Macri","Lavagna","Zabaleta","Delfino","De Francesco","Chayan","Arguello"
"Sergio Massa a presidente, Axel Kicillof a gobernador y Damián Selci a intendente por Unión por la Patria",0.33,0.281,0.374,0.185,0.352,0.476,0.354,0.293,0.356,0.332,0.619,0.082,0.252,0.497,0.166,0.181,0.101,0
"Horacio Rodríguez Larreta a presidente, Diego Santilli a gobernador y Lucas Delfino a intendente por Juntos por el Cambio",0.298,0.311,0.285,0.32,0.266,0.268,0.365,0.335,0.264,0.308,0.141,0.499,0.379,0.244,0.488,0.3,0.129,0.258
"Javier Milei a presidente, Carolina Piparo a gobernadora  y Rafael De Francesco a intendente por la Libertad Avanza",0.206,0.262,0.156,0.34,0.18,0.121,0.132,0.247,0.178,0.201,0.128,0.284,0.249,0.146,0.207,0.5,0.288,0.573
"Alguno de los candidatos a presidente, gobernador e intendente de la Izquierda",0.053,0.056,0.051,0.035,0.084,0.019,0.066,0.059,0.043,0.068,0.028,0.041,0.029,0.03,0.042,0,0.446,0.109
"En blanco",0.113,0.09,0.134,0.12,0.118,0.116,0.083,0.066,0.159,0.091,0.084,0.094,0.091,0.083,0.097,0.019,0.036,0.06
