"clase","Todos","Hombres","Mujeres","16-29 años","30-49 años","50-64 años","65+ años","Hasta primario completo","Secundario completo/incompleto","Terciario completo/incompleto","Fernandez","Macri","Lavagna","Zabaleta","Delfino","De Francesco","Chayan","Arguello"
"Sergio Massa a presidente, Axel Kicillof a gobernador y Juan Zabaleta a intendente por Unión por la Patria",0.211,0.195,0.226,0.136,0.239,0.274,0.205,0.2,0.238,0.173,0.367,0.087,0.037,0.329,0.112,0.126,0.089,0.028
"Juan Grabois a presidente, Axel Kicillof a gobernador y Juan Zabaleta a intendente por Unión por la Patria",0.039,0.04,0.038,0.043,0.03,0.043,0.045,0.051,0.027,0.043,0.054,0.016,0.048,0.046,0.041,0.069,0.089,0.055
"Sergio Massa a presidente, Axel Kicillof a gobernador y Damián Selci a intendente por Unión por la Patria",0.138,0.132,0.143,0.09,0.123,0.182,0.199,0.144,0.13,0.144,0.239,0.035,0.212,0.228,0.067,0.222,0.217,0
"Juan Grabois a presidente, Axel Kicillof a gobernador y Damián Selci a intendente por Unión por la Patria",0.047,0.035,0.06,0.023,0.076,0.042,0.038,0.042,0.047,0.058,0.063,0.015,0.016,0.064,0,0.017,0.198,0.156
"Patricia Bullrich a presidenta, Néstor Grindetti a gobernador y Andrea Giorgini a intendenta por Juntos por el Cambio",0.193,0.21,0.177,0.23,0.134,0.223,0.217,0.197,0.188,0.196,0.096,0.458,0.147,0.156,0.402,0.077,0,0.085
"Horacio Rodríguez Larreta a presidente, Diego Santilli a gobernador y Lucas Delfino a intendente por Juntos por el Cambio",0.086,0.077,0.094,0.078,0.097,0.078,0.085,0.052,0.1,0.112,0.028,0.176,0.228,0.043,0.185,0.123,0.17,0.158
"Javier Milei a presidente, Carolina Piparo a gobernadora  y Rafael De Francesco a intendente por la Libertad Avanza",0.174,0.223,0.129,0.254,0.174,0.106,0.116,0.185,0.159,0.188,0.1,0.165,0.304,0.107,0.15,0.366,0.148,0.431
"Alguno de los candidatos a presidente, gobernador e intendente de la Izquierda",0.063,0.053,0.071,0.077,0.077,0.021,0.059,0.09,0.046,0.054,0.03,0.015,0.008,0.009,0.022,0,0.089,0.087
"En blanco",0.049,0.035,0.062,0.069,0.05,0.031,0.036,0.039,0.065,0.032,0.023,0.033,0,0.018,0.021,0,0,0
