"clase","Todos","Hombres","Mujeres","16-29 años","30-49 años","50-64 años","65+ años","Hasta primario completo","Secundario completo/incompleto","Terciario completo/incompleto","Fernandez","Macri","Lavagna","Zabaleta","Delfino","De Francesco","Chayan","Arguello"
"Sergio Massa a presidente, Axel Kicillof a gobernador y Juan Zabaleta a intendente por Unión por la Patria",0.19,0.178,0.201,0.127,0.216,0.241,0.181,0.172,0.217,0.16,0.34,0.083,0.037,0.301,0.112,0.126,0.089,0.028
"Juan Grabois a presidente, Axel Kicillof a gobernador y Juan Zabaleta a intendente por Unión por la Patria",0.033,0.037,0.03,0.032,0.03,0.035,0.043,0.039,0.027,0.039,0.054,0.016,0.048,0.034,0.041,0.069,0.089,0.055
"Sergio Massa a presidente, Axel Kicillof a gobernador y Damián Selci a intendente por Unión por la Patria",0.127,0.128,0.127,0.09,0.117,0.167,0.165,0.133,0.117,0.14,0.229,0.035,0.171,0.214,0.064,0.222,0.217,0
"Juan Grabois a presidente, Axel Kicillof a gobernador y Damián Selci a intendente por Unión por la Patria",0.04,0.034,0.046,0.011,0.067,0.04,0.033,0.033,0.043,0.047,0.062,0.015,0.016,0.056,0,0.017,0.198,0.156
"Patricia Bullrich a presidenta, Néstor Grindetti a gobernador y Andrea Giorgini a intendenta por Juntos por el Cambio",0.167,0.183,0.152,0.181,0.113,0.216,0.197,0.165,0.164,0.176,0.08,0.405,0.147,0.137,0.367,0.077,0,0.085
"Horacio Rodríguez Larreta a presidente, Diego Santilli a gobernador y Lucas Delfino a intendente por Juntos por el Cambio",0.077,0.066,0.087,0.06,0.087,0.078,0.085,0.052,0.085,0.103,0.025,0.165,0.228,0.041,0.185,0.123,0.17,0.158
"Javier Milei a presidente, Carolina Piparo a gobernadora  y Rafael De Francesco a intendente por la Libertad Avanza",0.147,0.192,0.106,0.205,0.153,0.093,0.097,0.149,0.129,0.182,0.09,0.165,0.287,0.1,0.14,0.366,0.148,0.431
"Alguno de los candidatos a presidente, gobernador e intendente de la Izquierda",0.043,0.041,0.043,0.056,0.04,0.022,0.051,0.069,0.023,0.04,0.018,0.004,0.008,0.006,0.022,0,0.089,0.087
"En blanco",0.041,0.024,0.056,0.05,0.045,0.028,0.03,0.03,0.054,0.029,0.023,0.025,0,0.018,0.011,0,0,0
"No sabe",0.135,0.117,0.152,0.188,0.132,0.08,0.118,0.158,0.141,0.084,0.079,0.087,0.058,0.093,0.058,0,0,0
