"clase","Todos","Hombres","Mujeres","16-29 años","30-49 años","50-64 años","65+ años","Hasta primario completo","Secundario completo/incompleto","Terciario completo/incompleto","Fernandez","Macri","Lavagna","Zabaleta","Delfino","De Francesco","Chayan","Arguello"
"Sergio Massa a presidente, Axel Kicillof a gobernador y Juan Zabaleta a intendente por Unión por la Patria",0.367,0.341,0.392,0.289,0.404,0.426,0.353,0.315,0.429,0.32,0.662,0.116,0.134,0.553,0.191,0.035,0.197,0.254
"Horacio Rodríguez Larreta a presidente, Diego Santilli a gobernador y Lucas Delfino a intendente por Juntos por el Cambio",0.286,0.253,0.315,0.271,0.231,0.343,0.359,0.326,0.241,0.315,0.101,0.543,0.447,0.179,0.581,0.452,0.322,0.035
"Javier Milei a presidente, Carolina Piparo a gobernadora  y Rafael De Francesco a intendente por la Libertad Avanza",0.205,0.269,0.147,0.302,0.207,0.09,0.172,0.234,0.182,0.207,0.118,0.27,0.324,0.158,0.175,0.347,0.162,0.524
"Alguno de los candidatos a presidente, gobernador e intendente de la Izquierda",0.07,0.094,0.048,0.079,0.082,0.048,0.06,0.088,0.043,0.102,0.047,0.022,0.057,0.036,0.02,0.166,0.235,0.118
"En blanco",0.072,0.043,0.098,0.059,0.076,0.093,0.056,0.037,0.105,0.056,0.072,0.049,0.038,0.074,0.033,0,0.084,0.069
