"clase","Todos","Hombres","Mujeres","16-29 años","30-49 años","50-64 años","65+ años","Hasta primario completo","Secundario completo/incompleto","Terciario completo/incompleto","Fernandez","Macri","Lavagna","Zabaleta","Delfino","De Francesco","Chayan","Arguello"
"Sergio Massa a presidente, Axel Kicillof a gobernador y Juan Zabaleta a intendente por Unión por la Patria",0.361,0.359,0.363,0.291,0.349,0.474,0.369,0.408,0.355,0.294,0.634,0.137,0.137,0.564,0.198,0.205,0.019,0.302
"Patricia Bullrich a presidenta, Néstor Grindetti a gobernador y Andrea Giorgini a intendenta por Juntos por el Cambio",0.255,0.242,0.267,0.236,0.209,0.319,0.314,0.172,0.281,0.342,0.116,0.59,0.274,0.184,0.526,0.237,0.217,0.446
"Javier Milei a presidente, Carolina Piparo a gobernadora  y Rafael De Francesco a intendente por la Libertad Avanza",0.186,0.225,0.15,0.268,0.194,0.085,0.147,0.177,0.191,0.19,0.098,0.177,0.385,0.146,0.149,0.36,0.196,0.136
"Alguno de los candidatos a presidente, gobernador e intendente de la Izquierda",0.084,0.088,0.08,0.06,0.117,0.058,0.086,0.103,0.059,0.105,0.064,0.025,0.102,0.06,0.058,0.07,0.531,0.116
"En blanco",0.114,0.086,0.14,0.145,0.131,0.064,0.084,0.14,0.114,0.069,0.088,0.071,0.102,0.046,0.069,0.128,0.037,0
