"clase","Todos","Hombres","Mujeres","16-29 años","30-49 años","50-64 años","65+ años","Hasta primario completo","Secundario completo/incompleto","Terciario completo/incompleto","Fernandez","Macri","Lavagna","Zabaleta","Delfino","De Francesco","Chayan","Arguello"
"Siempre",0.144,0.187,0.106,0.184,0.124,0.121,0.148,0.18,0.125,0.127,0.131,0.278,0.061,0.245,0.122,0.168,0.2,0.217
"Casi siempre",0.222,0.219,0.225,0.116,0.216,0.35,0.264,0.174,0.233,0.281,0.36,0.212,0.141,0.312,0.353,0.122,0.099,0.183
"Casi nunca",0.311,0.285,0.334,0.225,0.369,0.336,0.304,0.282,0.319,0.341,0.29,0.253,0.675,0.279,0.284,0.4,0.295,0.329
"Nunca, pero esta es una excepción",0.323,0.309,0.335,0.475,0.291,0.193,0.284,0.364,0.323,0.251,0.219,0.257,0.123,0.164,0.241,0.31,0.406,0.271
