"clase","Todos","Hombres","Mujeres","16-29 años","30-49 años","50-64 años","65+ años","Hasta primario completo","Secundario completo/incompleto","Terciario completo/incompleto","Fernandez","Macri","Lavagna","Zabaleta","Delfino","De Francesco","Chayan","Arguello"
"Si",0.966,0.949,0.982,0.988,0.983,0.938,0.925,0.966,0.966,0.967,0.967,0.968,0.93,0.962,0.944,0.942,1,1
"No",0.034,0.051,0.018,0.012,0.017,0.062,0.075,0.034,0.034,0.033,0.033,0.032,0.07,0.038,0.056,0.058,0,0
