"clase","Todos","Hombres","Mujeres","16-29 años","30-49 años","50-64 años","65+ años","Hasta primario completo","Secundario completo/incompleto","Terciario completo/incompleto","Llaryora","Juez","Garcia Elorrio","Spaccesi","Massa","Bullrich","Milei","Bregman","Schiaretti","opciones"
"Muy buena",0.062,0.04,0.084,0.044,0.065,0.035,0.112,0.099,0.056,0.038,0.087,0.037,0.352,0.035,0.225,0.03,0.027,0.165,0,6
"Buena",0.117,0.116,0.117,0.176,0.102,0.114,0.075,0.086,0.15,0.104,0.154,0.043,0,0.122,0.386,0.062,0.051,0.301,0.064,6
"Ni buena ni mala",0.194,0.18,0.209,0.262,0.184,0.137,0.199,0.245,0.168,0.183,0.3,0.114,0.215,0.154,0.217,0.157,0.109,0.193,0.481,6
"Mala",0.262,0.231,0.293,0.119,0.245,0.356,0.368,0.307,0.238,0.252,0.217,0.304,0.116,0.165,0.129,0.306,0.287,0.226,0.214,6
"Muy mala",0.347,0.405,0.289,0.399,0.384,0.346,0.203,0.228,0.376,0.413,0.233,0.495,0.317,0.524,0.032,0.443,0.517,0.115,0.234,6
"No sabe",0.018,0.028,0.008,0,0.02,0.012,0.043,0.035,0.012,0.01,0.009,0.007,0,0,0.011,0.002,0.009,0,0.007,6
"Positiva",0.179,0.156,0.201,0.22,0.167,0.149,0.187,0.185,0.206,0.142,0.241,0.08,0.352,0.157,0.611,0.092,0.078,0.466,0.064,4
"Neutra",0.194,0.18,0.209,0.262,0.184,0.137,0.199,0.245,0.168,0.183,0.3,0.114,0.215,0.154,0.217,0.157,0.109,0.193,0.481,4
"Negativa",0.609,0.636,0.582,0.518,0.629,0.702,0.571,0.535,0.614,0.665,0.45,0.799,0.433,0.689,0.161,0.749,0.804,0.341,0.448,4
"No sabe",0.018,0.028,0.008,0,0.02,0.012,0.043,0.035,0.012,0.01,0.009,0.007,0,0,0.011,0.002,0.009,0,0.007,4
