"clase","Todos","Hombres","Mujeres","16-29 años","30-49 años","50-64 años","65+ años","Hasta primario completo","Secundario completo/incompleto","Terciario completo/incompleto","Llaryora","Juez","Garcia Elorrio","Spaccesi","Massa","Bullrich","Milei","Bregman","Schiaretti"
"La votaría",0.165,0.191,0.14,0.223,0.133,0.135,0.191,0.258,0.134,0.123,0.14,0.231,0.165,0.12,0.223,0.172,0.175,0.048,0.143
"Puede que la vote",0.182,0.174,0.189,0.17,0.161,0.268,0.135,0.258,0.137,0.17,0.17,0.21,0.144,0.167,0.213,0.277,0.135,0.084,0.12
"Nunca la votaría",0.414,0.438,0.39,0.315,0.472,0.429,0.408,0.299,0.44,0.48,0.501,0.353,0.525,0.383,0.452,0.367,0.425,0.703,0.465
"No sabe",0.239,0.197,0.281,0.292,0.234,0.168,0.266,0.185,0.289,0.227,0.189,0.206,0.166,0.33,0.112,0.184,0.265,0.165,0.272
