"clase","Todos","Hombres","Mujeres","16-29 años","30-49 años","50-64 años","65+ años","Hasta primario completo","Secundario completo/incompleto","Terciario completo/incompleto","Llaryora","Juez","Garcia Elorrio","Spaccesi","Massa","Bullrich","Milei","Bregman","Schiaretti"
"La votaría",0.061,0.078,0.044,0.093,0.055,0.042,0.052,0.116,0.054,0.022,0.061,0.071,0.136,0.042,0.116,0.042,0.08,0,0.042
"Puede que la vote",0.134,0.143,0.124,0.168,0.118,0.147,0.101,0.176,0.112,0.123,0.174,0.095,0,0.193,0.213,0.13,0.13,0.053,0.124
"Nunca la votaría",0.531,0.56,0.503,0.43,0.569,0.579,0.535,0.448,0.522,0.612,0.559,0.598,0.718,0.347,0.527,0.622,0.509,0.696,0.524
"No sabe",0.274,0.219,0.329,0.309,0.258,0.232,0.312,0.26,0.312,0.243,0.206,0.236,0.146,0.418,0.144,0.206,0.281,0.251,0.31
