"clase","Todos","Hombres","Mujeres","16-29 años","30-49 años","50-64 años","65+ años","Hasta primario completo","Secundario completo/incompleto","Terciario completo/incompleto","Llaryora","Juez","Garcia Elorrio","Spaccesi","Massa","Bullrich","Milei","Bregman","Schiaretti","opciones"
"Muy buena",0.148,0.138,0.157,0.149,0.125,0.148,0.196,0.241,0.134,0.082,0.302,0.056,0.033,0.061,0.291,0.102,0.111,0.096,0.262,6
"Buena",0.151,0.134,0.168,0.231,0.116,0.114,0.154,0.141,0.176,0.13,0.224,0.106,0,0.093,0.289,0.085,0.131,0.075,0.253,6
"Ni buena ni mala",0.311,0.282,0.34,0.294,0.287,0.343,0.348,0.302,0.34,0.285,0.301,0.323,0.474,0.099,0.265,0.395,0.269,0.248,0.315,6
"Mala",0.262,0.3,0.225,0.214,0.308,0.303,0.182,0.19,0.244,0.347,0.12,0.371,0.325,0.448,0.102,0.288,0.355,0.352,0.069,6
"Muy mala",0.101,0.131,0.071,0.112,0.12,0.09,0.058,0.059,0.096,0.143,0.035,0.143,0.168,0.235,0.046,0.128,0.122,0.229,0.054,6
"No sabe",0.027,0.015,0.039,0,0.044,0.002,0.062,0.067,0.01,0.013,0.018,0.001,0,0.064,0.007,0.002,0.012,0,0.047,6
"Positiva",0.299,0.272,0.325,0.38,0.241,0.262,0.35,0.382,0.31,0.212,0.526,0.162,0.033,0.154,0.58,0.187,0.242,0.171,0.515,4
"Neutra",0.311,0.282,0.34,0.294,0.287,0.343,0.348,0.302,0.34,0.285,0.301,0.323,0.474,0.099,0.265,0.395,0.269,0.248,0.315,4
"Negativa",0.363,0.431,0.296,0.326,0.428,0.393,0.24,0.249,0.34,0.49,0.155,0.514,0.493,0.683,0.148,0.416,0.477,0.581,0.123,4
"No sabe",0.027,0.015,0.039,0,0.044,0.002,0.062,0.067,0.01,0.013,0.018,0.001,0,0.064,0.007,0.002,0.012,0,0.047,4
