"clase","Todos","Hombres","Mujeres","16-29 años","30-49 años","50-64 años","65+ años","Hasta primario completo","Secundario completo/incompleto","Terciario completo/incompleto","Llaryora","Juez","Garcia Elorrio","Spaccesi","Massa","Bullrich","Milei","Bregman","Schiaretti"
"La votaría",0.247,0.283,0.212,0.26,0.238,0.279,0.209,0.303,0.203,0.253,0.158,0.359,0.296,0.34,0.103,0.328,0.357,0.117,0.143
"Puede que la vote",0.155,0.172,0.139,0.177,0.15,0.134,0.161,0.148,0.132,0.189,0.126,0.203,0.288,0.142,0.164,0.207,0.134,0.083,0.171
"Nunca la votaría",0.381,0.379,0.383,0.304,0.408,0.401,0.406,0.33,0.415,0.383,0.544,0.268,0.314,0.192,0.607,0.329,0.291,0.732,0.415
"No sabe",0.217,0.166,0.266,0.259,0.204,0.186,0.224,0.219,0.25,0.175,0.172,0.17,0.102,0.326,0.126,0.136,0.218,0.068,0.271
