"clase","Todos","Hombres","Mujeres","16-29 años","30-49 años","50-64 años","65+ años","Hasta primario completo","Secundario completo/incompleto","Terciario completo/incompleto","Llaryora","Juez","Garcia Elorrio","Spaccesi","Massa","Bullrich","Milei","Bregman","Schiaretti","opciones"
"Muy buena",0.154,0.137,0.172,0.15,0.13,0.185,0.173,0.169,0.143,0.154,0.088,0.272,0.141,0.119,0.075,0.285,0.173,0,0.046,6
"Buena",0.234,0.226,0.241,0.272,0.201,0.233,0.253,0.209,0.25,0.235,0.161,0.322,0.064,0.34,0.027,0.362,0.261,0.212,0.2,6
"Ni buena ni mala",0.263,0.284,0.24,0.282,0.278,0.193,0.289,0.332,0.245,0.226,0.278,0.278,0.605,0.26,0.205,0.179,0.367,0.171,0.311,6
"Mala",0.176,0.179,0.173,0.159,0.178,0.214,0.148,0.142,0.194,0.184,0.229,0.086,0.083,0.138,0.315,0.11,0.111,0.243,0.277,6
"Muy mala",0.156,0.146,0.167,0.137,0.195,0.162,0.092,0.1,0.164,0.193,0.238,0.042,0.107,0.064,0.378,0.064,0.071,0.374,0.166,6
"No sabe",0.017,0.028,0.007,0,0.018,0.013,0.045,0.048,0.004,0.008,0.006,0,0,0.079,0,0,0.017,0,0,6
"Positiva",0.388,0.363,0.413,0.422,0.331,0.418,0.426,0.378,0.393,0.389,0.249,0.594,0.205,0.459,0.102,0.647,0.434,0.212,0.246,4
"Neutra",0.263,0.284,0.24,0.282,0.278,0.193,0.289,0.332,0.245,0.226,0.278,0.278,0.605,0.26,0.205,0.179,0.367,0.171,0.311,4
"Negativa",0.332,0.325,0.34,0.296,0.373,0.376,0.24,0.242,0.358,0.377,0.467,0.128,0.19,0.202,0.693,0.174,0.182,0.617,0.443,4
"No sabe",0.017,0.028,0.007,0,0.018,0.013,0.045,0.048,0.004,0.008,0.006,0,0,0.079,0,0,0.017,0,0,4
