"clase","Todos","Hombres","Mujeres","16-29 años","30-49 años","50-64 años","65+ años","Hasta primario completo","Secundario completo/incompleto","Terciario completo/incompleto","Llaryora","Juez","Garcia Elorrio","Spaccesi","Massa","Bullrich","Milei","Bregman","Schiaretti","opciones"
"Muy buena",0.136,0.101,0.171,0.219,0.116,0.116,0.093,0.156,0.142,0.112,0.18,0.074,0.198,0.043,0.488,0.058,0.042,0.232,0.13,6
"Buena",0.06,0.072,0.048,0.047,0.072,0.064,0.046,0.051,0.061,0.067,0.072,0.009,0,0.119,0.143,0.034,0.04,0.076,0.081,6
"Ni buena ni mala",0.146,0.138,0.155,0.251,0.108,0.083,0.164,0.199,0.144,0.105,0.227,0.079,0.304,0.078,0.195,0.123,0.098,0.212,0.317,6
"Mala",0.313,0.299,0.327,0.158,0.289,0.437,0.415,0.377,0.276,0.302,0.257,0.397,0.353,0.269,0.133,0.357,0.346,0.354,0.22,6
"Muy mala",0.329,0.362,0.295,0.325,0.391,0.288,0.254,0.182,0.373,0.398,0.255,0.44,0.145,0.471,0.041,0.426,0.464,0.126,0.244,6
"No sabe",0.016,0.028,0.004,0,0.024,0.012,0.028,0.035,0.004,0.016,0.009,0.001,0,0.02,0,0.002,0.01,0,0.008,6
"Positiva",0.196,0.173,0.219,0.266,0.188,0.18,0.139,0.207,0.203,0.179,0.252,0.083,0.198,0.162,0.631,0.092,0.082,0.308,0.211,4
"Neutra",0.146,0.138,0.155,0.251,0.108,0.083,0.164,0.199,0.144,0.105,0.227,0.079,0.304,0.078,0.195,0.123,0.098,0.212,0.317,4
"Negativa",0.642,0.661,0.622,0.483,0.68,0.725,0.669,0.559,0.649,0.7,0.512,0.837,0.498,0.74,0.174,0.783,0.81,0.48,0.464,4
"No sabe",0.016,0.028,0.004,0,0.024,0.012,0.028,0.035,0.004,0.016,0.009,0.001,0,0.02,0,0.002,0.01,0,0.008,4
