"clase","Todos","Hombres","Mujeres","16-29 años","30-49 años","50-64 años","65+ años","Hasta primario completo","Secundario completo/incompleto","Terciario completo/incompleto","Llaryora","Juez","Garcia Elorrio","Spaccesi","Massa","Bullrich","Milei","Bregman","Schiaretti"
"La votaría",0.261,0.227,0.294,0.275,0.187,0.31,0.338,0.382,0.254,0.161,0.403,0.151,0.517,0.118,0.468,0.21,0.182,0.399,0.366
"Puede que la vote",0.18,0.18,0.18,0.201,0.169,0.194,0.157,0.15,0.204,0.178,0.225,0.152,0.162,0.16,0.269,0.217,0.116,0.149,0.174
"Nunca la votaría",0.347,0.39,0.305,0.244,0.438,0.33,0.326,0.298,0.289,0.461,0.217,0.522,0.254,0.261,0.181,0.455,0.486,0.406,0.109
"No sabe",0.212,0.203,0.221,0.28,0.206,0.166,0.179,0.17,0.253,0.2,0.155,0.175,0.067,0.461,0.082,0.118,0.216,0.046,0.351
