"clase","Opinión","Todos","Hombres","Mujeres","16-29 años","30-49 años","50-64 años","65+ años","Hasta primario completo","Secundario completo/incompleto","Terciario completo/incompleto","Llaryora","Juez","Garcia Elorrio","Spaccesi","Massa","Bullrich","Milei","Bregman","Schiaretti"
"Javier Milei","Positiva",0.559,0.609,0.51,0.522,0.581,0.583,0.534,0.534,0.599,0.533,0.423,0.777,0.355,0.813,0.147,0.684,0.82,0.23,0.369
"Javier Milei","Neutra",0.16,0.129,0.19,0.179,0.138,0.161,0.175,0.225,0.144,0.122,0.219,0.112,0.342,0.039,0.193,0.196,0.099,0.144,0.262
"Javier Milei","Negativa",0.253,0.222,0.284,0.299,0.244,0.24,0.226,0.17,0.244,0.334,0.34,0.108,0.303,0.139,0.652,0.118,0.076,0.626,0.369
"Javier Milei","No sabe",0.028,0.04,0.016,0,0.037,0.016,0.065,0.071,0.013,0.011,0.018,0.003,0,0.009,0.008,0.002,0.005,0,0
"Juan Schiaretti","Positiva",0.54,0.519,0.559,0.584,0.522,0.564,0.484,0.621,0.534,0.479,0.667,0.475,0.251,0.455,0.471,0.46,0.58,0.173,0.8
"Juan Schiaretti","Neutra",0.244,0.248,0.24,0.24,0.208,0.263,0.301,0.229,0.268,0.229,0.189,0.339,0.492,0.136,0.251,0.36,0.233,0.193,0.143
"Juan Schiaretti","Negativa",0.191,0.204,0.179,0.165,0.245,0.153,0.163,0.103,0.189,0.267,0.135,0.185,0.208,0.342,0.278,0.176,0.167,0.546,0.051
"Juan Schiaretti","No sabe",0.025,0.029,0.022,0.011,0.025,0.02,0.052,0.047,0.009,0.025,0.009,0.001,0.049,0.067,0,0.004,0.02,0.088,0.006
"Luis Juez","Positiva",0.456,0.43,0.48,0.463,0.418,0.457,0.525,0.579,0.417,0.394,0.315,0.758,0.273,0.212,0.233,0.735,0.525,0.098,0.328
"Luis Juez","Neutra",0.264,0.269,0.259,0.253,0.24,0.329,0.248,0.258,0.287,0.241,0.288,0.201,0.389,0.284,0.227,0.188,0.283,0.346,0.276
"Luis Juez","Negativa",0.247,0.259,0.237,0.263,0.296,0.199,0.183,0.098,0.28,0.341,0.371,0.037,0.338,0.37,0.53,0.077,0.162,0.556,0.335
"Luis Juez","No sabe",0.033,0.042,0.024,0.021,0.046,0.015,0.044,0.065,0.016,0.024,0.026,0.004,0,0.134,0.01,0,0.03,0,0.061
"Mauricio Macri","Positiva",0.388,0.363,0.413,0.422,0.331,0.418,0.426,0.378,0.393,0.389,0.249,0.594,0.205,0.459,0.102,0.647,0.434,0.212,0.246
"Mauricio Macri","Neutra",0.263,0.284,0.24,0.282,0.278,0.193,0.289,0.332,0.245,0.226,0.278,0.278,0.605,0.26,0.205,0.179,0.367,0.171,0.311
"Mauricio Macri","Negativa",0.332,0.325,0.34,0.296,0.373,0.376,0.24,0.242,0.358,0.377,0.467,0.128,0.19,0.202,0.693,0.174,0.182,0.617,0.443
"Mauricio Macri","No sabe",0.017,0.028,0.007,0,0.018,0.013,0.045,0.048,0.004,0.008,0.006,0,0,0.079,0,0,0.017,0,0
"Rodrigo de Loredo","Positiva",0.363,0.37,0.355,0.395,0.298,0.367,0.446,0.442,0.301,0.366,0.25,0.599,0.37,0.106,0.161,0.668,0.364,0.363,0.247
"Rodrigo de Loredo","Neutra",0.355,0.319,0.39,0.352,0.362,0.364,0.331,0.311,0.423,0.312,0.421,0.298,0.434,0.302,0.324,0.255,0.417,0.325,0.412
"Rodrigo de Loredo","Negativa",0.204,0.242,0.167,0.202,0.232,0.208,0.144,0.124,0.216,0.261,0.24,0.082,0.196,0.473,0.452,0.063,0.162,0.312,0.201
"Rodrigo de Loredo","No sabe",0.078,0.069,0.088,0.051,0.108,0.061,0.079,0.123,0.06,0.061,0.089,0.021,0,0.119,0.063,0.014,0.057,0,0.14
"Martín Llaryora","Positiva",0.299,0.272,0.325,0.38,0.241,0.262,0.35,0.382,0.31,0.212,0.526,0.162,0.033,0.154,0.58,0.187,0.242,0.171,0.515
"Martín Llaryora","Neutra",0.311,0.282,0.34,0.294,0.287,0.343,0.348,0.302,0.34,0.285,0.301,0.323,0.474,0.099,0.265,0.395,0.269,0.248,0.315
"Martín Llaryora","Negativa",0.363,0.431,0.296,0.326,0.428,0.393,0.24,0.249,0.34,0.49,0.155,0.514,0.493,0.683,0.148,0.416,0.477,0.581,0.123
"Martín Llaryora","No sabe",0.027,0.015,0.039,0,0.044,0.002,0.062,0.067,0.01,0.013,0.018,0.001,0,0.064,0.007,0.002,0.012,0,0.047
"CFK","Positiva",0.196,0.173,0.219,0.266,0.188,0.18,0.139,0.207,0.203,0.179,0.252,0.083,0.198,0.162,0.631,0.092,0.082,0.308,0.211
"CFK","Neutra",0.146,0.138,0.155,0.251,0.108,0.083,0.164,0.199,0.144,0.105,0.227,0.079,0.304,0.078,0.195,0.123,0.098,0.212,0.317
"CFK","Negativa",0.642,0.661,0.622,0.483,0.68,0.725,0.669,0.559,0.649,0.7,0.512,0.837,0.498,0.74,0.174,0.783,0.81,0.48,0.464
"CFK","No sabe",0.016,0.028,0.004,0,0.024,0.012,0.028,0.035,0.004,0.016,0.009,0.001,0,0.02,0,0.002,0.01,0,0.008
"Sergio Massa","Positiva",0.179,0.156,0.201,0.22,0.167,0.149,0.187,0.185,0.206,0.142,0.241,0.08,0.352,0.157,0.611,0.092,0.078,0.466,0.064
"Sergio Massa","Neutra",0.194,0.18,0.209,0.262,0.184,0.137,0.199,0.245,0.168,0.183,0.3,0.114,0.215,0.154,0.217,0.157,0.109,0.193,0.481
