"clase","Todos","Hombres","Mujeres","16-29 años","30-49 años","50-64 años","65+ años","Hasta primario completo","Secundario completo/incompleto","Terciario completo/incompleto","Weretilneck","Tortoriello","Horne","Massa","Milei","Alto Valle","Comarca Andina","Resto","opciones"
"Muy buena",0.065,0.085,0.038,0.119,0.006,0.065,0.155,0.133,0.023,0.063,0.062,0.042,0,0.004,0.115,0,0,0,6
"Buena",0.129,0.128,0.131,0.119,0.115,0.102,0.193,0.06,0.044,0.198,0.089,0.347,0,0.038,0.215,0,0,0,6
"Ni buena ni mala",0.41,0.518,0.264,0.44,0.421,0.614,0.16,0.429,0.452,0.381,0.5,0.52,0.18,0.37,0.407,0,0,0,6
"Mala",0.153,0.098,0.226,0,0.183,0.106,0.226,0.214,0.127,0.144,0.062,0.043,0.718,0.266,0.062,0,0,0,6
"Muy mala",0.237,0.171,0.327,0.322,0.267,0.101,0.266,0.164,0.345,0.207,0.282,0.048,0.102,0.317,0.192,0,0,0,6
"No sabe",0.006,0,0.014,0,0.008,0.012,0,0,0.009,0.007,0.005,0,0,0.005,0.009,0,0,0,6
"Positiva",0.194,0.213,0.169,0.238,0.121,0.167,0.348,0.193,0.067,0.261,0.151,0.389,0,0.042,0.33,0,0,0,4
"Neutra",0.41,0.518,0.264,0.44,0.421,0.614,0.16,0.429,0.452,0.381,0.5,0.52,0.18,0.37,0.407,0,0,0,4
"Negativa",0.39,0.269,0.553,0.322,0.45,0.207,0.492,0.378,0.472,0.351,0.344,0.091,0.82,0.583,0.254,0,0,0,4
"No sabe",0.006,0,0.014,0,0.008,0.012,0,0,0.009,0.007,0.005,0,0,0.005,0.009,0,0,0,4
