"clase","Todos","Hombres","Mujeres","16-29 años","30-49 años","50-64 años","65+ años","Hasta primario completo","Secundario completo/incompleto","Terciario completo/incompleto","Weretilneck","Tortoriello","Horne","Massa","Milei","Alto Valle","Comarca Andina","Resto","opciones"
"Muy buena",0.172,0.149,0.203,0,0.173,0.344,0.094,0.214,0.197,0.144,0.118,0.44,0.034,0,0.43,0,0,0,6
"Buena",0.175,0.252,0.071,0.44,0.066,0.14,0.285,0.133,0.052,0.254,0.15,0.318,0,0.097,0.234,0,0,0,6
"Ni buena ni mala",0.121,0.148,0.084,0.119,0.154,0.085,0.089,0.06,0.145,0.13,0.154,0.151,0,0.015,0.098,0,0,0,6
"Mala",0.071,0.071,0.072,0.119,0.084,0.052,0.038,0,0.04,0.112,0.087,0.076,0.106,0.089,0.067,0,0,0,6
"Muy mala",0.461,0.38,0.57,0.322,0.523,0.379,0.494,0.593,0.566,0.36,0.491,0.015,0.86,0.799,0.171,0,0,0,6
"No sabe",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6
"Positiva",0.347,0.401,0.274,0.44,0.239,0.484,0.379,0.347,0.249,0.398,0.268,0.758,0.034,0.097,0.664,0,0,0,4
"Neutra",0.121,0.148,0.084,0.119,0.154,0.085,0.089,0.06,0.145,0.13,0.154,0.151,0,0.015,0.098,0,0,0,4
"Negativa",0.532,0.451,0.642,0.441,0.607,0.431,0.532,0.593,0.606,0.472,0.578,0.091,0.966,0.888,0.238,0,0,0,4
"No sabe",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4
