"clase","Todos","Hombres","Mujeres","16-29 años","30-49 años","50-64 años","65+ años","Hasta primario completo","Secundario completo/incompleto","Terciario completo/incompleto","Weretilneck","Tortoriello","Horne","Massa","Milei","Alto Valle","Comarca Andina","Resto","opciones"
"Muy buena",0.137,0.19,0.065,0.118,0.139,0.231,0.046,0.214,0.167,0.094,0.226,0,0,0.132,0.022,0,0,0,6
"Buena",0.281,0.302,0.253,0.322,0.292,0.382,0.133,0.274,0.301,0.273,0.391,0.289,0,0.316,0.276,0,0,0,6
"Ni buena ni mala",0.225,0.168,0.304,0.119,0.226,0.143,0.37,0.214,0.236,0.224,0.167,0.2,0.388,0.302,0.181,0,0,0,6
"Mala",0.221,0.259,0.168,0,0.218,0.153,0.424,0.298,0.145,0.234,0.096,0.283,0.612,0.215,0.254,0,0,0,6
"Muy mala",0.134,0.081,0.205,0.441,0.125,0.091,0.018,0,0.151,0.171,0.12,0.228,0,0.035,0.267,0,0,0,6
"No sabe",0.002,0,0.005,0,0,0,0.009,0,0,0.004,0,0,0,0,0,0,0,0,6
"Positiva",0.418,0.492,0.318,0.44,0.431,0.613,0.179,0.488,0.468,0.367,0.617,0.289,0,0.448,0.298,0,0,0,4
"Neutra",0.225,0.168,0.304,0.119,0.226,0.143,0.37,0.214,0.236,0.224,0.167,0.2,0.388,0.302,0.181,0,0,0,4
"Negativa",0.355,0.34,0.373,0.441,0.343,0.244,0.442,0.298,0.296,0.405,0.216,0.511,0.612,0.25,0.521,0,0,0,4
"No sabe",0.002,0,0.005,0,0,0,0.009,0,0,0.004,0,0,0,0,0,0,0,0,4
