"clase","Todos","Hombres","Mujeres","16-29 años","30-49 años","50-64 años","65+ años","Hasta primario completo","Secundario completo/incompleto","Terciario completo/incompleto","Weretilneck","Tortoriello","Horne","Massa","Milei","Alto Valle","Comarca Andina","Resto"
"Oponerse totalmente",0.325,0.282,0.382,0.329,0.307,0.398,0.287,0.405,0.404,0.253,0.323,0.048,0.889,0.546,0.132,0,0,0
"Oponerse parcialmente",0.162,0.109,0.233,0,0.233,0.068,0.2,0.121,0.195,0.16,0.196,0.038,0.078,0.261,0.064,0,0,0
"Apoyar parcialmente",0.247,0.282,0.2,0.116,0.205,0.379,0.273,0.353,0.065,0.302,0.183,0.616,0,0.039,0.466,0,0,0
"Apoyar totalmente",0.187,0.207,0.16,0.555,0.138,0.145,0.123,0,0.188,0.257,0.174,0.288,0.033,0.083,0.319,0,0,0
"No sabe",0.079,0.12,0.025,0,0.117,0.01,0.117,0.121,0.148,0.028,0.124,0.01,0,0.071,0.019,0,0,0
