"clase","Todos","Hombres","Mujeres","16-29 años","30-49 años","50-64 años","65+ años","Hasta primario completo","Secundario completo/incompleto","Terciario completo/incompleto","Weretilneck","Tortoriello","Horne","Massa","Milei","Alto Valle","Comarca Andina","Resto"
"1-Excelente",0.227,0.167,0.315,0.537,0.198,0.148,0.211,0.208,0.36,0.125,0.282,0.107,0.062,0.264,0.186,0,0,0
"2",0.052,0.035,0.078,0,0.024,0.119,0.051,0,0.084,0.045,0.07,0.061,0,0.032,0.068,0,0,0
"3",0.065,0.07,0.057,0.083,0.076,0.027,0.083,0,0.071,0.084,0.064,0.111,0.022,0.059,0.075,0,0,0
"4",0.041,0.05,0.028,0,0.063,0.012,0.058,0,0.065,0.037,0.01,0.035,0.065,0.086,0.013,0,0,0
"5",0.232,0.277,0.167,0.084,0.175,0.311,0.33,0.389,0.181,0.219,0.204,0.283,0.043,0.15,0.294,0,0,0
"6",0.043,0.039,0.048,0,0.029,0.048,0.089,0.046,0.032,0.05,0.055,0.048,0.033,0.066,0.029,0,0,0
"7",0.039,0.035,0.045,0,0.054,0.039,0.031,0,0.018,0.07,0.063,0.008,0.04,0.052,0.041,0,0,0
"8",0.052,0.052,0.052,0,0.047,0.065,0.072,0.048,0.014,0.083,0.024,0.077,0,0.054,0.046,0,0,0
"9-Pésimo",0.232,0.262,0.187,0.296,0.334,0.202,0.029,0.309,0.153,0.268,0.212,0.27,0.715,0.211,0.236,0,0,0
"No sabe",0.017,0.013,0.023,0,0,0.029,0.046,0,0.022,0.019,0.016,0,0.02,0.026,0.012,0,0,0
