"clase","Todos","Hombres","Mujeres","16-29 años","30-49 años","50-64 años","65+ años","Hasta primario completo","Secundario completo/incompleto","Terciario completo/incompleto","Weretilneck","Tortoriello","Horne","Massa","Milei","Alto Valle","Comarca Andina","Resto"
"No tengo cable ni internet",0.208,0.148,0.29,0.659,0.113,0.15,0.167,0.207,0.287,0.134,0.22,0.08,0.695,0.261,0.213,0,0,0
"Si tuve",0.523,0.593,0.427,0.309,0.576,0.614,0.437,0.486,0.486,0.578,0.514,0.592,0.268,0.465,0.538,0,0,0
"No tuve",0.269,0.259,0.283,0.032,0.311,0.236,0.396,0.307,0.227,0.288,0.266,0.328,0.037,0.274,0.249,0,0,0
