"clase","Todos","Hombres","Mujeres","16-29 años","30-49 años","50-64 años","65+ años","Hasta primario completo","Secundario completo/incompleto","Terciario completo/incompleto","Weretilneck","Tortoriello","Horne","Massa","Milei","Alto Valle","Comarca Andina","Resto","opciones"
"Muy buena",0.085,0.091,0.077,0,0.059,0.261,0.01,0.214,0.026,0.071,0.13,0.013,0.034,0.176,0,0,0,0,6
"Buena",0.205,0.178,0.24,0,0.275,0.091,0.292,0.214,0.24,0.183,0.183,0,0.593,0.417,0.009,0,0,0,6
"Ni buena ni mala",0.173,0.192,0.147,0,0.232,0.056,0.267,0.164,0.34,0.09,0.181,0.045,0.339,0.253,0.02,0,0,0,6
"Mala",0.182,0.24,0.104,0.238,0.075,0.343,0.211,0.348,0.048,0.194,0.118,0.459,0.034,0.042,0.305,0,0,0,6
"Muy mala",0.355,0.299,0.432,0.762,0.359,0.249,0.22,0.06,0.346,0.462,0.388,0.483,0,0.112,0.666,0,0,0,6
"No sabe",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6
"Positiva",0.29,0.269,0.317,0,0.334,0.352,0.302,0.428,0.266,0.254,0.313,0.013,0.627,0.593,0.009,0,0,0,4
"Neutra",0.173,0.192,0.147,0,0.232,0.056,0.267,0.164,0.34,0.09,0.181,0.045,0.339,0.253,0.02,0,0,0,4
"Negativa",0.537,0.539,0.536,1,0.434,0.592,0.431,0.408,0.394,0.656,0.506,0.942,0.034,0.154,0.971,0,0,0,4
"No sabe",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4
