codigo	bloque	paleta	texto	label	aclaracion
P05	Imagen de dirigentes locales	politica	¿A cúal de los siguientes candidatos votó en las elecciones a gobernador del año 2019?	Voto presidencial 2019	
P06	Intención de voto intendente	politica	Si las elecciones fueran mañana ¿A qué espacio político votaría para intendente?	Intención de voto para intendente	
P07	Preferencias electorales	politica	¿A qué candidato votaría del Frente de Todos votaría para intendente?	Intención de voto para intendente dentro del Frente de Todos y el Peronismo	(Sólo para votantes del Frente de Todos)
P08	Preferencias electorales	politica	Pensando en las elecciones para intendente ¿A quién votaría ud en las próximas elecciones primarias y obligatorias (PASO)?	Intención de voto para intendente en elecciones primarias (Escenario 1)
P10	Preferencias electorales	politica	Pensando en las elecciones para intendente ¿A quién votaría ud en las próximas elecciones primarias y obligatorias (PASO)?	Intención de voto para intendente en elecciones primarias (Escenario 2)
P12	Reach de intención de voto	reach	Si Gustavo Menéndez fuera candidato a intendente, ud.	Intención de voto Gustavo Menéndez	
P13	Reach de intención de voto	reach	Si Raúl Othacehé fuera candidato a intendente, ud.	Intención de voto Raúl Othacehé	
P14	Reach de intención de voto	reach	Si David Zencich fuera candidato a intendente, ud.	Intención de voto David Zencich	
P15	Reach de intención de voto	reach	Si Pablo Cocuzza fuera candidato a intendente, ud.	intención de voto Pablo Cocuzza	
P16	Reach de intención de voto	reach	Si Karina Menéndez fuera candidata a intendenta, ud.	Intención de voto Karina Menéndez	
P17	Reach de intención de voto	reach	Si Florencia Lizaraso fuera candidata a intendenta, ud.	Intención de voto Florencia Lizaraso	
P18	Reach de intención de voto	reach	Si Flavia Luz Tesone fuera candidata a intendenta, ud.	Intención de voto Flavia Luz Tesone	
P19	Reach de intención de voto	reach	Si María Luján Rey fuera candidata a intendenta, ud.	Intención de voto María Luján Rey	
P20	Gestión municipal	quali	¿Según su opinión, cúal es el área con mejor desempeño de la gestión municipal?	Opinión sobre el área de mejor gestión municipal	
P21	Gestión municipal	quali	¿Según su opinión, cúal es el área con peor desempeño de la gestión municipal?	Opinión sobre el área de peor gestión municipal	
P22	Gestión municipal	quali	De los siguientes servicios ¿Cúal considera necesario mejorar?	Opinión sobre la necesidad de mejora de servicios	
P23	Gestión municipal	quali	Según su opinión ¿Cúal es el principal problema de seguridad en el municipio?	Opinión sobre la inseguridad en el municipio	
P24	Gestión municipal	quali	¿Qué opinión tiene respecto a la gestión de trámites y reclamos en el municipio?	Opinión sobre la gestión de trámites y reclamo	
P25	Gestión municipal	quali	¿Qué opinión tiene respecto a la comunicación e información brindada por el municipio?	Opinión sobre la información brindada por el municipio	
P26	Imagen de dirigentes	imagen	¿Qué imagen tiene de Gustavo Menéndez?	Imagen sobre Gustavo Menéndez	
P27	Imagen de dirigentes	imagen	¿Qué imagen tiene de David Zencich?	Imagen sobre David Zencich	
P28	Imagen de dirigentes	imagen	¿Qué imagen tiene de Karina Menéndez?	Imagen sobre Karina Menéndez	
P29	Imagen de dirigentes	imagen	¿Qué imagen tiene de Pablo Cocuzza?	Imagen sobre Pablo Cocuzza	
P30	Imagen de dirigentes	imagen	¿Qué imagen tiene de Raúl Othacehé?	Imagen sobre Raúl Othacehé	
P31	Imagen de dirigentes	imagen	¿Qué imagen tiene de María Luján Rey?	Imagen sobre María Luján Rey	
P32	Imagen de dirigentes	imagen	¿Qué imagen tiene de Florencia Lizaraso?	Imagen sobre Florencia Lizarasso	
P33	Imagen de dirigentes	imagen	¿Qué imagen tiene de Flavia Luz Tesone?	Imagen sobre Flavia Luz Tesone	
P34	Imagen de dirigentes	imagen	¿Qué imagen tiene sobre Alberto Fernández?	Imagen sobre Alberto Fernández	
P35	Imagen de dirigentes	imagen	¿Qué imagen tiene sobre Mauricio Macri?	Imagen sobre Mauricio Macri	
P36	Imagen de dirigentes	imagen	¿Qué imagen tiene sobre Cristina Fernández de Kirchner?	Imagen sobre CFK	
P37	Imagen de dirigentes	imagen	¿Qué imagen tiene sobre Horacio Rodríguez Larreta?	Imagen sobre Horacio Rodríguez Larreta	
P38	Imagen de dirigentes	imagen	¿Qué imagen tiene sobre Sergio Massa?	Imagen sobre Sergio Massa	
P39	Imagen de dirigentes	imagen	¿Qué imagen tiene sobre Patricia Bullrich?	Imagen sobre Patricia Bullrich	
P40	Imagen de dirigentes	imagen	¿Qué imagen tiene sobre Javier Milei?	Imagen sobre Javier Milei	
