"var","categoria","Sin deuda","Menos de 10%","Entre 10 y 20%","Entre 20 y 30%","Entre 30 y 40%","Mas del 40%","No sabe"
"P10","Siempre",0.213,0.152,0.19,0.162,0.151,0.221,0.14
"P10","Casi siempre",0.284,0.335,0.331,0.35,0.264,0.273,0.26
"P10","Casi nunca",0.346,0.347,0.341,0.348,0.4,0.353,0.349
"P10","Nunca, pero esta es una excepción",0.157,0.166,0.138,0.14,0.185,0.153,0.251
"P11","El gobierno de Javier Milei",0.241,0.236,0.267,0.337,0.383,0.392,0.325
"P11","El gobierno de Alberto Fernández",0.592,0.556,0.519,0.441,0.422,0.388,0.364
"P11","Ambos",0.131,0.158,0.194,0.165,0.164,0.16,0.182
"P11","No sabe",0.036,0.05,0.02,0.057,0.031,0.06,0.129
"P12","Dividirla en partes y transformarlas en varios decretos de necesidad y urgencia",0.208,0.213,0.168,0.181,0.185,0.098,0.159
"P12","Dividirlas en diferentes leyes que se puedan ir votando paulatinamente",0.361,0.354,0.38,0.336,0.346,0.304,0.185
"P12","Realizar un plebiscito sobre la necesidad del tratamiento de la ley ómnibus",0.128,0.141,0.154,0.124,0.092,0.121,0.133
"P12","Retirarla y no presentar nada",0.175,0.174,0.208,0.259,0.263,0.337,0.247
"P12","Volverla a presentar igual",0.093,0.074,0.064,0.052,0.067,0.063,0.044
"P12","No sabe",0.035,0.044,0.026,0.048,0.047,0.077,0.232
"P13","Javier Milei",0.559,0.535,0.463,0.412,0.406,0.331,0.307
"P13","Los gobernadores",0.355,0.354,0.423,0.483,0.465,0.535,0.342
"P13","No sabe",0.086,0.111,0.114,0.105,0.129,0.134,0.351
"P14","Muy de acuerdo",0.209,0.208,0.24,0.27,0.281,0.354,0.184
"P14","De acuerdo",0.134,0.16,0.149,0.178,0.15,0.124,0.075
"P14","Ni de acuerdo ni en desacuerdo",0.183,0.21,0.225,0.191,0.219,0.21,0.436
"P14","En desacuerdo",0.266,0.256,0.22,0.239,0.197,0.168,0.144
"P14","Muy en desacuerdo",0.193,0.155,0.164,0.11,0.137,0.097,0.096
"P14","No sabe",0.015,0.011,0.002,0.012,0.016,0.047,0.065
"P15","Muy de acuerdo",0.48,0.428,0.37,0.368,0.318,0.259,0.181
"P15","De acuerdo",0.152,0.167,0.154,0.143,0.125,0.123,0.114
"P15","Ni de acuerdo ni en desacuerdo",0.162,0.182,0.253,0.204,0.279,0.241,0.378
"P15","En desacuerdo",0.117,0.127,0.142,0.166,0.158,0.221,0.094
"P15","Muy en desacuerdo",0.059,0.059,0.056,0.099,0.076,0.105,0.098
"P15","No sabe",0.03,0.037,0.025,0.02,0.044,0.051,0.135
"P16","Muy positivo",0.503,0.437,0.451,0.408,0.271,0.244,0.315
"P16","Positivo",0.11,0.198,0.106,0.086,0.092,0.12,0.146
"P16","Ni positivo ni negativo",0.127,0.117,0.185,0.186,0.312,0.167,0.089
"P16","Negativo",0.112,0.137,0.12,0.146,0.182,0.243,0.167
"P16","Muy negativo",0.134,0.098,0.114,0.162,0.125,0.2,0.22
"P16","No sabe",0.014,0.013,0.024,0.012,0.018,0.026,0.063
