"var","categoria","Radio","Televisión","Diario","Medio digital","Redes Sociales","Ninguno en particular","No sabe"
"P10","Siempre",0.236,0.194,0.218,0.156,0.181,0.154,0.111
"P10","Casi siempre",0.341,0.35,0.284,0.283,0.289,0.328,0.238
"P10","Casi nunca",0.313,0.336,0.357,0.38,0.335,0.315,0.551
"P10","Nunca, pero esta es una excepción",0.11,0.12,0.141,0.181,0.195,0.203,0.1
"P11","El gobierno de Javier Milei",0.382,0.285,0.252,0.313,0.286,0.297,0.462
"P11","El gobierno de Alberto Fernández",0.404,0.544,0.565,0.502,0.499,0.428,0.538
"P11","Ambos",0.168,0.136,0.116,0.141,0.168,0.221,0
"P11","No sabe",0.046,0.035,0.067,0.044,0.047,0.054,0
"P12","Dividirla en partes y transformarlas en varios decretos de necesidad y urgencia",0.139,0.17,0.171,0.156,0.191,0.099,0
"P12","Dividirlas en diferentes leyes que se puedan ir votando paulatinamente",0.355,0.332,0.352,0.361,0.293,0.411,0.551
"P12","Realizar un plebiscito sobre la necesidad del tratamiento de la ley ómnibus",0.152,0.133,0.175,0.126,0.142,0.085,0.338
"P12","Retirarla y no presentar nada",0.267,0.255,0.179,0.25,0.222,0.23,0.111
"P12","Volverla a presentar igual",0.038,0.073,0.073,0.081,0.075,0.103,0
"P12","No sabe",0.049,0.037,0.05,0.026,0.077,0.072,0
"P13","Javier Milei",0.366,0.484,0.455,0.49,0.477,0.389,0.649
"P13","Los gobernadores",0.518,0.422,0.47,0.412,0.39,0.463,0.113
"P13","No sabe",0.116,0.094,0.075,0.098,0.133,0.148,0.238
"P14","Muy de acuerdo",0.331,0.25,0.268,0.256,0.239,0.274,0.111
"P14","De acuerdo",0.153,0.135,0.225,0.144,0.113,0.138,0.113
"P14","Ni de acuerdo ni en desacuerdo",0.192,0.202,0.167,0.209,0.163,0.172,0
"P14","En desacuerdo",0.195,0.263,0.175,0.195,0.225,0.232,0.438
"P14","Muy en desacuerdo",0.126,0.139,0.162,0.189,0.206,0.159,0.1
"P14","No sabe",0.003,0.011,0.003,0.007,0.054,0.025,0.238
"P15","Muy de acuerdo",0.374,0.398,0.371,0.392,0.384,0.339,0.1
"P15","De acuerdo",0.13,0.166,0.124,0.137,0.128,0.103,0.438
"P15","Ni de acuerdo ni en desacuerdo",0.18,0.193,0.21,0.189,0.221,0.204,0.113
"P15","En desacuerdo",0.177,0.144,0.162,0.161,0.127,0.135,0.111
"P15","Muy en desacuerdo",0.099,0.063,0.116,0.095,0.085,0.142,0
"P15","No sabe",0.04,0.036,0.017,0.026,0.055,0.077,0.238
"P16","Muy positivo",0.327,0.456,0.267,0.432,0.378,0.3,0.581
"P16","Positivo",0.094,0.11,0.296,0.098,0.136,0.08,0
"P16","Ni positivo ni negativo",0.186,0.194,0.125,0.139,0.114,0.047,0
"P16","Negativo",0.159,0.14,0.131,0.158,0.148,0.181,0.419
"P16","Muy negativo",0.209,0.083,0.181,0.164,0.201,0.361,0
"P16","No sabe",0.025,0.017,0,0.009,0.023,0.031,0
"P17","Si",0.316,0.41,0.34,0.36,0.339,0.277,0.367
"P17","No",0.604,0.541,0.636,0.534,0.577,0.68,0.633
"P17","No sabe",0.08,0.049,0.024,0.106,0.084,0.043,0
"P18","Salva muchas vidas",0.186,0.191,0.189,0.227,0.219,0.11,0.367
"P18","Logra disminuir la cantidad de abortos que se producen",0.118,0.164,0.153,0.127,0.086,0.093,0
"P18","Representa una reasignación del gasto público en algo más necesario",0.091,0.181,0.075,0.189,0.132,0.109,0
"P18","Deja desprotegidas a las mujeres que lo hacen clandestinamente",0.294,0.19,0.299,0.218,0.205,0.313,0.633
