"clase","Todos","Hombres","Mujeres","16-29 años","30-49 años","50-64 años","65+ años","Hasta primario completo","Secundario completo/incompleto","Terciario completo/incompleto","Fernandez","Macri","Lavagna","Centro","Norte","Sur","Buenos Aires","Massa","Milei"
"Javier Milei",0.442,0.483,0.403,0.458,0.422,0.453,0.451,0.42,0.465,0.434,0.203,0.708,0.423,0.475,0.439,0.39,0.423,0.119,0.613
"Los gobernadores",0.408,0.396,0.42,0.362,0.44,0.409,0.402,0.394,0.381,0.46,0.66,0.159,0.443,0.382,0.358,0.476,0.442,0.742,0.245
"No sabe",0.15,0.121,0.177,0.18,0.138,0.138,0.147,0.186,0.154,0.106,0.137,0.133,0.134,0.143,0.203,0.134,0.135,0.139,0.142
