"clase","Todos","Hombres","Mujeres","16-29 años","30-49 años","50-64 años","65+ años","Hasta primario completo","Secundario completo/incompleto","Terciario completo/incompleto","Fernandez","Macri","Lavagna","Centro","Norte","Sur","Buenos Aires","Massa","Milei"
"Mejor",0.103,0.126,0.083,0.125,0.1,0.093,0.094,0.122,0.111,0.077,0.063,0.135,0.165,0.111,0.104,0.079,0.1,0.041,0.118
"Igual",0.299,0.307,0.291,0.277,0.283,0.316,0.344,0.291,0.317,0.282,0.138,0.461,0.266,0.314,0.288,0.33,0.286,0.111,0.426
"Peor",0.56,0.528,0.59,0.55,0.577,0.558,0.537,0.539,0.53,0.619,0.763,0.376,0.447,0.524,0.566,0.572,0.586,0.818,0.419
"No sabe",0.038,0.039,0.036,0.048,0.04,0.033,0.025,0.048,0.042,0.022,0.036,0.028,0.122,0.051,0.042,0.019,0.028,0.03,0.037
