"clase","Todos","Hombres","Mujeres","16-29 años","30-49 años","50-64 años","65+ años","Hasta primario completo","Secundario completo/incompleto","Terciario completo/incompleto","Fernandez","Macri","Lavagna","Centro","Norte","Sur","Buenos Aires","Massa","Milei"
"Muy de acuerdo",0.238,0.244,0.232,0.203,0.266,0.231,0.228,0.248,0.22,0.251,0.377,0.113,0.245,0.222,0.195,0.329,0.255,0.419,0.139
"De acuerdo",0.139,0.145,0.133,0.137,0.145,0.125,0.147,0.131,0.137,0.15,0.201,0.068,0.237,0.13,0.163,0.145,0.136,0.213,0.099
"Ni de acuerdo ni en desacuerdo",0.233,0.2,0.266,0.272,0.221,0.2,0.252,0.29,0.245,0.159,0.235,0.201,0.222,0.226,0.285,0.211,0.222,0.25,0.205
"En desacuerdo",0.218,0.212,0.223,0.16,0.202,0.291,0.242,0.171,0.243,0.231,0.103,0.365,0.181,0.23,0.191,0.179,0.224,0.068,0.359
"Muy en desacuerdo",0.139,0.169,0.11,0.179,0.133,0.129,0.107,0.107,0.127,0.188,0.058,0.232,0.089,0.153,0.119,0.117,0.138,0.024,0.178
"No sabe",0.033,0.03,0.036,0.049,0.033,0.024,0.024,0.053,0.028,0.021,0.026,0.021,0.026,0.039,0.047,0.019,0.025,0.026,0.02
