"var","categoria","Inflación","Desempleo","Corrupción","Inseguridad","Precio del dólar","Pobreza","Narcotráfico","Tarifas","Otro","No sabe"
"P10","Siempre",0.18,0.168,0.191,0.222,0.129,0.162,0.339,0.202,0.208,0.101
"P10","Casi siempre",0.341,0.278,0.271,0.272,0.254,0.325,0.122,0.378,0.299,0.297
"P10","Casi nunca",0.357,0.352,0.358,0.34,0.341,0.353,0.392,0.272,0.329,0.463
"P10","Nunca, pero esta es una excepción",0.122,0.202,0.18,0.166,0.276,0.16,0.147,0.148,0.164,0.139
"P11","El gobierno de Javier Milei",0.362,0.451,0.108,0.245,0.409,0.493,0.325,0.642,0.428,0.299
"P11","El gobierno de Alberto Fernández",0.422,0.296,0.76,0.562,0.31,0.183,0.498,0.173,0.252,0.451
"P11","Ambos",0.173,0.197,0.088,0.153,0.202,0.279,0.129,0.153,0.243,0.18
"P11","No sabe",0.043,0.056,0.044,0.04,0.079,0.045,0.048,0.032,0.077,0.07
"P12","Dividirla en partes y transformarlas en varios decretos de necesidad y urgencia",0.157,0.164,0.22,0.22,0.112,0.125,0.161,0.045,0.074,0.173
"P12","Dividirlas en diferentes leyes que se puedan ir votando paulatinamente",0.339,0.284,0.378,0.392,0.31,0.269,0.477,0.211,0.302,0.221
"P12","Realizar un plebiscito sobre la necesidad del tratamiento de la ley ómnibus",0.119,0.129,0.166,0.118,0.155,0.082,0.077,0.104,0.065,0.038
"P12","Retirarla y no presentar nada",0.277,0.319,0.085,0.112,0.315,0.43,0.146,0.564,0.439,0.055
"P12","Volverla a presentar igual",0.065,0.043,0.107,0.088,0.062,0.036,0.092,0.008,0.027,0.083
"P12","No sabe",0.043,0.061,0.044,0.07,0.046,0.058,0.047,0.068,0.093,0.43
"P13","Javier Milei",0.39,0.292,0.718,0.509,0.298,0.177,0.577,0.079,0.182,0.27
"P13","Los gobernadores",0.486,0.589,0.173,0.361,0.536,0.704,0.352,0.762,0.709,0.266
"P13","No sabe",0.124,0.119,0.109,0.13,0.166,0.119,0.071,0.159,0.109,0.464
"P14","Muy de acuerdo",0.309,0.335,0.132,0.183,0.206,0.381,0.152,0.555,0.385,0.116
"P14","De acuerdo",0.164,0.206,0.075,0.14,0.208,0.225,0.092,0.182,0.145,0.028
"P14","Ni de acuerdo ni en desacuerdo",0.199,0.275,0.187,0.254,0.253,0.238,0.35,0.119,0.222,0.347
"P14","En desacuerdo",0.195,0.109,0.332,0.286,0.113,0.079,0.35,0.105,0.116,0.263
"P14","Muy en desacuerdo",0.118,0.05,0.258,0.116,0.166,0.058,0.056,0.012,0.068,0.047
"P14","No sabe",0.015,0.025,0.016,0.021,0.054,0.019,0,0.027,0.064,0.199
"P15","Muy de acuerdo",0.337,0.258,0.572,0.416,0.182,0.119,0.333,0.122,0.182,0.143
"P15","De acuerdo",0.146,0.134,0.171,0.162,0.037,0.111,0.152,0.12,0.088,0.091
"P15","Ni de acuerdo ni en desacuerdo",0.223,0.285,0.143,0.257,0.271,0.295,0.207,0.151,0.264,0.375
"P15","En desacuerdo",0.183,0.183,0.065,0.101,0.09,0.263,0.127,0.392,0.244,0.087
"P15","Muy en desacuerdo",0.073,0.084,0.029,0.028,0.372,0.157,0.133,0.163,0.122,0.013
"P15","No sabe",0.038,0.056,0.02,0.036,0.048,0.055,0.048,0.052,0.1,0.291
"P16","Muy positivo",0.335,0.175,0.631,0.574,0.209,0.081,0.472,0.019,0.208,0.165
