"clase","Todos","Hombres","Mujeres","16-29 años","30-49 años","50-64 años","65+ años","Hasta primario completo","Secundario completo/incompleto","Terciario completo/incompleto","Fernandez","Macri","Lavagna","Centro","Norte","Sur","Buenos Aires","Massa","Milei","opciones"
"Muy buena",0.053,0.056,0.052,0.052,0.05,0.061,0.051,0.067,0.047,0.049,0.032,0.081,0.047,0.041,0.053,0.026,0.068,0.036,0.079,6
"Buena",0.114,0.116,0.112,0.075,0.119,0.122,0.15,0.126,0.113,0.103,0.1,0.131,0.095,0.092,0.095,0.112,0.14,0.105,0.172,6
"Ni buena ni mala",0.317,0.287,0.345,0.274,0.303,0.357,0.355,0.363,0.315,0.276,0.332,0.286,0.361,0.299,0.362,0.345,0.31,0.378,0.285,6
"Mala",0.281,0.293,0.269,0.306,0.28,0.269,0.262,0.256,0.281,0.303,0.302,0.28,0.289,0.298,0.276,0.299,0.265,0.275,0.287,6
"Muy mala",0.21,0.231,0.19,0.27,0.229,0.157,0.152,0.151,0.218,0.256,0.204,0.209,0.185,0.24,0.178,0.193,0.2,0.183,0.161,6
"No sabe",0.025,0.017,0.032,0.023,0.019,0.034,0.03,0.037,0.026,0.013,0.03,0.013,0.023,0.03,0.036,0.025,0.017,0.023,0.016,6
"Positiva",0.167,0.172,0.164,0.127,0.169,0.183,0.201,0.193,0.16,0.152,0.132,0.212,0.142,0.133,0.148,0.138,0.208,0.141,0.251,4
"Neutra",0.317,0.287,0.345,0.274,0.303,0.357,0.355,0.363,0.315,0.276,0.332,0.286,0.361,0.299,0.362,0.345,0.31,0.378,0.285,4
"Negativa",0.491,0.524,0.459,0.576,0.509,0.426,0.414,0.407,0.499,0.559,0.506,0.489,0.474,0.538,0.454,0.492,0.465,0.458,0.448,4
"No sabe",0.025,0.017,0.032,0.023,0.019,0.034,0.03,0.037,0.026,0.013,0.03,0.013,0.023,0.03,0.036,0.025,0.017,0.023,0.016,4
"Positiva",0.253,0.242,0.265,0.214,0.239,0.272,0.317,0.312,0.243,0.21,0.22,0.286,0.228,0.206,0.243,0.26,0.297,0.248,0.233,2
"Negativa",0.722,0.741,0.703,0.763,0.742,0.694,0.653,0.651,0.731,0.777,0.75,0.7,0.749,0.764,0.721,0.715,0.687,0.733,0.738,2
"No sabe",0.025,0.017,0.032,0.023,0.019,0.034,0.03,0.037,0.026,0.013,0.03,0.014,0.023,0.03,0.036,0.025,0.016,0.019,0.029,2
