"clase","Opinión","Todos","Hombres","Mujeres","16-29 años","30-49 años","50-64 años","65+ años","Hasta primario completo","Secundario completo/incompleto","Terciario completo/incompleto","Fernandez","Macri","Lavagna","Centro","Norte","Sur","Buenos Aires","Massa","Milei"
"Victoria Villarruel","Positiva",0.541,0.584,0.499,0.545,0.511,0.563,0.57,0.543,0.579,0.492,0.235,0.835,0.587,0.549,0.626,0.597,0.494,0.124,0.871
"Victoria Villarruel","Negativa",0.429,0.398,0.46,0.428,0.458,0.409,0.393,0.408,0.398,0.487,0.722,0.148,0.393,0.42,0.33,0.365,0.483,0.837,0.105
"Victoria Villarruel","No sabe",0.03,0.018,0.041,0.027,0.031,0.028,0.037,0.049,0.023,0.021,0.043,0.017,0.02,0.031,0.044,0.038,0.023,0.039,0.024
"Patricia Bullrich","Positiva",0.538,0.581,0.495,0.516,0.51,0.575,0.58,0.551,0.558,0.5,0.21,0.865,0.532,0.566,0.56,0.551,0.502,0.097,0.878
"Patricia Bullrich","Negativa",0.458,0.416,0.499,0.481,0.484,0.42,0.417,0.446,0.437,0.496,0.786,0.133,0.466,0.428,0.435,0.447,0.495,0.9,0.117
"Patricia Bullrich","No sabe",0.004,0.003,0.006,0.003,0.006,0.005,0.003,0.003,0.005,0.004,0.004,0.002,0.002,0.006,0.005,0.002,0.003,0.003,0.005
"Javier Milei","Positiva",0.534,0.586,0.483,0.533,0.506,0.561,0.563,0.532,0.561,0.502,0.21,0.854,0.519,0.569,0.553,0.565,0.493,0.066,0.905
"Javier Milei","Negativa",0.459,0.41,0.508,0.463,0.487,0.434,0.425,0.46,0.432,0.493,0.783,0.142,0.477,0.424,0.435,0.431,0.502,0.928,0.09
"Javier Milei","No sabe",0.007,0.004,0.009,0.004,0.007,0.005,0.012,0.008,0.007,0.005,0.007,0.004,0.004,0.007,0.012,0.004,0.005,0.006,0.005
"Juan Schiaretti","Positiva",0.513,0.539,0.488,0.552,0.492,0.486,0.542,0.535,0.543,0.457,0.29,0.689,0.659,0.549,0.577,0.526,0.457,0.256,0.694
"Juan Schiaretti","Negativa",0.441,0.432,0.449,0.411,0.462,0.459,0.41,0.388,0.416,0.519,0.659,0.273,0.297,0.426,0.354,0.422,0.489,0.692,0.264
"Juan Schiaretti","No sabe",0.046,0.029,0.063,0.037,0.046,0.055,0.048,0.077,0.041,0.024,0.051,0.038,0.044,0.025,0.069,0.052,0.054,0.052,0.042
"Toto Caputo","Positiva",0.476,0.515,0.439,0.484,0.43,0.514,0.519,0.466,0.521,0.43,0.167,0.796,0.473,0.511,0.471,0.455,0.451,0.075,0.795
"Toto Caputo","Negativa",0.489,0.465,0.512,0.477,0.53,0.464,0.449,0.481,0.452,0.542,0.803,0.179,0.482,0.458,0.465,0.523,0.52,0.888,0.174
"Toto Caputo","No sabe",0.035,0.02,0.049,0.039,0.04,0.022,0.032,0.053,0.027,0.028,0.03,0.025,0.045,0.031,0.064,0.022,0.029,0.037,0.031
"Karina Milei","Positiva",0.471,0.499,0.444,0.484,0.448,0.493,0.474,0.438,0.518,0.442,0.205,0.748,0.362,0.51,0.464,0.448,0.444,0.115,0.768
"Karina Milei","Negativa",0.493,0.472,0.514,0.487,0.528,0.464,0.465,0.507,0.448,0.538,0.757,0.226,0.62,0.455,0.483,0.53,0.524,0.85,0.202
"Karina Milei","No sabe",0.036,0.029,0.042,0.029,0.024,0.043,0.061,0.055,0.034,0.02,0.038,0.026,0.018,0.035,0.053,0.022,0.032,0.035,0.03
"Guillermo Francos","Positiva",0.446,0.486,0.406,0.38,0.415,0.51,0.523,0.479,0.445,0.416,0.158,0.741,0.454,0.468,0.444,0.442,0.428,0.083,0.734
"Guillermo Francos","Negativa",0.458,0.437,0.48,0.506,0.489,0.402,0.398,0.413,0.458,0.502,0.739,0.178,0.45,0.435,0.425,0.466,0.49,0.835,0.164
"Guillermo Francos","No sabe",0.096,0.077,0.114,0.114,0.096,0.088,0.079,0.108,0.097,0.082,0.103,0.081,0.096,0.097,0.131,0.092,0.082,0.082,0.102
"Maria Eugenia Vidal","Positiva",0.411,0.4,0.423,0.332,0.385,0.465,0.518,0.451,0.432,0.349,0.157,0.673,0.407,0.427,0.428,0.457,0.385,0.127,0.639
"Maria Eugenia Vidal","Negativa",0.572,0.589,0.555,0.648,0.595,0.52,0.475,0.524,0.553,0.64,0.823,0.311,0.584,0.55,0.55,0.531,0.604,0.856,0.347
"Maria Eugenia Vidal","No sabe",0.017,0.011,0.022,0.02,0.02,0.015,0.007,0.025,0.015,0.011,0.02,0.016,0.009,0.023,0.022,0.012,0.011,0.017,0.014
"Mauricio Macri","Positiva",0.406,0.436,0.378,0.352,0.389,0.439,0.482,0.4,0.415,0.401,0.122,0.744,0.339,0.447,0.378,0.398,0.384,0.074,0.688
"Mauricio Macri","Negativa",0.587,0.558,0.615,0.644,0.606,0.552,0.508,0.589,0.581,0.593,0.872,0.252,0.66,0.543,0.621,0.598,0.61,0.921,0.305
"Mauricio Macri","No sabe",0.007,0.006,0.007,0.004,0.005,0.009,0.01,0.011,0.004,0.006,0.006,0.004,0.001,0.01,0.001,0.004,0.006,0.005,0.007
"Axel Kicillof","Positiva",0.389,0.356,0.42,0.364,0.399,0.384,0.406,0.417,0.358,0.4,0.707,0.097,0.348,0.339,0.354,0.375,0.445,0.825,0.085
"Axel Kicillof","Negativa",0.597,0.631,0.564,0.62,0.589,0.597,0.583,0.563,0.625,0.595,0.279,0.891,0.638,0.644,0.609,0.61,0.552,0.157,0.905
"Axel Kicillof","No sabe",0.014,0.013,0.016,0.016,0.012,0.019,0.011,0.02,0.017,0.005,0.014,0.012,0.014,0.017,0.037,0.015,0.003,0.018,0.01
"CFK","Positiva",0.37,0.329,0.41,0.391,0.361,0.364,0.369,0.373,0.368,0.369,0.709,0.071,0.312,0.322,0.387,0.349,0.406,0.782,0.077
"CFK","Negativa",0.62,0.664,0.578,0.601,0.63,0.626,0.618,0.611,0.623,0.625,0.287,0.925,0.646,0.665,0.601,0.651,0.586,0.212,0.915
"CFK","No sabe",0.01,0.007,0.012,0.008,0.009,0.01,0.013,0.016,0.009,0.006,0.004,0.004,0.042,0.013,0.012,0,0.008,0.006,0.008
"Wado de Pedro","Positiva",0.369,0.346,0.391,0.359,0.394,0.337,0.373,0.392,0.331,0.394,0.587,0.183,0.327,0.346,0.359,0.352,0.395,0.642,0.184
"Wado de Pedro","Negativa",0.569,0.607,0.533,0.578,0.545,0.599,0.569,0.525,0.61,0.561,0.362,0.773,0.564,0.578,0.561,0.566,0.566,0.314,0.751
"Wado de Pedro","No sabe",0.062,0.047,0.076,0.063,0.061,0.064,0.058,0.083,0.059,0.045,0.051,0.044,0.109,0.076,0.08,0.082,0.039,0.044,0.065
"Sergio Massa","Positiva",0.347,0.313,0.379,0.33,0.353,0.348,0.357,0.377,0.339,0.328,0.65,0.082,0.303,0.293,0.334,0.365,0.395,0.749,0.06
"Sergio Massa","Negativa",0.647,0.681,0.614,0.665,0.641,0.641,0.641,0.614,0.655,0.667,0.34,0.915,0.697,0.701,0.662,0.623,0.598,0.246,0.934
"Sergio Massa","No sabe",0.006,0.006,0.007,0.005,0.006,0.011,0.002,0.009,0.006,0.005,0.01,0.003,0,0.006,0.004,0.012,0.007,0.005,0.006
"Martín Llaryora","Positiva",0.289,0.283,0.295,0.278,0.259,0.293,0.37,0.33,0.285,0.258,0.269,0.305,0.358,0.301,0.307,0.231,0.28,0.282,0.29
"Martín Llaryora","Negativa",0.596,0.638,0.555,0.591,0.639,0.608,0.487,0.547,0.598,0.637,0.623,0.579,0.563,0.611,0.532,0.669,0.597,0.624,0.587
"Martín Llaryora","No sabe",0.115,0.079,0.15,0.131,0.102,0.099,0.143,0.123,0.117,0.105,0.108,0.116,0.079,0.088,0.161,0.1,0.123,0.094,0.123
"Martin Lousteau","Positiva",0.277,0.245,0.308,0.221,0.245,0.339,0.35,0.35,0.248,0.244,0.325,0.232,0.313,0.259,0.306,0.3,0.279,0.361,0.2
"Martin Lousteau","Negativa",0.671,0.717,0.626,0.707,0.71,0.605,0.614,0.575,0.703,0.721,0.619,0.733,0.654,0.674,0.62,0.68,0.685,0.59,0.744
"Martin Lousteau","No sabe",0.052,0.038,0.066,0.072,0.045,0.056,0.036,0.075,0.049,0.035,0.056,0.035,0.033,0.067,0.074,0.02,0.036,0.049,0.056
"Malena Galmarini","Positiva",0.274,0.248,0.3,0.256,0.267,0.289,0.3,0.261,0.263,0.3,0.52,0.069,0.214,0.237,0.248,0.304,0.312,0.586,0.058
"Malena Galmarini","Negativa",0.657,0.687,0.628,0.65,0.664,0.652,0.657,0.665,0.669,0.635,0.407,0.881,0.719,0.682,0.651,0.607,0.645,0.353,0.874
"Malena Galmarini","No sabe",0.069,0.065,0.072,0.094,0.069,0.059,0.043,0.074,0.068,0.065,0.073,0.05,0.067,0.081,0.101,0.089,0.043,0.061,0.068
"Horacio Rodriguez Larreta","Positiva",0.253,0.242,0.265,0.214,0.239,0.272,0.317,0.312,0.243,0.21,0.22,0.286,0.228,0.206,0.243,0.26,0.297,0.248,0.233
"Horacio Rodriguez Larreta","Negativa",0.722,0.741,0.703,0.763,0.742,0.694,0.653,0.651,0.731,0.777,0.75,0.7,0.749,0.764,0.721,0.715,0.687,0.733,0.738
"Horacio Rodriguez Larreta","No sabe",0.025,0.017,0.032,0.023,0.019,0.034,0.03,0.037,0.026,0.013,0.03,0.014,0.023,0.03,0.036,0.025,0.016,0.019,0.029
"Alberto Fernandez","Positiva",0.186,0.153,0.219,0.2,0.173,0.171,0.218,0.257,0.187,0.12,0.338,0.045,0.182,0.151,0.206,0.145,0.214,0.38,0.045
"Alberto Fernandez","Negativa",0.808,0.844,0.773,0.798,0.818,0.823,0.779,0.736,0.806,0.877,0.657,0.954,0.805,0.843,0.792,0.853,0.779,0.615,0.95
"Alberto Fernandez","No sabe",0.006,0.003,0.008,0.002,0.009,0.006,0.003,0.007,0.007,0.003,0.005,0.001,0.013,0.006,0.002,0.002,0.007,0.005,0.005
