"clase","Todos","Hombres","Mujeres","16-29 años","30-49 años","50-64 años","65+ años","Hasta primario completo","Secundario completo/incompleto","Terciario completo/incompleto","Fernandez","Macri","Lavagna","Centro","Norte","Sur","Buenos Aires","Massa","Milei"
"Mejor",0.379,0.421,0.337,0.394,0.349,0.413,0.378,0.346,0.407,0.374,0.142,0.636,0.333,0.396,0.39,0.373,0.361,0.073,0.541
"Igual",0.129,0.128,0.13,0.129,0.117,0.128,0.157,0.146,0.134,0.105,0.09,0.153,0.198,0.137,0.139,0.14,0.116,0.082,0.181
"Peor",0.422,0.394,0.45,0.405,0.472,0.393,0.373,0.434,0.383,0.463,0.704,0.143,0.408,0.404,0.382,0.411,0.456,0.79,0.202
"No sabe",0.07,0.057,0.083,0.072,0.062,0.066,0.092,0.074,0.076,0.058,0.064,0.068,0.061,0.063,0.089,0.076,0.067,0.055,0.076
