"clase","Todos","Hombres","Mujeres","16-29 años","30-49 años","50-64 años","65+ años","Hasta primario completo","Secundario completo/incompleto","Terciario completo/incompleto","Fernandez","Macri","Lavagna","Centro","Norte","Sur","Buenos Aires","Massa","Milei"
"Si",0.529,0.581,0.48,0.503,0.508,0.572,0.568,0.551,0.575,0.452,0.289,0.774,0.467,0.54,0.584,0.441,0.513,0.22,0.728
"No",0.377,0.32,0.43,0.411,0.398,0.333,0.324,0.319,0.351,0.46,0.61,0.136,0.397,0.365,0.357,0.376,0.393,0.675,0.182
"No sabe",0.094,0.099,0.09,0.086,0.094,0.095,0.108,0.13,0.074,0.088,0.101,0.09,0.136,0.095,0.059,0.183,0.094,0.105,0.09
