"clase","Todos","Hombres","Mujeres","16-29 años","30-49 años","50-64 años","65+ años","Hasta primario completo","Secundario completo/incompleto","Terciario completo/incompleto","Fernandez","Macri","Lavagna","Centro","Norte","Sur","Buenos Aires","Massa","Milei","opciones"
"Muy buena",0.177,0.217,0.14,0.246,0.178,0.127,0.143,0.167,0.198,0.161,0.076,0.306,0.125,0.202,0.175,0.185,0.157,0.039,0.206,6
"Buena",0.187,0.202,0.173,0.138,0.168,0.234,0.24,0.184,0.191,0.185,0.064,0.298,0.229,0.203,0.201,0.191,0.168,0.035,0.323,6
"Ni buena ni mala",0.207,0.174,0.239,0.212,0.197,0.209,0.222,0.242,0.233,0.141,0.159,0.234,0.269,0.182,0.275,0.249,0.195,0.168,0.236,6
"Mala",0.165,0.16,0.169,0.138,0.168,0.169,0.192,0.211,0.146,0.144,0.245,0.084,0.149,0.15,0.149,0.129,0.188,0.262,0.108,6
"Muy mala",0.243,0.231,0.254,0.246,0.274,0.233,0.179,0.167,0.21,0.358,0.427,0.065,0.215,0.245,0.181,0.224,0.269,0.475,0.108,6
"No sabe",0.021,0.016,0.025,0.02,0.015,0.028,0.024,0.029,0.022,0.011,0.029,0.013,0.013,0.018,0.019,0.022,0.023,0.021,0.019,6
"Positiva",0.364,0.419,0.313,0.384,0.346,0.361,0.383,0.351,0.389,0.346,0.14,0.604,0.354,0.405,0.376,0.376,0.325,0.074,0.529,4
"Neutra",0.207,0.174,0.239,0.212,0.197,0.209,0.222,0.242,0.233,0.141,0.159,0.234,0.269,0.182,0.275,0.249,0.195,0.168,0.236,4
"Negativa",0.408,0.391,0.423,0.384,0.442,0.402,0.371,0.378,0.356,0.502,0.672,0.149,0.364,0.395,0.33,0.353,0.457,0.737,0.216,4
"No sabe",0.021,0.016,0.025,0.02,0.015,0.028,0.024,0.029,0.022,0.011,0.029,0.013,0.013,0.018,0.019,0.022,0.023,0.021,0.019,4
