"clase","Todos","Hombres","Mujeres","16-29 años","30-49 años","50-64 años","65+ años","Hasta primario completo","Secundario completo/incompleto","Terciario completo/incompleto","Fernandez","Macri","Lavagna","Centro","Norte","Sur","Buenos Aires","Massa","Milei","opciones"
"Muy buena",0.046,0.054,0.037,0.052,0.053,0.034,0.034,0.062,0.039,0.04,0.043,0.036,0.107,0.07,0.069,0.019,0.02,0.043,0.03,6
"Buena",0.097,0.099,0.096,0.076,0.076,0.114,0.155,0.116,0.082,0.098,0.091,0.109,0.099,0.107,0.078,0.1,0.096,0.094,0.129,6
"Ni buena ni mala",0.459,0.457,0.462,0.453,0.458,0.493,0.425,0.459,0.489,0.423,0.456,0.478,0.45,0.432,0.466,0.513,0.473,0.449,0.468,6
"Mala",0.147,0.155,0.14,0.149,0.142,0.151,0.153,0.11,0.161,0.165,0.167,0.14,0.11,0.155,0.128,0.137,0.15,0.163,0.161,6
"Muy mala",0.136,0.156,0.115,0.139,0.169,0.109,0.09,0.13,0.112,0.169,0.135,0.122,0.155,0.148,0.099,0.131,0.138,0.151,0.111,6
"No sabe",0.115,0.079,0.15,0.131,0.102,0.099,0.143,0.123,0.117,0.105,0.108,0.115,0.079,0.088,0.16,0.1,0.123,0.1,0.101,6
"Positiva",0.143,0.153,0.133,0.128,0.129,0.148,0.189,0.178,0.121,0.138,0.134,0.145,0.206,0.177,0.147,0.119,0.116,0.137,0.159,4
"Neutra",0.459,0.457,0.462,0.453,0.458,0.493,0.425,0.459,0.489,0.423,0.456,0.478,0.45,0.432,0.466,0.513,0.473,0.449,0.468,4
"Negativa",0.283,0.311,0.255,0.288,0.311,0.26,0.243,0.24,0.273,0.334,0.302,0.262,0.265,0.303,0.227,0.268,0.288,0.314,0.272,4
"No sabe",0.115,0.079,0.15,0.131,0.102,0.099,0.143,0.123,0.117,0.105,0.108,0.115,0.079,0.088,0.16,0.1,0.123,0.1,0.101,4
"Positiva",0.289,0.283,0.295,0.278,0.259,0.293,0.37,0.33,0.285,0.258,0.269,0.305,0.358,0.301,0.307,0.231,0.28,0.282,0.29,2
"Negativa",0.596,0.638,0.555,0.591,0.639,0.608,0.487,0.547,0.598,0.637,0.623,0.579,0.563,0.611,0.532,0.669,0.597,0.624,0.587,2
"No sabe",0.115,0.079,0.15,0.131,0.102,0.099,0.143,0.123,0.117,0.105,0.108,0.116,0.079,0.088,0.161,0.1,0.123,0.094,0.123,2
