"clase","Todos","Hombres","Mujeres","16-29 años","30-49 años","50-64 años","65+ años","Hasta primario completo","Secundario completo/incompleto","Terciario completo/incompleto","Fernandez","Macri","Lavagna","Centro","Norte","Sur","Buenos Aires","Massa","Milei","opciones"
"Muy buena",0.11,0.102,0.118,0.098,0.126,0.095,0.114,0.106,0.086,0.145,0.196,0.048,0.072,0.112,0.084,0.103,0.121,0.23,0.052,6
"Buena",0.13,0.128,0.131,0.138,0.127,0.122,0.136,0.126,0.127,0.138,0.197,0.086,0.086,0.122,0.139,0.115,0.135,0.203,0.105,6
"Ni buena ni mala",0.307,0.295,0.318,0.315,0.322,0.296,0.271,0.346,0.311,0.263,0.304,0.28,0.341,0.29,0.349,0.349,0.299,0.302,0.238,6
"Mala",0.158,0.177,0.14,0.173,0.123,0.186,0.179,0.146,0.178,0.144,0.118,0.206,0.154,0.148,0.182,0.164,0.156,0.105,0.218,6
"Muy mala",0.233,0.251,0.217,0.213,0.241,0.237,0.242,0.193,0.239,0.265,0.134,0.336,0.238,0.252,0.166,0.187,0.25,0.118,0.348,6
"No sabe",0.062,0.047,0.076,0.063,0.061,0.064,0.058,0.083,0.059,0.045,0.051,0.044,0.109,0.076,0.08,0.082,0.039,0.042,0.039,6
"Positiva",0.24,0.23,0.249,0.236,0.253,0.217,0.25,0.232,0.213,0.283,0.393,0.134,0.158,0.234,0.223,0.218,0.256,0.433,0.157,4
"Neutra",0.307,0.295,0.318,0.315,0.322,0.296,0.271,0.346,0.311,0.263,0.304,0.28,0.341,0.29,0.349,0.349,0.299,0.302,0.238,4
"Negativa",0.391,0.428,0.357,0.386,0.364,0.423,0.421,0.339,0.417,0.409,0.252,0.542,0.392,0.4,0.348,0.351,0.406,0.223,0.566,4
"No sabe",0.062,0.047,0.076,0.063,0.061,0.064,0.058,0.083,0.059,0.045,0.051,0.044,0.109,0.076,0.08,0.082,0.039,0.042,0.039,4
"Positiva",0.369,0.346,0.391,0.359,0.394,0.337,0.373,0.392,0.331,0.394,0.587,0.183,0.327,0.346,0.359,0.352,0.395,0.642,0.184,2
"Negativa",0.569,0.607,0.533,0.578,0.545,0.599,0.569,0.525,0.61,0.561,0.362,0.773,0.564,0.578,0.561,0.566,0.566,0.314,0.751,2
"No sabe",0.062,0.047,0.076,0.063,0.061,0.064,0.058,0.083,0.059,0.045,0.051,0.044,0.109,0.076,0.08,0.082,0.039,0.044,0.065,2
