"clase","Todos","Hombres","Mujeres","16-29 años","30-49 años","50-64 años","65+ años","Hasta primario completo","Secundario completo/incompleto","Terciario completo/incompleto","Fernandez","Macri","Lavagna","Centro","Norte","Sur","Buenos Aires","Massa","Milei"
"Radio",0.137,0.154,0.119,0.074,0.138,0.183,0.162,0.137,0.118,0.159,0.164,0.135,0.106,0.161,0.076,0.145,0.138,0.171,0.154
"Televisión",0.371,0.341,0.401,0.233,0.316,0.46,0.577,0.478,0.382,0.263,0.354,0.419,0.352,0.323,0.351,0.314,0.428,0.395,0.44
"Diario",0.069,0.074,0.065,0.054,0.066,0.086,0.076,0.08,0.064,0.065,0.061,0.062,0.153,0.066,0.085,0.055,0.068,0.061,0.105
"Medio digital",0.191,0.196,0.186,0.29,0.211,0.117,0.104,0.108,0.191,0.266,0.203,0.162,0.179,0.21,0.188,0.233,0.17,0.152,0.166
"Redes Sociales",0.176,0.178,0.174,0.299,0.201,0.094,0.049,0.146,0.197,0.175,0.161,0.169,0.173,0.18,0.255,0.17,0.143,0.164,0.092
"Ninguno en particular",0.056,0.056,0.055,0.049,0.068,0.059,0.032,0.051,0.048,0.07,0.057,0.052,0.035,0.059,0.045,0.083,0.053,0.057,0.042
"No sabe",0,0.001,0,0.001,0,0.001,0,0,0,0.002,0,0.001,0.002,0.001,0,0,0,0,0.001
