"clase","Todos","Hombres","Mujeres","16-29 años","30-49 años","50-64 años","65+ años","Hasta primario completo","Secundario completo/incompleto","Terciario completo/incompleto","Fernandez","Macri","Lavagna","Centro","Norte","Sur","Buenos Aires","Massa","Milei"
"Mejor",0.321,0.37,0.274,0.329,0.301,0.345,0.324,0.314,0.35,0.29,0.135,0.519,0.335,0.329,0.345,0.338,0.302,0.068,0.431
"Igual",0.182,0.172,0.191,0.175,0.186,0.167,0.2,0.202,0.172,0.175,0.113,0.235,0.193,0.191,0.176,0.185,0.175,0.115,0.242
"Peor",0.408,0.382,0.434,0.419,0.427,0.393,0.37,0.383,0.384,0.464,0.679,0.157,0.366,0.388,0.363,0.415,0.444,0.744,0.228
"No sabe",0.089,0.076,0.101,0.077,0.086,0.095,0.106,0.101,0.094,0.071,0.073,0.089,0.106,0.092,0.116,0.062,0.079,0.073,0.099
