"clase","Todos","Hombres","Mujeres","16-29 años","30-49 años","50-64 años","65+ años","Hasta primario completo","Secundario completo/incompleto","Terciario completo/incompleto","Fernandez","Macri","Lavagna","Centro","Norte","Sur","Buenos Aires","Massa","Milei","opciones"
"Muy buena",0.037,0.036,0.038,0.027,0.04,0.027,0.059,0.048,0.03,0.035,0.07,0.014,0.031,0.035,0.03,0.018,0.044,0.08,0.009,6
"Buena",0.104,0.107,0.101,0.091,0.086,0.132,0.128,0.111,0.098,0.106,0.196,0.035,0.031,0.082,0.083,0.175,0.122,0.216,0.052,6
"Ni buena ni mala",0.321,0.284,0.358,0.374,0.348,0.258,0.269,0.316,0.339,0.305,0.409,0.21,0.416,0.322,0.386,0.301,0.299,0.434,0.189,6
"Mala",0.143,0.148,0.138,0.124,0.12,0.182,0.169,0.154,0.145,0.13,0.113,0.164,0.116,0.125,0.157,0.186,0.146,0.103,0.193,6
"Muy mala",0.326,0.36,0.293,0.29,0.337,0.342,0.332,0.297,0.32,0.359,0.139,0.528,0.339,0.355,0.243,0.231,0.346,0.109,0.529,6
"No sabe",0.069,0.065,0.072,0.094,0.069,0.059,0.043,0.074,0.068,0.065,0.073,0.049,0.067,0.081,0.101,0.089,0.043,0.058,0.028,6
"Positiva",0.141,0.143,0.139,0.118,0.126,0.159,0.187,0.159,0.128,0.141,0.266,0.049,0.062,0.117,0.113,0.193,0.166,0.296,0.061,4
"Neutra",0.321,0.284,0.358,0.374,0.348,0.258,0.269,0.316,0.339,0.305,0.409,0.21,0.416,0.322,0.386,0.301,0.299,0.434,0.189,4
"Negativa",0.469,0.508,0.431,0.414,0.457,0.524,0.501,0.451,0.465,0.489,0.252,0.692,0.455,0.48,0.4,0.417,0.492,0.212,0.722,4
"No sabe",0.069,0.065,0.072,0.094,0.069,0.059,0.043,0.074,0.068,0.065,0.073,0.049,0.067,0.081,0.101,0.089,0.043,0.058,0.028,4
"Positiva",0.274,0.248,0.3,0.256,0.267,0.289,0.3,0.261,0.263,0.3,0.52,0.069,0.214,0.237,0.248,0.304,0.312,0.586,0.058,2
"Negativa",0.657,0.687,0.628,0.65,0.664,0.652,0.657,0.665,0.669,0.635,0.407,0.881,0.719,0.682,0.651,0.607,0.645,0.353,0.874,2
"No sabe",0.069,0.065,0.072,0.094,0.069,0.059,0.043,0.074,0.068,0.065,0.073,0.05,0.067,0.081,0.101,0.089,0.043,0.061,0.068,2
