"clase","Todos","Hombres","Mujeres","16-29 años","30-49 años","50-64 años","65+ años","Hasta primario completo","Secundario completo/incompleto","Terciario completo/incompleto","Fernandez","Macri","Lavagna","Centro","Norte","Sur","Buenos Aires","Massa","Milei","opciones"
"Muy buena",0.037,0.044,0.031,0.035,0.032,0.035,0.053,0.041,0.037,0.033,0.035,0.045,0.014,0.039,0.044,0.034,0.033,0.038,0.061,6
"Buena",0.111,0.1,0.122,0.049,0.109,0.156,0.149,0.137,0.082,0.124,0.109,0.123,0.113,0.112,0.097,0.11,0.116,0.119,0.125,6
"Ni buena ni mala",0.382,0.345,0.416,0.401,0.365,0.369,0.407,0.384,0.416,0.337,0.43,0.306,0.524,0.361,0.427,0.419,0.376,0.472,0.331,6
"Mala",0.207,0.208,0.205,0.196,0.216,0.203,0.205,0.178,0.208,0.231,0.229,0.21,0.131,0.21,0.198,0.248,0.201,0.209,0.234,6
"Muy mala",0.211,0.265,0.16,0.247,0.233,0.181,0.15,0.185,0.208,0.241,0.141,0.281,0.185,0.211,0.16,0.169,0.238,0.111,0.226,6
"No sabe",0.052,0.038,0.066,0.072,0.045,0.056,0.036,0.075,0.049,0.034,0.056,0.035,0.033,0.067,0.074,0.02,0.036,0.051,0.023,6
"Positiva",0.148,0.144,0.153,0.084,0.141,0.191,0.202,0.178,0.119,0.157,0.144,0.168,0.127,0.151,0.141,0.144,0.149,0.157,0.186,4
"Neutra",0.382,0.345,0.416,0.401,0.365,0.369,0.407,0.384,0.416,0.337,0.43,0.306,0.524,0.361,0.427,0.419,0.376,0.472,0.331,4
"Negativa",0.418,0.473,0.365,0.443,0.449,0.384,0.355,0.363,0.416,0.472,0.37,0.491,0.316,0.421,0.358,0.417,0.439,0.32,0.46,4
"No sabe",0.052,0.038,0.066,0.072,0.045,0.056,0.036,0.075,0.049,0.034,0.056,0.035,0.033,0.067,0.074,0.02,0.036,0.051,0.023,4
"Positiva",0.277,0.245,0.308,0.221,0.245,0.339,0.35,0.35,0.248,0.244,0.325,0.232,0.313,0.259,0.306,0.3,0.279,0.361,0.2,2
"Negativa",0.671,0.717,0.626,0.707,0.71,0.605,0.614,0.575,0.703,0.721,0.619,0.733,0.654,0.674,0.62,0.68,0.685,0.59,0.744,2
"No sabe",0.052,0.038,0.066,0.072,0.045,0.056,0.036,0.075,0.049,0.035,0.056,0.035,0.033,0.067,0.074,0.02,0.036,0.049,0.056,2
