"var","categoria","Tiene Decidido que va a ir a votar","Tiene dudas sobre si va a ir a  votar","Tiene Decidido que no va a ir a votar"
"P10","Unión por la Patria",0.392,0.271,0.314
"P10","Juntos por el Cambio",0.27,0.176,0.148
"P10","De los liberales libertarios",0.219,0.273,0.078
"P10","De la Izquierda",0.046,0.048,0.196
"P10","Hacemos por nuestro país",0.012,0.006,0.078
"P10","Otro",0.02,0.012,0.09
"P10","En blanco",0.009,0.105,0.075
"P10","No sabe",0.032,0.109,0.021
"P20","Sergio Massa Presidente, Agustin Rossi Vicepresidente, Axel Kicillof gobernador y Veronica Magario vicegobernadora; por Union por la Patria",0.441,0.363,0.134
"P20","Patricia Bullrich Presidenta, Luis Petri Vicepresidente, Nestor Grindetti gobernador y Miguel Fernandez vicegobernador; por Juntos por el Cambio",0.247,0.225,0.327
"P20","Javier Milei Presidente, Victoria Villarruel Vicepresidenta, Carolina Piparo gobernadora y Francisco Oneto vicegobernador; por la Libertad Avanza",0.229,0.146,0.087
"P20","Los candidatos a presidente, vicepresidente, gobernador y vicegobernador de la izquierda",0.028,0.056,0.136
"P20","Juan Schiaretti a presidente y Florencio Randazzo a vicepresidente por Hacemos nuestro País",0.021,0.043,0.057
"P20","En blanco",0.012,0.008,0.095
"P20","No sabe",0.022,0.159,0.164
"P26","Totalmente seguro",0.794,0.304,0.27
"P26","Bastante seguro",0.08,0.263,0.076
"P26","Algo seguro",0.061,0.141,0.5
"P26","Para nada seguro",0.065,0.292,0.154
"P28","Sergio Massa a Presidente y Agustin Rossi a Vicepresidente por Union por la Patria",0.521,0.25,0.278
"P28","Patricia Bullrich a Presidente y Luis Petri a Vicepresidente por Juntos por el Cambio",0.306,0.335,0.291
"P28","En blanco",0.093,0.138,0.27
"P28","No sabe",0.08,0.277,0.161
"P29","Patricia Bullrich a Presidente y Luis Petri a Vicepresidente por Juntos por el Cambio",0.358,0.27,0.272
"P29","Javier Milei a Presidente y Victoria Villarruel a Vicepresidente por La Libertad Avanza",0.241,0.276,0.273
"P29","En blanco",0.249,0.128,0.28
"P29","No sabe",0.152,0.326,0.175
"P30","Sergio Massa a Presidente y Agustin Rossi a Vicepresidente por Union por la Patria",0.493,0.255,0.23
"P30","Javier Milei a Presidente y Victoria Villarruel a Vicepresidente por La Libertad Avanza",0.297,0.374,0.292
"P30","En blanco",0.115,0.164,0.307
"P30","No sabe",0.095,0.207,0.171
"P38","Inflación",0.37,0.231,0.409
"P38","Desempleo",0.082,0.072,0.067
"P38","Corrupción",0.282,0.252,0.248
"P38","Inseguridad",0.127,0.266,0.168
"P38","Precio del dólar",0.033,0.053,0
"P38","Pobreza",0.053,0.018,0.052
"P38","Narcotráfico",0.006,0.054,0.026
"P38","Tarifas",0.003,0.004,0
"P38","Otro",0.037,0.015,0.023
"P38","No sabe",0.007,0.035,0.007
"GOBERNADOR","Axel Kicillof gobernador y Veronica Magario vicegobernadora; por Union por la Patria",0.412,0.277,0.102
"GOBERNADOR","Nestor Grindetti gobernador y Miguel Fernandez vicegobernador; por Juntos por el Cambio",0.256,0.29,0.209
"GOBERNADOR","Carolina Piparo gobernadora y Francisco Oneto vicegobernador; por la Libertad Avanza",0.214,0.151,0.171
"GOBERNADOR","Gobernador y vicegobernador de la izquierda",0.038,0.058,0.152
"GOBERNADOR","En blanco",0.058,0.065,0.202
"GOBERNADOR","No sabe",0.022,0.159,0.164
"CORTA_GOBERNADOR","Si",0.148,0.292,0.254
"CORTA_GOBERNADOR","No",0.852,0.708,0.746
"P10_imputada","Unión por la Patria",0.408,0.307,0.319
"P10_imputada","Juntos por el Cambio",0.275,0.198,0.147
"P10_imputada","De los liberales libertarios",0.224,0.3,0.085
"P10_imputada","De la Izquierda",0.049,0.072,0.196
"P10_imputada","Hacemos por nuestro país",0.013,0.006,0.078
"P10_imputada","Otro",0.022,0.012,0.09
"P10_imputada","En blanco",0.009,0.105,0.085
"P20_imputada","Sergio Massa Presidente, Agustin Rossi Vicepresidente, Axel Kicillof gobernador y Veronica Magario vicegobernadora; por Union por la Patria",0.446,0.436,0.256
"P20_imputada","Patricia Bullrich Presidenta, Luis Petri Vicepresidente, Nestor Grindetti gobernador y Miguel Fernandez vicegobernador; por Juntos por el Cambio",0.257,0.277,0.349
"P20_imputada","Javier Milei Presidente, Victoria Villarruel Vicepresidenta, Carolina Piparo gobernadora y Francisco Oneto vicegobernador; por la Libertad Avanza",0.234,0.161,0.096
"P20_imputada","Los candidatos a presidente, vicepresidente, gobernador y vicegobernador de la izquierda",0.029,0.056,0.136
"P20_imputada","Juan Schiaretti a presidente y Florencio Randazzo a vicepresidente por Hacemos nuestro País",0.021,0.053,0.057
"P20_imputada","En blanco",0.013,0.017,0.106
"GOBERNADOR_imputada","Axel Kicillof gobernador y Veronica Magario vicegobernadora; por Union por la Patria",0.42,0.321,0.123
"GOBERNADOR_imputada","Nestor Grindetti gobernador y Miguel Fernandez vicegobernador; por Juntos por el Cambio",0.262,0.338,0.244
"GOBERNADOR_imputada","Carolina Piparo gobernadora y Francisco Oneto vicegobernador; por la Libertad Avanza",0.218,0.176,0.203
"GOBERNADOR_imputada","Gobernador y vicegobernador de la izquierda",0.039,0.067,0.182
"GOBERNADOR_imputada","En blanco",0.061,0.098,0.248
