"clase","Todos","Hombres","Mujeres","16-29 años","30-49 años","50-64 años","65+ años","Hasta primario completo","Secundario completo/incompleto","Terciario completo/incompleto","Fernandez","Macri","Lavagna","GBA","Interior","Massa","Grabois","Bullrich","Rodriguez Larreta","Milei"
"Inflación",0.363,0.368,0.358,0.365,0.374,0.351,0.351,0.334,0.371,0.385,0.417,0.33,0.196,0.36,0.369,0.42,0.382,0.259,0.319,0.366
"Desempleo",0.081,0.07,0.091,0.08,0.085,0.082,0.072,0.091,0.096,0.042,0.102,0.046,0.187,0.074,0.095,0.11,0.12,0.05,0.097,0.038
"Corrupción",0.28,0.29,0.271,0.281,0.275,0.268,0.305,0.244,0.295,0.299,0.157,0.414,0.303,0.276,0.288,0.13,0.196,0.483,0.349,0.413
"Inseguridad",0.136,0.136,0.135,0.129,0.132,0.14,0.147,0.2,0.12,0.082,0.145,0.134,0.129,0.138,0.131,0.134,0.189,0.129,0.095,0.123
"Precio del dólar",0.033,0.038,0.029,0.042,0.029,0.025,0.043,0.033,0.037,0.028,0.05,0.014,0.053,0.038,0.024,0.054,0.029,0.012,0.048,0.017
"Pobreza",0.051,0.04,0.06,0.041,0.063,0.052,0.034,0.049,0.035,0.08,0.071,0.029,0.013,0.055,0.043,0.078,0.058,0.022,0.039,0.023
"Narcotráfico",0.009,0.011,0.007,0.013,0.004,0.004,0.022,0.013,0.005,0.011,0.007,0.007,0.04,0.007,0.012,0.009,0.007,0.013,0,0
"Tarifas",0.003,0.003,0.004,0,0.003,0.009,0.001,0.004,0.003,0.003,0.003,0.004,0,0.004,0.002,0.004,0.003,0.007,0,0
"Otro",0.036,0.033,0.039,0.036,0.028,0.059,0.022,0.021,0.034,0.058,0.041,0.018,0.075,0.039,0.029,0.051,0.013,0.025,0.051,0.013
"No sabe",0.008,0.011,0.006,0.013,0.007,0.01,0.003,0.011,0.004,0.012,0.007,0.004,0.004,0.009,0.007,0.01,0.003,0,0.002,0.007
