"var","categoria","Sergio Massa a Presidente y Agustin Rossi a Vicepresidente por Union por la Patria","Javier Milei a Presidente y Victoria Villarruel a Vicepresidente por La Libertad Avanza","En blanco","No sabe"
"P10","Unión por la Patria",0.722,0.089,0.161,0.12
"P10","Juntos por el Cambio",0.121,0.259,0.596,0.539
"P10","De los liberales libertarios",0.078,0.562,0.073,0.042
"P10","De la Izquierda",0.04,0.033,0.074,0.098
"P10","Hacemos por nuestro país",0.006,0.013,0.031,0.017
"P10","Otro",0.003,0.02,0.026,0.047
"P10","En blanco",0.005,0.003,0.035,0.023
"P10","No sabe",0.025,0.021,0.004,0.114
"P20","Sergio Massa Presidente, Agustin Rossi Vicepresidente, Axel Kicillof gobernador y Veronica Magario vicegobernadora; por Union por la Patria",0.801,0.061,0.163,0.14
"P20","Patricia Bullrich Presidenta, Luis Petri Vicepresidente, Nestor Grindetti gobernador y Miguel Fernandez vicegobernador; por Juntos por el Cambio",0.092,0.279,0.617,0.528
"P20","Javier Milei Presidente, Victoria Villarruel Vicepresidenta, Carolina Piparo gobernadora y Francisco Oneto vicegobernador; por la Libertad Avanza",0.055,0.598,0.051,0.077
"P20","Los candidatos a presidente, vicepresidente, gobernador y vicegobernador de la izquierda",0.022,0.019,0.072,0.065
"P20","Juan Schiaretti a presidente y Florencio Randazzo a vicepresidente por Hacemos nuestro País",0.016,0.02,0.043,0.048
"P20","En blanco",0.002,0.008,0.036,0.008
"P20","No sabe",0.012,0.015,0.018,0.134
"P26","Totalmente seguro",0.803,0.765,0.789,0.594
"P26","Bastante seguro",0.085,0.114,0.093,0.061
"P26","Algo seguro",0.067,0.079,0.054,0.07
"P26","Para nada seguro",0.045,0.042,0.064,0.275
"P27","Tiene Decidido que va a ir a votar",0.959,0.908,0.873,0.849
"P27","Tiene dudas sobre si va a ir a  votar",0.032,0.073,0.079,0.119
"P27","Tiene Decidido que no va a ir a votar",0.009,0.019,0.048,0.032
