"var","categoria","Sergio Massa a Presidente y Agustin Rossi a Vicepresidente por Union por la Patria","Patricia Bullrich a Presidente y Luis Petri a Vicepresidente por Juntos por el Cambio","En blanco","No sabe"
"P10","Unión por la Patria",0.719,0.064,0.116,0.073
"P10","Juntos por el Cambio",0.111,0.628,0.073,0.055
"P10","De los liberales libertarios",0.082,0.249,0.59,0.441
"P10","De la Izquierda",0.046,0.023,0.09,0.106
"P10","Hacemos por nuestro país",0.005,0.011,0.026,0.038
"P10","Otro",0.005,0.017,0.026,0.065
"P10","En blanco",0.004,0.002,0.073,0.024
"P10","No sabe",0.028,0.006,0.006,0.198
"P20","Sergio Massa Presidente, Agustin Rossi Vicepresidente, Axel Kicillof gobernador y Veronica Magario vicegobernadora; por Union por la Patria",0.795,0.076,0.065,0.131
"P20","Patricia Bullrich Presidenta, Luis Petri Vicepresidente, Nestor Grindetti gobernador y Miguel Fernandez vicegobernador; por Juntos por el Cambio",0.074,0.638,0.083,0.059
"P20","Javier Milei Presidente, Victoria Villarruel Vicepresidenta, Carolina Piparo gobernadora y Francisco Oneto vicegobernador; por la Libertad Avanza",0.08,0.232,0.67,0.446
"P20","Los candidatos a presidente, vicepresidente, gobernador y vicegobernador de la izquierda",0.019,0.021,0.046,0.098
"P20","Juan Schiaretti a presidente y Florencio Randazzo a vicepresidente por Hacemos nuestro País",0.014,0.02,0.039,0.061
"P20","En blanco",0.003,0.003,0.061,0.021
"P20","No sabe",0.015,0.01,0.036,0.184
"P26","Totalmente seguro",0.814,0.757,0.775,0.496
"P26","Bastante seguro",0.081,0.117,0.064,0.074
"P26","Algo seguro",0.06,0.069,0.059,0.147
"P26","Para nada seguro",0.045,0.057,0.102,0.283
"P27","Tiene Decidido que va a ir a votar",0.96,0.918,0.867,0.793
"P27","Tiene dudas sobre si va a ir a  votar",0.03,0.064,0.083,0.175
"P27","Tiene Decidido que no va a ir a votar",0.01,0.018,0.05,0.032
"P29","Patricia Bullrich a Presidente y Luis Petri a Vicepresidente por Juntos por el Cambio",0.286,0.624,0.077,0.058
"P29","Javier Milei a Presidente y Victoria Villarruel a Vicepresidente por La Libertad Avanza",0.067,0.343,0.606,0.448
"P29","En blanco",0.414,0.013,0.286,0.063
"P29","No sabe",0.233,0.02,0.031,0.431
"P30","Sergio Massa a Presidente y Agustin Rossi a Vicepresidente por Union por la Patria",0.859,0.1,0.07,0.132
"P30","Javier Milei a Presidente y Victoria Villarruel a Vicepresidente por La Libertad Avanza",0.06,0.483,0.729,0.511
"P30","En blanco",0.046,0.237,0.152,0.095
"P30","No sabe",0.035,0.18,0.049,0.262
"P38","Inflación",0.419,0.291,0.412,0.261
"P38","Desempleo",0.11,0.045,0.078,0.057
"P38","Corrupción",0.125,0.478,0.325,0.355
"P38","Inseguridad",0.153,0.118,0.088,0.159
"P38","Precio del dólar",0.054,0.017,0.013,0.005
"P38","Pobreza",0.071,0.026,0.047,0.034
"P38","Narcotráfico",0.009,0.002,0.004,0.038
"P38","Tarifas",0.004,0.004,0,0
"P38","Otro",0.046,0.018,0.032,0.05
"P38","No sabe",0.009,0.001,0.001,0.041
"GOBERNADOR","Axel Kicillof gobernador y Veronica Magario vicegobernadora; por Union por la Patria",0.723,0.086,0.108,0.096
"GOBERNADOR","Nestor Grindetti gobernador y Miguel Fernandez vicegobernador; por Juntos por el Cambio",0.103,0.598,0.108,0.084
"GOBERNADOR","Carolina Piparo gobernadora y Francisco Oneto vicegobernador; por la Libertad Avanza",0.098,0.223,0.586,0.394
"GOBERNADOR","Gobernador y vicegobernador de la izquierda",0.026,0.032,0.057,0.121
"GOBERNADOR","En blanco",0.035,0.051,0.105,0.121
"GOBERNADOR","No sabe",0.015,0.01,0.036,0.184
"CORTA_GOBERNADOR","Si",0.129,0.183,0.144,0.217
"CORTA_GOBERNADOR","No",0.871,0.817,0.856,0.783
"P10_imputada","Unión por la Patria",0.736,0.066,0.118,0.157
"P10_imputada","Juntos por el Cambio",0.115,0.632,0.075,0.08
"P10_imputada","De los liberales libertarios",0.085,0.249,0.592,0.492
"P10_imputada","De la Izquierda",0.048,0.023,0.09,0.14
"P10_imputada","Hacemos por nuestro país",0.006,0.011,0.026,0.038
"P10_imputada","Otro",0.006,0.017,0.026,0.065
"P10_imputada","En blanco",0.004,0.002,0.073,0.028
"P20_imputada","Sergio Massa Presidente, Agustin Rossi Vicepresidente, Axel Kicillof gobernador y Veronica Magario vicegobernadora; por Union por la Patria",0.803,0.082,0.074,0.167
"P20_imputada","Patricia Bullrich Presidenta, Luis Petri Vicepresidente, Nestor Grindetti gobernador y Miguel Fernandez vicegobernador; por Juntos por el Cambio",0.079,0.641,0.086,0.159
"P20_imputada","Javier Milei Presidente, Victoria Villarruel Vicepresidenta, Carolina Piparo gobernadora y Francisco Oneto vicegobernador; por la Libertad Avanza",0.082,0.233,0.673,0.485
"P20_imputada","Los candidatos a presidente, vicepresidente, gobernador y vicegobernador de la izquierda",0.019,0.021,0.049,0.098
"P20_imputada","Juan Schiaretti a presidente y Florencio Randazzo a vicepresidente por Hacemos nuestro País",0.014,0.02,0.045,0.064
"P20_imputada","En blanco",0.003,0.003,0.073,0.027
"GOBERNADOR_imputada","Axel Kicillof gobernador y Veronica Magario vicegobernadora; por Union por la Patria",0.734,0.086,0.109,0.117
"GOBERNADOR_imputada","Nestor Grindetti gobernador y Miguel Fernandez vicegobernador; por Juntos por el Cambio",0.104,0.605,0.11,0.102
"GOBERNADOR_imputada","Carolina Piparo gobernadora y Francisco Oneto vicegobernador; por la Libertad Avanza",0.1,0.225,0.594,0.476
"GOBERNADOR_imputada","Gobernador y vicegobernador de la izquierda",0.026,0.032,0.061,0.147
"GOBERNADOR_imputada","En blanco",0.036,0.052,0.126,0.158
