"var","categoria","Leandro Santoro a Jefe de Gobierno por Union por la Patria","Jorge Macri a Jefe de Gobierno por Juntos por el Cambio","Ramiro Marra por la Libertad Avanza","Vanina Biasi por el Frente de Izquierda","Otros","En blanco","No sabe"
"P06","Mucho",0.577,0.536,0.531,0.63,0.562,0.373,0.402
"P06","Bastante",0.38,0.37,0.225,0.055,0.297,0.551,0.367
"P06","Poco",0.043,0.09,0.13,0.217,0.141,0.046,0.136
"P06","Nada",0,0.004,0.018,0.098,0,0.03,0.095
"P06","No sabe",0,0,0.096,0,0,0,0
"P07","Siempre",0.287,0.461,0.205,0.169,0,0.239,0.193
"P07","Casi siempre",0.365,0.331,0.338,0.338,0.444,0.42,0.426
"P07","Casi nunca",0.291,0.158,0.314,0.347,0.526,0.265,0.332
"P07","Nunca, pero esta es una excepción",0.057,0.05,0.143,0.146,0.03,0.076,0.049
"P08","Tiene Decidido que va a ir a votar",0.979,0.844,0.958,0.887,0.889,0.674,0.884
"P08","Tiene dudas sobre si va a ir a  votar",0,0.023,0.019,0,0.111,0.219,0.02
"P08","Tiene Decidido que no va a ir a votar",0.021,0.133,0.023,0.113,0,0.107,0.096
"P11","Unión por la Patria",0.544,0.074,0.118,0.587,0.272,0.09,0.142
"P11","Juntos por el Cambio",0.186,0.568,0.328,0,0.212,0.413,0.359
"P11","Liberales",0.199,0.314,0.442,0.019,0.174,0.132,0.049
"P11","Izquierda",0.059,0.019,0,0.086,0.203,0.031,0
"P11","Otro",0,0.012,0.112,0.221,0.029,0.114,0.19
"P11","No sabe",0.012,0.013,0,0.087,0.11,0.22,0.26
"P12","Sergio Massa a Presidente y Agustín Rossi a Vicepresidente por Unión por la Patria",0.378,0.033,0.065,0.519,0.272,0.09,0.119
"P12","Patricia Bullrich a Presidente y Luis Petri a Vicepresidente por Juntos por el Cambio",0.169,0.584,0.394,0.107,0.024,0.499,0.347
"P12","Javier Milei a Presidente y Victoria Villarruel a Vicepresidente por la Libertad Avanza",0.25,0.351,0.512,0.019,0.362,0.087,0.079
"P12","Myriam Bregman a Presidente y Nicolás del Caño a Vicepresidente por el Frente de Izquierda",0.132,0,0.017,0.086,0,0,0
"P12","Juan Schiaretti a presidente y Florencio Randazzo a vicepresidente por Hacemos por Nuestro Pais",0.059,0.01,0.012,0,0.232,0.078,0.099
"P12","Otros",0,0.01,0,0.269,0,0.036,0
"P12","En blanco",0,0,0,0,0.03,0.21,0.018
"P12","No sabe",0.012,0.012,0,0,0.08,0,0.338
"P15","Totalmente seguro",0.497,0.707,0.778,0.508,0.267,0.761,0.411
"P15","Bastante seguro",0.237,0.195,0.152,0.138,0,0.105,0.152
"P15","Algo seguro",0.135,0.062,0.051,0.101,0.391,0,0.021
"P15","Para nada seguro",0.131,0.036,0.019,0.253,0.342,0.134,0.416
"P16","Leandro Santoro a Jefe de Gobierno por Union por la Patria",0.548,0.08,0.015,0.795,0.584,0.09,0.174
"P16","Jorge Macri a Jefe de Gobierno por Juntos por el Cambio",0.126,0.653,0.651,0.108,0.387,0.537,0.548
"P16","Ramiro Marra por la Libertad Avanza",0.259,0.196,0.276,0.039,0,0.087,0.029
"P16","Vanina Biasi por el Frente de Izquierda",0.012,0.047,0.05,0.058,0,0,0
"P16","Otros",0.009,0.006,0.008,0,0.029,0.045,0
"P16","En blanco",0,0,0,0,0,0.241,0.187
"P16","No sabe",0.046,0.018,0,0,0,0,0.062
"P19","Totalmente seguro",0.674,0.768,0.819,0.621,0.431,0.812,0.505
"P19","Bastante seguro",0.058,0.154,0.129,0.219,0.227,0.087,0.355
"P19","Algo seguro",0.226,0.043,0.018,0,0.283,0.045,0.078
