"var","categoria","Patricia Bullrich a Presidente y Luis Petri a Vicepresidente por Juntos por el Cambio","Javier Milei a Presidente y Victoria Villarruel a Vicepresidente por La Libertad Avanza","En blanco","No sabe"
"P06","Mucho",0.569,0.523,0.715,0.521
"P06","Bastante",0.319,0.305,0.244,0.278
"P06","Poco",0.101,0.118,0.023,0.148
"P06","Nada",0.008,0.031,0.016,0.039
"P06","No sabe",0.003,0.023,0.002,0.014
"P07","Siempre",0.256,0.182,0.255,0.193
"P07","Casi siempre",0.443,0.352,0.393,0.381
"P07","Casi nunca",0.241,0.338,0.301,0.301
"P07","Nunca, pero esta es una excepción",0.06,0.128,0.051,0.125
"P08","Tiene Decidido que va a ir a votar",0.885,0.932,0.895,0.893
"P08","Tiene dudas sobre si va a ir a  votar",0.057,0.033,0.066,0.064
"P08","Tiene Decidido que no va a ir a votar",0.058,0.035,0.039,0.043
"P11","Unión por la Patria",0.117,0.106,0.737,0.416
"P11","Juntos por el Cambio",0.749,0.075,0.044,0.079
"P11","Liberales",0.078,0.679,0.026,0.079
"P11","Izquierda",0.038,0.041,0.097,0.071
"P11","Otro",0.008,0.068,0.037,0.1
"P11","No sabe",0.01,0.031,0.059,0.255
"P12","Sergio Massa a Presidente y Agustín Rossi a Vicepresidente por Unión por la Patria",0.091,0.037,0.712,0.443
"P12","Patricia Bullrich a Presidente y Luis Petri a Vicepresidente por Juntos por el Cambio",0.846,0.1,0.015,0.045
"P12","Javier Milei a Presidente y Victoria Villarruel a Vicepresidente por la Libertad Avanza",0.024,0.808,0.054,0.09
"P12","Myriam Bregman a Presidente y Nicolás del Caño a Vicepresidente por el Frente de Izquierda",0.007,0.009,0.08,0.142
"P12","Juan Schiaretti a presidente y Florencio Randazzo a vicepresidente por Hacemos por Nuestro Pais",0.002,0.025,0.038,0.038
"P12","Otros",0.018,0.007,0.021,0.057
"P12","En blanco",0.003,0,0.043,0.007
"P12","No sabe",0.009,0.014,0.037,0.178
"P15","Totalmente seguro",0.729,0.697,0.761,0.406
"P15","Bastante seguro",0.174,0.171,0.099,0.101
"P15","Algo seguro",0.07,0.097,0.09,0.15
"P15","Para nada seguro",0.027,0.035,0.05,0.343
"P16","Leandro Santoro a Jefe de Gobierno por Union por la Patria",0.092,0.099,0.717,0.483
"P16","Jorge Macri a Jefe de Gobierno por Juntos por el Cambio",0.789,0.388,0.056,0.166
"P16","Ramiro Marra por la Libertad Avanza",0.051,0.436,0.047,0.053
"P16","Vanina Biasi por el Frente de Izquierda",0.002,0.029,0.085,0.068
"P16","Otros",0.023,0.033,0.017,0.033
"P16","En blanco",0.019,0.002,0.071,0.007
"P16","No sabe",0.024,0.013,0.007,0.19
"P19","Totalmente seguro",0.738,0.654,0.842,0.481
"P19","Bastante seguro",0.159,0.188,0.099,0.131
"P19","Algo seguro",0.053,0.122,0.051,0.1
"P19","Para nada seguro",0.05,0.036,0.008,0.288
"P24","Sergio Massa a Presidente y Agustín Rossi a Vicepresidente por Unión por la Patria",0.121,0.151,0.35,0.488
"P24","Patricia Bullrich a Presidente y Luis Petri a Vicepresidente por Juntos por el Cambio",0.468,0.367,0.026,0
"P24","Javier Milei a Presidente y Victoria Villarruel a Vicepresidente por la Libertad Avanza",0.296,0.445,0,0.248
"P24","Myriam Bregman a Presidente y Nicolas del Caño a Vicepresidente por el Frente de Izquierda",0.01,0.005,0.23,0.119
"P24","Juan Schiaretti a presidente y Florencio Randazzo a vicepresidente por Hacemos por Nuestro Pais",0.014,0,0.063,0.029
"P24","Otros",0.01,0,0.15,0.007
"P24","En blanco",0.039,0.013,0.138,0
"P24","No sabe",0.042,0.019,0.043,0.109
"P27","Leandro Santoro a Jefe de Gobierno por Union por la Patria",0.09,0.184,0.311,0.325
"P27","Jorge Macri a Jefe de Gobierno por Juntos por el Cambio",0.425,0.348,0.016,0
"P27","Ramiro Marra por la Libertad Avanza",0.207,0.397,0.068,0.051
"P27","Vanina Biasi por el Frente de Izquierda",0.023,0.023,0.207,0.488
"P27","Otros",0.036,0,0.053,0.008
"P27","En blanco",0.13,0.03,0.207,0
"P27","No sabe",0.089,0.018,0.138,0.128
"P31","Sergio Massa a Presidente y Agustin Rossi a Vicepresidente por Union por la Patria",0.166,0.111,0.748,0.485
"P31","Patricia Bullrich a Presidente y Luis Petri a Vicepresidente por Juntos por el Cambio",0.807,0.583,0.026,0.104
"P31","En blanco",0.013,0.208,0.225,0.031
"P31","No sabe",0.014,0.098,0.001,0.38
"P33","Sergio Massa a Presidente y Agustin Rossi a Vicepresidente por Union por la Patria",0.188,0.095,0.748,0.564
"P33","Javier Milei a Presidente y Victoria Villarruel a Vicepresidente por La Libertad Avanza",0.399,0.868,0.018,0.057
"P33","En blanco",0.264,0.017,0.219,0.018
"P33","No sabe",0.149,0.02,0.015,0.361
"P34","Leandro Santoro por Union por la Patria",0.173,0.124,0.76,0.553
"P34","Jorge Macri por Juntos por el Cambio",0.774,0.686,0.046,0.144
"P34","En blanco",0.026,0.145,0.176,0.031
"P34","No sabe",0.027,0.045,0.018,0.272
"P35","Lo votaría",0.135,0.094,0.741,0.48
"P35","Puede que lo vote",0.09,0.13,0.07,0.14
"P35","Nunca lo votaría",0.734,0.741,0.168,0.199
"P35","No sabe",0.041,0.035,0.021,0.181
"P36","Lo votaría",0.764,0.251,0.068,0.082
"P36","Puede que lo vote",0.092,0.404,0.047,0.155
"P36","Nunca lo votaría",0.126,0.331,0.867,0.465
"P36","No sabe",0.018,0.014,0.018,0.298
"P37","Lo votaría",0.12,0.775,0.06,0.138
"P37","Puede que lo vote",0.312,0.116,0.022,0.088
"P37","Nunca lo votaría",0.522,0.098,0.908,0.594
"P37","No sabe",0.046,0.011,0.01,0.18
"P38","Lo votaría",0.066,0.118,0.208,0.181
"P38","Puede que lo vote",0.091,0.058,0.393,0.302
"P38","Nunca lo votaría",0.802,0.798,0.338,0.318
"P38","No sabe",0.041,0.026,0.061,0.199
"P39","Lo votaría",0.062,0.065,0.084,0.061
"P39","Puede que lo vote",0.163,0.104,0.251,0.266
"P39","Nunca lo votaría",0.706,0.769,0.607,0.464
"P39","No sabe",0.069,0.062,0.058,0.209
"P45","Lo votaría",0.119,0.113,0.668,0.405
"P45","Puede que lo vote",0.064,0.101,0.061,0.236
"P45","Nunca lo votaría",0.76,0.754,0.253,0.182
"P45","No sabe",0.057,0.032,0.018,0.177
"P46","Lo votaría",0.697,0.421,0.069,0.175
"P46","Puede que lo vote",0.106,0.26,0.037,0.241
"P46","Nunca lo votaría",0.172,0.308,0.861,0.489
"P46","No sabe",0.025,0.011,0.033,0.095
"P52","Si",0.503,0.426,0.458,0.271
"P52","No",0.497,0.574,0.542,0.729
