"var","categoria","A Karina Isabel Menendez por el Frente de todos","A David Mauricio Zencich por Juntos","A Flavia Luz Tesone por el Frente de Izquierda","A Martín Maximiliano Diaz por Avanza libertad","A Domingo Palma por “Vamos con vos""","A Juan Domingo Ochoa por Union Celeste y Blanco","A Gustavo Javier Marchesani por Vocación Social","A Claudio Alejandro Ferrari por Republicano Federal","Votaría en blanco o anularía"
"P09","Porque me siento desanimado con la realidad del país",0.175,0.462,0,0.211,0.203,0.902,0,0,0.073
"P09","Porque estoy en desacuerdo con el gobierno, pero la oposición no me representa",0.111,0.3,0.575,0.397,0.13,0,0,0,0.786
"P09","Nunca voy a votar",0.01,0.007,0,0,0,0,0,0,0.035
"P09","Por miedo a la pandemia",0.41,0.134,0.332,0.1,0.478,0,0,0.333,0.015
"P09","Porque las PASO no son elecciones importantes",0.294,0.097,0.093,0.292,0.189,0.098,0,0.667,0.091
"P14","A Tolosa Paz por el Frente de Todos",0.983,0.006,0.132,0,0.054,0,0,1,0.109
"P14","A Santilli y Manes por Juntos",0.003,0.992,0,0,0,0,0,0,0.008
"P14","A del Caño por el Frente de Izquierda",0,0,0.868,0,0,0,0,0,0
"P14","A Espert por Avanza libertad",0,0,0,0.965,0,0,0,0,0
"P14","A Randazzo por ""Vamos con vos""",0,0.002,0,0.035,0.918,0,0,0,0
"P14","A Hotton por “+Valores”",0,0,0,0,0,1,0,0,0.015
"P14","Votaría en blanco o anularía",0.014,0,0,0,0.028,0,1,0,0.868
"P18","Diego Santilli y Facundo Manes por “Juntos”",0.046,0.886,0.14,0.322,0.092,0.029,0,0,0.186
"P18","Victoria Tolosa Paz por el Frente de todos",0.822,0.051,0.412,0.04,0.196,0,0,0.041,0.018
"P18","Nicolás del Caño por el Frente de Izquierda",0.016,0.006,0.353,0.019,0.07,0,0,0,0
"P18","José Luis Espert por “Avanza Libertad”",0.002,0.028,0,0.504,0.086,0.572,0,0,0.204
"P18","Florencio Randazzo por “Vamos con vos”",0,0,0,0.035,0.403,0.054,0,0.727,0.091
"P18","Cynthia Hotton por “+Valores”",0,0,0.079,0.024,0,0.319,0,0,0.014
"P18","Ninguna en particular",0.038,0.014,0,0.016,0.126,0.026,0.359,0.152,0.437
"P18","No sabe",0.076,0.015,0.016,0.04,0.027,0,0.641,0.08,0.05
"P19","Diego Santilli y Facundo Manes por “Juntos”",0.672,0.113,0.37,0.04,0.333,0.061,0.641,0.044,0.169
"P19","Victoria Tolosa Paz por el Frente de todos",0.123,0.782,0.303,0.527,0.454,0.658,0,0.867,0.379
