"var","categoria","Diego Santilli y Facundo Manes por “Juntos”","Victoria Tolosa Paz por el Frente de todos","Nicolás del Caño por el Frente de Izquierda","José Luis Espert por “Avanza Libertad”","Florencio Randazzo por “Vamos con vos”","Cynthia Hotton por “+Valores”","Ninguna en particular","No sabe"
"P09","Porque me siento desanimado con la realidad del país",0.138,0.475,0,0.715,0,0.721,0.277,0
"P09","Porque estoy en desacuerdo con el gobierno, pero la oposición no me representa",0.209,0.305,0.149,0.163,1,0.279,0.689,0.727
"P09","Nunca voy a votar",0,0.008,0.051,0,0,0,0.025,0
"P09","Por miedo a la pandemia",0.361,0.179,0.8,0.122,0,0,0.009,0.273
"P09","Porque las PASO no son elecciones importantes",0.292,0.033,0,0,0,0,0,0
"P14","A Tolosa Paz por el Frente de Todos",0.787,0.142,0.053,0.629,0.618,0.667,0.351,0.589
"P14","A Santilli y Manes por Juntos",0.096,0.656,0.571,0.098,0.104,0,0.177,0.183
"P14","A del Caño por el Frente de Izquierda",0.046,0.04,0,0.081,0,0.174,0.076,0.017
"P14","A Espert por Avanza libertad",0.003,0.042,0,0.075,0.121,0,0.162,0.015
"P14","A Randazzo por ""Vamos con vos""",0.043,0.053,0.376,0.016,0,0,0.015,0
"P14","A Hotton por “+Valores”",0.002,0.022,0,0,0,0.159,0.023,0
"P14","Votaría en blanco o anularía",0.023,0.045,0,0.101,0.157,0,0.196,0.196
"P16","A Karina Isabel Menendez por el Frente de todos",0.775,0.132,0.059,0.398,0.601,0.665,0.318,0.676
"P16","A David Mauricio Zencich por Juntos",0.102,0.651,0.579,0.1,0.119,0,0.186,0.164
"P16","A Flavia Luz Tesone por el Frente de Izquierda",0.049,0.037,0,0.307,0,0.161,0.079,0.02
"P16","A Martín Maximiliano Diaz por Avanza libertad",0.004,0.045,0,0.069,0.126,0,0.153,0.016
"P16","A Domingo Palma por “Vamos con vos""",0.042,0.053,0.362,0.016,0,0,0.016,0.046
"P16","A Juan Domingo Ochoa por Union Celeste y Blanco",0.002,0.019,0,0,0,0.174,0.025,0
"P16","A Gustavo Javier Marchesani por Vocación Social",0.002,0,0,0,0,0,0,0.01
"P16","A Claudio Alejandro Ferrari por Republicano Federal",0.001,0.016,0,0,0,0,0,0.013
"P16","Votaría en blanco o anularía",0.023,0.047,0,0.11,0.154,0,0.223,0.055
"P18","Diego Santilli y Facundo Manes por “Juntos”",0.123,0.678,0.492,0.1,0.081,0,0.161,0.091
"P18","Victoria Tolosa Paz por el Frente de todos",0.772,0.14,0.059,0.623,0.483,0.552,0.3,0.136
"P18","Nicolás del Caño por el Frente de Izquierda",0.036,0.027,0,0.062,0.055,0.161,0.021,0.005
"P18","José Luis Espert por “Avanza Libertad”",0.001,0.092,0.102,0.202,0.023,0,0.138,0.016
"P18","Florencio Randazzo por “Vamos con vos”",0.009,0.039,0.347,0,0.221,0,0.02,0
"P18","Cynthia Hotton por “+Valores”",0.002,0.004,0,0,0,0.175,0.087,0
"P18","Ninguna en particular",0.041,0.015,0,0.013,0.099,0.112,0.251,0.089
"P18","No sabe",0.016,0.005,0,0,0.038,0,0.022,0.663
"P20","No alcanzan para cubrir las necesidades básicas familiares",0.49,0.395,0.268,0.263,0.216,0.112,0.469,0.355
"P20","Solo alcanzan para cubrir las necesidades básicas familiares",0.24,0.342,0.06,0.343,0.096,0,0.34,0.211
"P20","No alcanzan para cubrir los gastos totales de la familia",0.108,0.171,0.648,0.285,0.623,0.175,0.1,0.19
"P20","Alcanzan para cubrir los gastos totales de la familia",0.104,0.065,0,0.109,0.023,0.713,0.053,0.008
"P20","Tenemos un pequeño excedente, pero es excepcional",0.013,0.002,0.024,0,0.042,0,0.011,0
"P20","Tenemos un pequeño excedente habitual que ahorramos o invertimos",0.016,0.013,0,0,0,0,0,0
"P20","Tenemos un gran excedente pero es excepcional",0.02,0.002,0,0,0,0,0.015,0
"P20","Tenemos un gran excedente habitual que ahorramos o invertimos",0.001,0.002,0,0,0,0,0,0.213
"P20","No sabe",0.008,0.008,0,0,0,0,0.012,0.023
"P21","Muy buena",0.317,0.067,0.444,0.174,0.251,0.133,0.109,0.01
"P21","Buena",0.353,0.088,0.047,0.104,0.096,0,0.109,0.251
"P21","Ni buena ni mala",0.165,0.092,0.36,0.475,0.624,0.721,0.441,0.398
"P21","Mala",0.045,0.222,0.125,0.147,0.029,0.146,0.134,0.079
"P21","Muy mala",0.094,0.527,0.024,0.091,0,0,0.172,0.099
"P21","No sabe",0.026,0.004,0,0.009,0,0,0.035,0.163
"P22","Muy buena",0.623,0.092,0.444,0.488,0.299,0.118,0.151,0.252
"P22","Buena",0.131,0.051,0,0.144,0.367,0,0.125,0.322
"P22","Ni buena ni mala",0.105,0.053,0.238,0.11,0.073,0.177,0.188,0.117
"P22","Mala",0.031,0.095,0.023,0.052,0.219,0.705,0.173,0.047
"P22","Muy mala",0.109,0.705,0.295,0.206,0.042,0,0.336,0.088
"P22","No sabe",0.001,0.004,0,0,0,0,0.027,0.174
"P23","Muy buena",0.2,0.056,0.375,0.144,0.173,0.024,0,0.088
"P23","Buena",0.26,0.09,0,0.109,0.142,0.11,0.178,0.089
"P23","Ni buena ni mala",0.306,0.105,0.142,0.325,0.685,0.723,0.515,0.169
"P23","Mala",0.093,0.17,0.299,0.155,0,0.143,0.083,0.14
"P23","Muy mala",0.129,0.556,0.184,0.267,0,0,0.181,0.168
"P23","No sabe",0.012,0.023,0,0,0,0,0.043,0.346
"P24","Muy buena",0.084,0.107,0.023,0.014,0.043,0,0,0
"P24","Buena",0.043,0.277,0,0.131,0,0,0.172,0.006
"P24","Ni buena ni mala",0.063,0.263,0.232,0.071,0,0.178,0.136,0.085
"P24","Mala",0.169,0.184,0.09,0.223,0.083,0.706,0.305,0.15
"P24","Muy mala",0.639,0.167,0.655,0.54,0.874,0.116,0.376,0.489
"P24","No sabe",0.002,0.002,0,0.021,0,0,0.011,0.27
"P25","Muy buena",0.104,0.347,0.059,0.027,0.04,0.177,0.04,0.037
"P25","Buena",0.058,0.279,0.14,0.148,0.194,0.557,0.105,0.066
"P25","Ni buena ni mala",0.125,0.189,0.178,0.265,0.164,0,0.455,0.39
"P25","Mala",0.22,0.068,0,0.058,0.552,0,0.16,0.056
"P25","Muy mala",0.491,0.087,0.623,0.485,0.05,0.129,0.165,0.135
"P25","No sabe",0.002,0.03,0,0.017,0,0.137,0.075,0.316
