"clase","Opinión","Todos","Hombres","Mujeres","16-29 años","30-49 años","50-64 años","65+ años","Hasta primario completo","Secundario completo/incompleto","Terciario completo/incompleto","Estrato 1","Estrato 2","Fernandez","Macri","Lavagna","FdT","Santilli","Manes","Randazzo","Del Caño","Espert","Hotton","Otros","Blanco","No fue a votar"
"CFK","Muy buena",0.332,0.362,0.303,0.236,0.345,0.367,0.396,0.367,0.304,0.321,0.326,0.336,0.517,0.016,0.048,0.664,0.058,0.032,0.045,0.1,0.116,0,0.178,0.099,0.267
"CFK","Buena",0.11,0.103,0.116,0.066,0.147,0.113,0.056,0.144,0.081,0.101,0.063,0.137,0.152,0.02,0,0.171,0.015,0.074,0,0.075,0,0,0.184,0.167,0.091
"CFK","Ni buena ni mala",0.091,0.088,0.095,0.127,0.059,0.127,0.073,0.068,0.099,0.124,0.073,0.102,0.1,0.047,0.018,0.044,0.031,0.142,0.232,0.178,0.05,0.119,0.213,0.089,0.168
"CFK","Mala",0.08,0.054,0.104,0.074,0.081,0.028,0.173,0.111,0.063,0.049,0.09,0.073,0.069,0.085,0.127,0.039,0.047,0.225,0.048,0,0.033,0.097,0.187,0.045,0.126
"CFK","Muy mala",0.374,0.391,0.358,0.497,0.35,0.352,0.283,0.294,0.442,0.395,0.436,0.338,0.15,0.828,0.789,0.081,0.847,0.501,0.675,0.647,0.781,0.784,0.233,0.4,0.342
"CFK","No sabe",0.013,0.002,0.024,0,0.018,0.013,0.019,0.016,0.011,0.01,0.012,0.014,0.012,0.004,0.018,0.001,0.002,0.026,0,0,0.02,0,0.005,0.2,0.006
"Alberto Fernandez","Muy buena",0.177,0.191,0.163,0.175,0.17,0.174,0.207,0.164,0.226,0.097,0.183,0.174,0.265,0.046,0,0.342,0.056,0.013,0.034,0.072,0.114,0,0.097,0,0.143
"Alberto Fernandez","Buena",0.199,0.206,0.191,0.091,0.235,0.245,0.184,0.21,0.158,0.262,0.148,0.227,0.292,0.031,0.055,0.356,0.031,0.065,0,0.029,0,0,0.181,0.11,0.207
"Alberto Fernandez","Ni buena ni mala",0.193,0.16,0.225,0.226,0.176,0.179,0.218,0.248,0.164,0.143,0.189,0.195,0.216,0.08,0.206,0.17,0.083,0.165,0.556,0.494,0.019,0.118,0.356,0.259,0.247
"Alberto Fernandez","Mala",0.132,0.128,0.136,0.16,0.123,0.124,0.128,0.12,0.148,0.12,0.162,0.115,0.055,0.283,0.38,0.055,0.197,0.424,0.09,0.217,0.112,0.095,0.184,0.022,0.117
"Alberto Fernandez","Muy mala",0.276,0.301,0.253,0.341,0.261,0.271,0.222,0.217,0.296,0.358,0.306,0.259,0.142,0.556,0.359,0.05,0.631,0.328,0.32,0.188,0.678,0.787,0.178,0.403,0.282
"Alberto Fernandez","No sabe",0.023,0.014,0.032,0.007,0.035,0.007,0.041,0.041,0.008,0.02,0.012,0.03,0.03,0.004,0,0.027,0.002,0.005,0,0,0.077,0,0.004,0.206,0.004
"Horacio Rodriguez Larreta","Muy buena",0.193,0.196,0.191,0.217,0.202,0.165,0.173,0.203,0.187,0.189,0.232,0.171,0.095,0.519,0.095,0.086,0.546,0.23,0.034,0,0.05,0.08,0.212,0.166,0.1
"Horacio Rodriguez Larreta","Buena",0.166,0.169,0.163,0.136,0.164,0.19,0.184,0.17,0.166,0.155,0.19,0.151,0.121,0.326,0.157,0.046,0.28,0.438,0.099,0.154,0.374,0.312,0.114,0,0.218
"Horacio Rodriguez Larreta","Ni buena ni mala",0.189,0.195,0.183,0.178,0.181,0.219,0.181,0.138,0.244,0.172,0.176,0.196,0.175,0.111,0.496,0.134,0.118,0.246,0.094,0.536,0.269,0.144,0.23,0.437,0.248
"Horacio Rodriguez Larreta","Mala",0.14,0.139,0.141,0.158,0.102,0.145,0.223,0.178,0.101,0.149,0.112,0.157,0.191,0.013,0,0.242,0.03,0.019,0.125,0.122,0.171,0.118,0.148,0.022,0.118
"Horacio Rodriguez Larreta","Muy mala",0.275,0.288,0.262,0.271,0.317,0.25,0.192,0.262,0.27,0.315,0.269,0.279,0.373,0.027,0.191,0.47,0.025,0.052,0.486,0.188,0.116,0.346,0.244,0.202,0.254
"Horacio Rodriguez Larreta","No sabe",0.037,0.013,0.06,0.04,0.034,0.031,0.047,0.049,0.032,0.02,0.021,0.046,0.045,0.004,0.061,0.022,0.001,0.015,0.162,0,0.02,0,0.052,0.173,0.062
"Sergio Massa","Muy buena",0.12,0.134,0.107,0.136,0.093,0.136,0.155,0.128,0.146,0.049,0.148,0.104,0.164,0.009,0.209,0.188,0.041,0.027,0.287,0,0,0,0.203,0,0.111
"Sergio Massa","Buena",0.16,0.184,0.138,0.097,0.185,0.18,0.155,0.178,0.14,0.168,0.11,0.19,0.228,0.057,0.054,0.294,0.009,0.088,0,0,0,0,0.123,0,0.192
"Sergio Massa","Ni buena ni mala",0.237,0.209,0.263,0.168,0.249,0.242,0.302,0.233,0.241,0.235,0.178,0.271,0.295,0.11,0.123,0.306,0.1,0.189,0.212,0.216,0.112,0.314,0.373,0.052,0.271
"Sergio Massa","Mala",0.132,0.12,0.144,0.166,0.11,0.122,0.163,0.123,0.13,0.156,0.185,0.101,0.087,0.202,0.254,0.072,0.167,0.384,0.228,0.094,0.139,0.119,0.052,0.196,0.126
"Sergio Massa","Muy mala",0.315,0.349,0.281,0.403,0.325,0.276,0.198,0.279,0.32,0.377,0.365,0.285,0.182,0.599,0.354,0.105,0.679,0.245,0.273,0.69,0.729,0.488,0.223,0.575,0.261
"Sergio Massa","No sabe",0.036,0.004,0.067,0.03,0.038,0.044,0.027,0.059,0.023,0.015,0.014,0.049,0.044,0.023,0.006,0.035,0.004,0.067,0,0,0.02,0.079,0.026,0.177,0.039
"Mauricio Macri","Muy buena",0.079,0.099,0.059,0.104,0.091,0.037,0.068,0.091,0.062,0.089,0.127,0.051,0.045,0.197,0.052,0.028,0.222,0.1,0.036,0,0,0,0.129,0,0.051
"Mauricio Macri","Buena",0.145,0.135,0.155,0.225,0.118,0.152,0.088,0.131,0.165,0.129,0.161,0.136,0.089,0.373,0.025,0.054,0.318,0.24,0,0.027,0.334,0.09,0.022,0,0.198
"Mauricio Macri","Ni buena ni mala",0.155,0.174,0.136,0.138,0.139,0.21,0.134,0.09,0.217,0.151,0.17,0.145,0.071,0.31,0.427,0.058,0.308,0.355,0.323,0.13,0.259,0.215,0.213,0.072,0.067
"Mauricio Macri","Mala",0.187,0.154,0.219,0.128,0.197,0.157,0.308,0.216,0.193,0.116,0.171,0.197,0.206,0.067,0.347,0.205,0.085,0.159,0.323,0.1,0.144,0.547,0.212,0.038,0.282
"Mauricio Macri","Muy mala",0.416,0.435,0.398,0.405,0.435,0.409,0.389,0.442,0.355,0.498,0.367,0.445,0.567,0.048,0.149,0.638,0.067,0.136,0.318,0.682,0.243,0.068,0.419,0.713,0.396
"Mauricio Macri","No sabe",0.018,0.003,0.033,0,0.02,0.035,0.013,0.03,0.008,0.017,0.004,0.026,0.022,0.005,0,0.017,0,0.01,0,0.061,0.02,0.08,0.005,0.177,0.006
