"var","categoria","Diego Santilli y Facundo Manes por “Juntos”","Victoria Tolosa Paz por el Frente de todos","Nicolás del Caño por el Frente de Izquierda","José Luis Espert por “Avanza Libertad”","Florencio Randazzo por “Vamos con vos”","Cynthia Hotton por “+Valores”","Ninguna en particular","No sabe"
"P09","Porque me siento desanimado con la realidad del país",0.431,0.157,0,0.87,0.171,0,0.042,0.235
"P09","Porque estoy en desacuerdo con el gobierno, pero la oposición no me representa",0.347,0.092,0.906,0.009,0,0,0.593,0.455
"P09","Nunca voy a votar",0.005,0,0,0,0,0,0.014,0.141
"P09","Por miedo a la pandemia",0.144,0.499,0,0,0.699,0,0.013,0.169
"P09","Porque las PASO no son elecciones importantes",0.073,0.252,0.094,0.121,0.13,1,0.338,0
"P14","A Tolosa Paz por el Frente de Todos",0.062,0.899,0.259,0.017,0.049,0,0.409,0.548
"P14","A Santilli y Manes por Juntos",0.838,0.042,0.062,0.185,0,0.006,0.093,0.119
"P14","A del Caño por el Frente de Izquierda",0.021,0.032,0.549,0,0,0.428,0,0.014
"P14","A Espert por Avanza libertad",0.041,0.004,0.025,0.392,0.063,0.111,0.011,0.006
"P14","A Randazzo por ""Vamos con vos""",0.011,0.023,0.105,0.08,0.664,0,0.078,0.072
"P14","A Hotton por “+Valores”",0.001,0,0,0.128,0.022,0.455,0.005,0
"P14","Votaría en blanco o anularía",0.026,0,0,0.198,0.202,0,0.404,0.241
"P16","A Karina Isabel Menendez por el Frente de todos",0.057,0.88,0.235,0.019,0,0,0.314,0.72
"P16","A David Mauricio Zencich por Juntos",0.845,0.042,0.063,0.177,0,0.007,0.095,0.108
"P16","A Flavia Luz Tesone por el Frente de Izquierda",0.019,0.049,0.566,0,0,0.413,0,0.017
"P16","A Martín Maximiliano Diaz por Avanza libertad",0.04,0.004,0.028,0.42,0.05,0.12,0.013,0.039
"P16","A Domingo Palma por “Vamos con vos""",0.012,0.022,0.108,0.074,0.593,0,0.112,0.027
"P16","A Juan Domingo Ochoa por Union Celeste y Blanco",0.001,0,0,0.117,0.019,0.383,0.005,0
"P16","A Gustavo Javier Marchesani por Vocación Social",0,0,0,0,0,0,0.01,0.02
"P16","A Claudio Alejandro Ferrari por Republicano Federal",0,0.001,0,0,0.191,0,0.024,0.014
"P16","Votaría en blanco o anularía",0.026,0.002,0,0.193,0.147,0.077,0.427,0.055
"P19","Diego Santilli y Facundo Manes por “Juntos”",0.132,0.709,0.441,0.007,0.104,0.077,0.346,0.128
"P19","Victoria Tolosa Paz por el Frente de todos",0.789,0.139,0.354,0.679,0.499,0.185,0.135,0.047
"P19","Nicolás del Caño por el Frente de Izquierda",0.024,0.002,0,0.032,0.188,0,0,0
"P19","José Luis Espert por “Avanza Libertad”",0.008,0.045,0.059,0.11,0,0,0.008,0
"P19","Florencio Randazzo por “Vamos con vos”",0.006,0.029,0.043,0.01,0.172,0,0.054,0.021
"P19","Cynthia Hotton por “+Valores”",0,0.015,0.056,0,0,0.2,0.027,0
"P19","Ninguna en particular",0.027,0.043,0.039,0.146,0.037,0.538,0.325,0.028
"P19","No sabe",0.014,0.018,0.008,0.016,0,0,0.105,0.776
"P20","No alcanzan para cubrir las necesidades básicas familiares",0.453,0.396,0.341,0.536,0.312,0.093,0.354,0.496
"P20","Solo alcanzan para cubrir las necesidades básicas familiares",0.278,0.268,0.312,0.345,0.093,0.27,0.544,0.22
"P20","No alcanzan para cubrir los gastos totales de la familia",0.149,0.173,0.191,0.078,0.556,0.637,0.067,0.049
"P20","Alcanzan para cubrir los gastos totales de la familia",0.068,0.127,0.108,0.011,0.039,0,0,0.007
"P20","Tenemos un pequeño excedente, pero es excepcional",0.006,0.01,0.048,0,0,0,0,0
"P20","Tenemos un pequeño excedente habitual que ahorramos o invertimos",0.008,0.015,0,0.014,0,0,0.007,0.027
"P20","Tenemos un gran excedente pero es excepcional",0.019,0.004,0,0,0,0,0.008,0.011
"P20","Tenemos un gran excedente habitual que ahorramos o invertimos",0.002,0.006,0,0.016,0,0,0,0.175
"P20","No sabe",0.017,0.001,0,0,0,0,0.02,0.015
"P21","Muy buena",0.075,0.303,0.059,0,0.448,0,0.093,0.087
"P21","Buena",0.035,0.396,0.2,0,0,0,0.155,0.149
"P21","Ni buena ni mala",0.09,0.207,0.393,0.276,0.236,0.207,0.359,0.425
"P21","Mala",0.242,0.057,0.173,0.112,0.052,0.262,0.007,0.092
"P21","Muy mala",0.556,0.009,0.175,0.608,0.245,0.531,0.353,0.068
"P21","No sabe",0.002,0.028,0,0.004,0.019,0,0.033,0.179
"P22","Muy buena",0.053,0.671,0.139,0,0.368,0,0.154,0.219
"P22","Buena",0.026,0.179,0.076,0,0.089,0,0.046,0.374
"P22","Ni buena ni mala",0.062,0.07,0.239,0.125,0.093,0.244,0.309,0.116
"P22","Mala",0.097,0.047,0.166,0.171,0.164,0.1,0.053,0.033
"P22","Muy mala",0.757,0.032,0.38,0.704,0.266,0.656,0.387,0.095
"P22","No sabe",0.005,0.001,0,0,0.02,0,0.051,0.163
"P23","Muy buena",0.064,0.19,0.078,0,0.213,0,0,0.186
"P23","Buena",0.034,0.309,0,0.177,0.14,0,0.115,0.007
"P23","Ni buena ni mala",0.136,0.347,0.169,0.017,0.251,0.206,0.417,0.181
"P23","Mala",0.171,0.085,0.338,0.102,0.09,0.202,0.125,0.16
"P23","Muy mala",0.592,0.055,0.415,0.586,0.285,0.543,0.315,0.059
"P23","No sabe",0.003,0.014,0,0.118,0.021,0.049,0.028,0.407
"P24","Muy buena",0.17,0.031,0.045,0,0.019,0,0,0.048
"P24","Buena",0.337,0.03,0.013,0.059,0,0.134,0.148,0
"P24","Ni buena ni mala",0.266,0.073,0.061,0.178,0.052,0.392,0.13,0.106
"P24","Mala",0.134,0.222,0.282,0.292,0.112,0,0.16,0.21
"P24","Muy mala",0.092,0.641,0.599,0.471,0.817,0.424,0.511,0.363
"P24","No sabe",0.001,0.003,0,0,0,0.05,0.051,0.273
"P25","Muy buena",0.428,0.054,0.044,0.133,0.02,0.263,0,0.112
"P25","Buena",0.328,0.05,0.12,0.221,0.16,0.077,0.062,0.041
"P25","Ni buena ni mala",0.156,0.159,0.281,0.228,0.216,0.526,0.366,0.326
"P25","Mala",0.046,0.241,0.203,0.139,0,0,0.124,0.048
"P25","Muy mala",0.04,0.485,0.3,0.082,0.583,0.134,0.369,0.176
"P25","No sabe",0.002,0.011,0.052,0.197,0.021,0,0.079,0.297
