"clase","Todos","Hombres","Mujeres","16-29 años","30-49 años","50-64 años","65+ años","Hasta primario completo","Secundario completo/incompleto","Terciario completo/incompleto","Fernández","Macri","Lavagna","GBA","Interior"
"Néstor Grindetti a gobernador y Joaquín De La Torre a vicegobernador por Juntos por el Cambio.",0.162,0.151,0.173,0.089,0.134,0.194,0.248,0.123,0.154,0.217,0.075,0.307,0.123,0.173,0.14
"Diego Santilli a gobernador y su candidato a vicegobernador por Juntos por el Cambio.",0.19,0.157,0.223,0.1,0.176,0.247,0.226,0.179,0.203,0.182,0.093,0.35,0.192,0.2,0.17
"Axel Kicillof a gobernador y Malena Galmarini a vicegobernadora por el Frente de Todos.",0.294,0.262,0.325,0.278,0.277,0.307,0.327,0.238,0.281,0.373,0.552,0.076,0.106,0.297,0.289
"A Guillermo Britos a gobernador y su candidato a vicegobernador por La Libertad Avanza.",0.186,0.263,0.111,0.301,0.228,0.129,0.068,0.258,0.185,0.113,0.14,0.187,0.095,0.159,0.24
"A los candidatos a gobernador y vicegobernador por el Frente de Izquierda.",0.035,0.045,0.024,0.05,0.04,0.025,0.021,0.047,0.029,0.029,0.023,0.01,0.132,0.035,0.034
"No sabe",0.133,0.122,0.144,0.182,0.145,0.098,0.11,0.155,0.148,0.086,0.117,0.07,0.352,0.136,0.127
