"var","categoria","Néstor Grindetti a gobernador y Joaquín De La Torre a vicegobernador por Juntos por el Cambio.","Diego Santilli a gobernador y su candidato a vicegobernador por Juntos por el Cambio.","Axel Kicillof a gobernador y Verónica Magario a vicegobernadora por el Frente de Todos.","A Guillermo Britos a gobernador y su candidato a vicegobernador por La Libertad Avanza.","A los candidatos a gobernador y vicegobernador por el Frente de Izquierda.","No sabe"
"P04","Siempre",0.193,0.194,0.232,0.182,0.208,0.145
"P04","Casi siempre",0.433,0.412,0.413,0.309,0.23,0.305
"P04","Casi nunca",0.289,0.323,0.302,0.379,0.518,0.366
"P04","Nunca, pero esta es una excepción",0.085,0.071,0.053,0.13,0.044,0.184
"P05","Mucho",0.378,0.28,0.516,0.329,0.496,0.15
"P05","Bastante",0.399,0.38,0.299,0.377,0.062,0.248
"P05","Poco",0.172,0.261,0.148,0.211,0.291,0.305
"P05","Nada",0.033,0.077,0.028,0.074,0.081,0.213
"P05","No sabe",0.018,0.002,0.009,0.009,0.07,0.084
"P07","Néstor Grindetti a gobernador y Maximiliano Abad a vicegobernador por Juntos por el Cambio.",0.7,0.133,0.021,0.084,0.009,0.058
"P07","Diego Santilli a gobernador y su candidato a vicegobernador por Juntos por el Cambio.",0.091,0.691,0.03,0.077,0.071,0.025
"P07","Axel Kicillof a gobernador y Verónica Magario a vicegobernadora por el Frente de Todos.",0.066,0.088,0.901,0.052,0.025,0.062
"P07","A Guillermo Britos a gobernador y su candidato a vicegobernador por La Libertad Avanza.",0.08,0.039,0.016,0.728,0.118,0.044
"P07","A los candidatos a gobernador y vicegobernador por el Frente de Izquierda.",0.014,0.006,0.009,0.022,0.697,0.014
"P07","No sabe",0.049,0.043,0.023,0.037,0.08,0.797
"P13","Néstor Grindetti a gobernador y Fernando Burlando a vicegobernador por Juntos por el Cambio.",0.408,0.1,0.044,0.13,0.009,0.077
"P13","Diego Santilli a gobernador y su candidato a vicegobernador por Juntos por el Cambio.",0.234,0.683,0.047,0.108,0.005,0.035
"P13","Axel Kicillof a gobernador y Verónica Magario a vicegobernadora por el Frente de Todos.",0.128,0.13,0.832,0.053,0.042,0.039
"P13","A Guillermo Britos a gobernador y su candidato a vicegobernador por La Libertad Avanza.",0.102,0.068,0.068,0.642,0.09,0.072
"P13","A los candidatos a gobernador y vicegobernador por el Frente de Izquierda.",0.002,0.006,0.002,0.008,0.84,0.027
"P13","No sabe",0.126,0.013,0.007,0.059,0.014,0.75
"P16","Néstor Grindetti a gobernador y Maximiliano Abad a vicegobernador por Juntos por el Cambio.",0.569,0.117,0.053,0.116,0.046,0.047
"P16","Diego Santilli a gobernador y su candidato a vicegobernador por Juntos por el Cambio.",0.156,0.689,0.061,0.074,0.026,0.037
"P16","Axel Kicillof a gobernador y Malena Galmarini a vicegobernadora por el Frente de Todos.",0.127,0.093,0.747,0.07,0.078,0.051
"P16","A Guillermo Britos a gobernador y su candidato a vicegobernador por La Libertad Avanza.",0.077,0.055,0.054,0.693,0.032,0.08
"P16","A los candidatos a gobernador y vicegobernador por el Frente de Izquierda.",0.007,0.007,0.014,0.006,0.802,0.046
"P16","No sabe",0.064,0.039,0.071,0.041,0.016,0.739
"P19","Néstor Grindetti a gobernador y Joaquín De La Torre a vicegobernador por Juntos por el Cambio.",0.638,0.117,0.031,0.07,0.021,0.02
"P19","Diego Santilli a gobernador y su candidato a vicegobernador por Juntos por el Cambio.",0.083,0.714,0.051,0.068,0.022,0.062
"P19","Axel Kicillof a gobernador y Malena Galmarini a vicegobernadora por el Frente de Todos.",0.095,0.076,0.786,0.045,0.071,0.037
"P19","A Guillermo Britos a gobernador y su candidato a vicegobernador por La Libertad Avanza.",0.117,0.053,0.066,0.729,0.062,0.1
"P19","A los candidatos a gobernador y vicegobernador por el Frente de Izquierda.",0.003,0,0.013,0.011,0.808,0.027
"P19","No sabe",0.064,0.04,0.053,0.077,0.016,0.754
"P22","Lo votaría",0.609,0.172,0.059,0.177,0.029,0.016
"P22","Puede que lo vote",0.155,0.289,0.061,0.162,0.065,0.18
"P22","Nunca lo votaría",0.136,0.341,0.764,0.493,0.558,0.359
"P22","No sabe",0.1,0.198,0.116,0.168,0.348,0.445
"P23","Lo votaría",0.269,0.659,0.029,0.109,0.071,0.028
"P23","Puede que lo vote",0.402,0.179,0.061,0.161,0.043,0.161
"P23","Nunca lo votaría",0.213,0.133,0.834,0.648,0.56,0.409
"P23","No sabe",0.116,0.029,0.076,0.082,0.326,0.402
"P24","Lo votaría",0.116,0.114,0.864,0.11,0.069,0.089
"P24","Puede que lo vote",0.091,0.045,0.041,0.028,0.181,0.09
"P24","Nunca lo votaría",0.764,0.82,0.081,0.827,0.533,0.626
"P24","No sabe",0.029,0.021,0.014,0.035,0.217,0.195
"P25","Lo votaría",0.083,0.035,0.072,0.506,0.073,0.024
"P25","Puede que lo vote",0.19,0.2,0.034,0.172,0.092,0.093
"P25","Nunca lo votaría",0.589,0.558,0.828,0.24,0.703,0.439
"P25","No sabe",0.138,0.207,0.066,0.082,0.132,0.444
"P26","Lo votaría",0.26,0.025,0.026,0.118,0.017,0.002
"P26","Puede que lo vote",0.232,0.216,0.035,0.196,0.053,0.064
"P26","Nunca lo votaría",0.293,0.484,0.855,0.47,0.646,0.405
"P26","No sabe",0.215,0.275,0.084,0.216,0.284,0.529
"P27","Lo votaría",0.177,0.057,0.01,0.042,0.021,0.043
"P27","Puede que lo vote",0.286,0.211,0.023,0.129,0.049,0.058
"P27","Nunca lo votaría",0.286,0.433,0.855,0.56,0.544,0.387
"P27","No sabe",0.251,0.299,0.112,0.269,0.386,0.512
"P28","Lo votaría",0.054,0.047,0.614,0.045,0.108,0.02
"P28","Puede que lo vote",0.062,0.096,0.211,0.08,0.025,0.016
"P28","Nunca lo votaría",0.814,0.814,0.143,0.789,0.635,0.625
"P28","No sabe",0.07,0.043,0.032,0.086,0.232,0.339
"P29","Lo votaría",0.077,0.065,0.091,0.123,0.074,0.085
"P29","Puede que lo vote",0.281,0.247,0.084,0.203,0.039,0.118
"P29","Nunca lo votaría",0.543,0.561,0.779,0.58,0.652,0.478
"P29","No sabe",0.099,0.127,0.046,0.094,0.235,0.319
"P30","Lo votaría",0.047,0.046,0.385,0.053,0.033,0.023
"P30","Puede que lo vote",0.058,0.063,0.299,0.08,0.108,0.059
"P30","Nunca lo votaría",0.808,0.864,0.273,0.773,0.532,0.599
"P30","No sabe",0.087,0.027,0.043,0.094,0.327,0.319
"P31","Si",0.643,0.55,0.56,0.528,0.746,0.471
"P31","No",0.357,0.45,0.44,0.472,0.254,0.529
