"clase","Todos","Hombres","Mujeres","16-29 años","30-49 años","50-64 años","65+ años","Hasta primario completo","Secundario completo/incompleto","Terciario completo/incompleto","Fernández","Macri","Lavagna","GBA","Interior"
"Néstor Grindetti a gobernador y Fernando Burlando a vicegobernador por Juntos por el Cambio.",0.131,0.122,0.139,0.101,0.123,0.136,0.179,0.117,0.139,0.135,0.075,0.214,0.053,0.126,0.14
"Diego Santilli a gobernador y su candidato a vicegobernador por Juntos por el Cambio.",0.216,0.181,0.248,0.131,0.198,0.267,0.29,0.187,0.223,0.239,0.073,0.434,0.367,0.221,0.205
"Axel Kicillof a gobernador y Verónica Magario a vicegobernadora por el Frente de Todos.",0.329,0.308,0.349,0.265,0.359,0.331,0.337,0.319,0.309,0.377,0.618,0.091,0.183,0.342,0.304
"A Guillermo Britos a gobernador y su candidato a vicegobernador por La Libertad Avanza.",0.169,0.242,0.101,0.301,0.162,0.131,0.075,0.208,0.15,0.152,0.114,0.165,0.136,0.15,0.206
"A los candidatos a gobernador y vicegobernador por el Frente de Izquierda.",0.03,0.04,0.021,0.054,0.03,0.016,0.02,0.039,0.028,0.023,0.016,0.007,0.112,0.029,0.033
"No sabe",0.125,0.107,0.142,0.148,0.128,0.119,0.099,0.13,0.151,0.074,0.104,0.089,0.149,0.132,0.112
