"var","categoria","Néstor Grindetti a gobernador y Maximiliano Abad a vicegobernador por Juntos por el Cambio.","Diego Santilli a gobernador y su candidato a vicegobernador por Juntos por el Cambio.","Axel Kicillof a gobernador y Malena Galmarini a vicegobernadora por el Frente de Todos.","A Guillermo Britos a gobernador y su candidato a vicegobernador por La Libertad Avanza.","A los candidatos a gobernador y vicegobernador por el Frente de Izquierda.","No sabe"
"P04","Siempre",0.229,0.19,0.227,0.177,0.156,0.127
"P04","Casi siempre",0.432,0.458,0.403,0.31,0.364,0.398
"P04","Casi nunca",0.279,0.307,0.309,0.362,0.388,0.335
"P04","Nunca, pero esta es una excepción",0.06,0.045,0.061,0.151,0.092,0.14
"P05","Mucho",0.371,0.286,0.499,0.329,0.5,0.188
"P05","Bastante",0.428,0.383,0.29,0.384,0.077,0.301
"P05","Poco",0.176,0.247,0.169,0.196,0.257,0.258
"P05","Nada",0.025,0.068,0.033,0.087,0.095,0.203
"P05","No sabe",0,0.016,0.009,0.004,0.071,0.05
"P07","Néstor Grindetti a gobernador y Maximiliano Abad a vicegobernador por Juntos por el Cambio.",0.655,0.142,0.049,0.062,0.005,0.1
"P07","Diego Santilli a gobernador y su candidato a vicegobernador por Juntos por el Cambio.",0.107,0.684,0.027,0.041,0.03,0.024
"P07","Axel Kicillof a gobernador y Verónica Magario a vicegobernadora por el Frente de Todos.",0.096,0.069,0.866,0.065,0.142,0.227
"P07","A Guillermo Britos a gobernador y su candidato a vicegobernador por La Libertad Avanza.",0.067,0.032,0.028,0.746,0.09,0.048
"P07","A los candidatos a gobernador y vicegobernador por el Frente de Izquierda.",0.029,0.011,0.005,0.015,0.602,0.006
"P07","No sabe",0.046,0.062,0.025,0.071,0.131,0.595
"P10","Néstor Grindetti a gobernador y Joaquín De La Torre a vicegobernador por Juntos por el Cambio.",0.597,0.13,0.074,0.082,0.031,0.083
"P10","Diego Santilli a gobernador y su candidato a vicegobernador por Juntos por el Cambio.",0.148,0.695,0.065,0.071,0.042,0.061
"P10","Axel Kicillof a gobernador y Verónica Magario a vicegobernadora por el Frente de Todos.",0.104,0.095,0.799,0.108,0.123,0.17
"P10","A Guillermo Britos a gobernador y su candidato a vicegobernador por La Libertad Avanza.",0.11,0.056,0.036,0.676,0.025,0.048
"P10","A los candidatos a gobernador y vicegobernador por el Frente de Izquierda.",0.008,0.004,0.007,0.006,0.632,0.003
"P10","No sabe",0.033,0.02,0.019,0.057,0.147,0.635
"P13","Néstor Grindetti a gobernador y Fernando Burlando a vicegobernador por Juntos por el Cambio.",0.423,0.12,0.051,0.089,0.08,0.057
"P13","Diego Santilli a gobernador y su candidato a vicegobernador por Juntos por el Cambio.",0.234,0.721,0.038,0.078,0,0.034
"P13","Axel Kicillof a gobernador y Verónica Magario a vicegobernadora por el Frente de Todos.",0.108,0.08,0.861,0.063,0.103,0.181
"P13","A Guillermo Britos a gobernador y su candidato a vicegobernador por La Libertad Avanza.",0.134,0.059,0.036,0.733,0.096,0.028
"P13","A los candidatos a gobernador y vicegobernador por el Frente de Izquierda.",0.002,0.007,0.004,0.002,0.642,0.009
"P13","No sabe",0.099,0.013,0.01,0.035,0.079,0.691
"P19","Néstor Grindetti a gobernador y Joaquín De La Torre a vicegobernador por Juntos por el Cambio.",0.584,0.142,0.045,0.079,0.008,0.062
"P19","Diego Santilli a gobernador y su candidato a vicegobernador por Juntos por el Cambio.",0.131,0.68,0.048,0.074,0,0.044
"P19","Axel Kicillof a gobernador y Malena Galmarini a vicegobernadora por el Frente de Todos.",0.097,0.086,0.793,0.041,0.012,0.078
"P19","A Guillermo Britos a gobernador y su candidato a vicegobernador por La Libertad Avanza.",0.115,0.056,0.079,0.765,0.132,0.006
"P19","A los candidatos a gobernador y vicegobernador por el Frente de Izquierda.",0.005,0.007,0.004,0.001,0.808,0.002
"P19","No sabe",0.068,0.029,0.031,0.04,0.04,0.808
"P22","Lo votaría",0.636,0.165,0.061,0.153,0.06,0.047
"P22","Puede que lo vote",0.162,0.28,0.045,0.171,0.1,0.195
"P22","Nunca lo votaría",0.114,0.356,0.77,0.446,0.593,0.419
"P22","No sabe",0.088,0.199,0.124,0.23,0.247,0.339
"P23","Lo votaría",0.262,0.676,0.042,0.061,0.046,0.041
"P23","Puede que lo vote",0.418,0.166,0.057,0.188,0.084,0.137
"P23","Nunca lo votaría",0.25,0.116,0.822,0.607,0.624,0.467
"P23","No sabe",0.07,0.042,0.079,0.144,0.246,0.355
"P24","Lo votaría",0.151,0.129,0.814,0.092,0.114,0.19
"P24","Puede que lo vote",0.094,0.046,0.045,0.03,0.199,0.06
"P24","Nunca lo votaría",0.737,0.809,0.127,0.842,0.464,0.554
"P24","No sabe",0.018,0.016,0.014,0.036,0.223,0.196
"P25","Lo votaría",0.106,0.024,0.077,0.474,0.106,0.032
"P25","Puede que lo vote",0.211,0.189,0.04,0.187,0.129,0.034
"P25","Nunca lo votaría",0.53,0.611,0.805,0.253,0.611,0.528
"P25","No sabe",0.153,0.176,0.078,0.086,0.154,0.406
"P26","Lo votaría",0.227,0.06,0.038,0.101,0,0.009
"P26","Puede que lo vote",0.246,0.233,0.032,0.17,0.115,0.048
"P26","Nunca lo votaría",0.317,0.467,0.832,0.485,0.541,0.469
"P26","No sabe",0.21,0.24,0.098,0.244,0.344,0.474
"P27","Lo votaría",0.212,0.061,0.014,0.022,0.023,0.006
"P27","Puede que lo vote",0.283,0.218,0.033,0.103,0.119,0.05
"P27","Nunca lo votaría",0.26,0.45,0.836,0.56,0.504,0.469
"P27","No sabe",0.245,0.271,0.117,0.315,0.354,0.475
"P28","Lo votaría",0.084,0.069,0.56,0.054,0.136,0.091
"P28","Puede que lo vote",0.086,0.075,0.212,0.054,0.022,0.061
"P28","Nunca lo votaría",0.775,0.816,0.191,0.755,0.609,0.589
"P28","No sabe",0.055,0.04,0.037,0.137,0.233,0.259
"P29","Lo votaría",0.099,0.098,0.067,0.117,0.139,0.052
"P29","Puede que lo vote",0.277,0.253,0.09,0.195,0.026,0.12
"P29","Nunca lo votaría",0.543,0.516,0.799,0.563,0.59,0.56
"P29","No sabe",0.081,0.133,0.044,0.125,0.245,0.268
