"var","categoria","Néstor Grindetti a gobernador y Fernando Burlando a vicegobernador por Juntos por el Cambio.","Diego Santilli a gobernador y su candidato a vicegobernador por Juntos por el Cambio.","Axel Kicillof a gobernador y Verónica Magario a vicegobernadora por el Frente de Todos.","A Guillermo Britos a gobernador y su candidato a vicegobernador por La Libertad Avanza.","A los candidatos a gobernador y vicegobernador por el Frente de Izquierda.","No sabe"
"P04","Siempre",0.234,0.198,0.236,0.184,0.135,0.115
"P04","Casi siempre",0.386,0.43,0.403,0.32,0.349,0.346
"P04","Casi nunca",0.3,0.322,0.303,0.36,0.501,0.333
"P04","Nunca, pero esta es una excepción",0.08,0.05,0.058,0.136,0.015,0.206
"P05","Mucho",0.359,0.29,0.497,0.371,0.447,0.104
"P05","Bastante",0.335,0.426,0.276,0.323,0.15,0.349
"P05","Poco",0.233,0.238,0.181,0.19,0.251,0.267
"P05","Nada",0.068,0.046,0.039,0.106,0.015,0.202
"P05","No sabe",0.005,0,0.007,0.01,0.137,0.078
"P07","Néstor Grindetti a gobernador y Maximiliano Abad a vicegobernador por Juntos por el Cambio.",0.599,0.186,0.041,0.072,0.015,0.187
"P07","Diego Santilli a gobernador y su candidato a vicegobernador por Juntos por el Cambio.",0.107,0.693,0.023,0.035,0.051,0.011
"P07","Axel Kicillof a gobernador y Verónica Magario a vicegobernadora por el Frente de Todos.",0.084,0.039,0.889,0.081,0.08,0.056
"P07","A Guillermo Britos a gobernador y su candidato a vicegobernador por La Libertad Avanza.",0.103,0.018,0.024,0.728,0.008,0.064
"P07","A los candidatos a gobernador y vicegobernador por el Frente de Izquierda.",0.011,0.016,0.006,0.026,0.731,0.011
"P07","No sabe",0.096,0.048,0.017,0.058,0.115,0.671
"P10","Néstor Grindetti a gobernador y Joaquín De La Torre a vicegobernador por Juntos por el Cambio.",0.497,0.172,0.062,0.096,0.009,0.161
"P10","Diego Santilli a gobernador y su candidato a vicegobernador por Juntos por el Cambio.",0.158,0.655,0.082,0.082,0.044,0.021
"P10","Axel Kicillof a gobernador y Verónica Magario a vicegobernadora por el Frente de Todos.",0.107,0.07,0.811,0.129,0.027,0.017
"P10","A Guillermo Britos a gobernador y su candidato a vicegobernador por La Libertad Avanza.",0.165,0.082,0.027,0.627,0.045,0.077
"P10","A los candidatos a gobernador y vicegobernador por el Frente de Izquierda.",0.002,0.001,0.004,0.015,0.768,0.003
"P10","No sabe",0.071,0.02,0.014,0.051,0.107,0.721
"P16","Néstor Grindetti a gobernador y Maximiliano Abad a vicegobernador por Juntos por el Cambio.",0.518,0.178,0.054,0.13,0.015,0.133
"P16","Diego Santilli a gobernador y su candidato a vicegobernador por Juntos por el Cambio.",0.185,0.69,0.05,0.072,0.055,0.023
"P16","Axel Kicillof a gobernador y Malena Galmarini a vicegobernadora por el Frente de Todos.",0.113,0.053,0.781,0.063,0.04,0.025
"P16","A Guillermo Britos a gobernador y su candidato a vicegobernador por La Libertad Avanza.",0.106,0.058,0.03,0.693,0.012,0.046
"P16","A los candidatos a gobernador y vicegobernador por el Frente de Izquierda.",0.021,0,0.011,0.02,0.836,0.023
"P16","No sabe",0.057,0.021,0.074,0.022,0.042,0.75
"P19","Néstor Grindetti a gobernador y Joaquín De La Torre a vicegobernador por Juntos por el Cambio.",0.587,0.193,0.038,0.082,0.034,0.135
"P19","Diego Santilli a gobernador y su candidato a vicegobernador por Juntos por el Cambio.",0.14,0.672,0.052,0.064,0,0.016
"P19","Axel Kicillof a gobernador y Malena Galmarini a vicegobernadora por el Frente de Todos.",0.096,0.027,0.784,0.071,0.019,0.016
