"clase","Todos","Hombres","Mujeres","16-29 años","30-49 años","50-64 años","65+ años","Hasta primario completo","Secundario completo/incompleto","Terciario completo/incompleto","Figueroa","Koopmam","Rioseco","Cervi","Eguìa","Jure"
"Norma Sepulveda por el MPN",0.318,0.33,0.305,0.276,0.403,0.14,0.289,0.299,0.355,0.233,0.252,0.586,0.049,0.208,0.577,0.518
"Walter Erdozain por el Frente Provincial ",0.196,0.223,0.167,0.141,0.199,0.362,0.155,0.204,0.205,0.144,0.251,0.273,0.255,0,0,0
"No sabe",0.486,0.447,0.528,0.583,0.398,0.498,0.556,0.497,0.44,0.623,0.497,0.141,0.696,0.792,0.423,0.482
