"var","categoria","Norma Sepulveda por el MPN","Walter Erdozain por el Frente Provincial ","No sabe"
"P05","Mucho",0.239,0.378,0.211
"P05","Bastante",0.299,0.358,0.19
"P05","Poco",0.198,0.049,0.146
"P05","Nada",0.198,0.208,0.335
"P05","No sabe",0.066,0.007,0.118
"P08","Lo votaría",0.673,0.216,0.098
"P08","Puede que lo vote",0.236,0.082,0.116
"P08","Nunca lo votaría",0.073,0.563,0.427
"P08","No sabe",0.018,0.139,0.359
"P09","Lo votaría",0.048,0.847,0.07
"P09","Puede que lo vote",0.385,0.025,0.139
"P09","Nunca lo votaría",0.496,0.06,0.286
"P09","No sabe",0.071,0.068,0.505
"P10","Muy buena",0.205,0.494,0.166
"P10","Buena",0.203,0.155,0.123
"P10","Ni buena ni mala",0.393,0.259,0.297
"P10","Mala",0.042,0.058,0.098
"P10","Muy mala",0.049,0,0.092
"P10","No sabe",0.108,0.034,0.224
"P11","Muy buena",0.494,0.323,0.17
"P11","Buena",0.148,0.016,0.057
"P11","Ni buena ni mala",0.254,0.147,0.281
"P11","Mala",0.037,0.272,0.119
"P11","Muy mala",0,0.242,0.147
"P11","No sabe",0.067,0,0.226
"P12","Muy buena",0.396,0.153,0.084
"P12","Buena",0.301,0.127,0.104
"P12","Ni buena ni mala",0.196,0.382,0.267
"P12","Mala",0.018,0.155,0.086
"P12","Muy mala",0.02,0.162,0.216
"P12","No sabe",0.069,0.021,0.243
"P13","Si",0.305,0.495,0.088
"P13","No",0.695,0.505,0.912
