"var","categoria","Positiva","Neutra","Negativa","No sabe","Positiva","Neutra"
"P06_imputadas","Norma Sepulveda por el MPN",0.681,0.915,0.685,0.482,0.387,0.82
"P06_imputadas","Walter Erdozain por el Frente Provincial",0.319,0.085,0.315,0.518,0.613,0.18
