"clase","Opinión","Todos","Hombres","Mujeres","16-29 años","30-49 años","50-64 años","65+ años","Hasta primario completo","Secundario completo/incompleto","Terciario completo/incompleto","Figueroa","Koopmam","Rioseco","Cervi","Eguìa","Jure"
"Rolo Figueroa","Muy buena",0.241,0.281,0.197,0.214,0.248,0.309,0.198,0.331,0.206,0.114,0.528,0.244,0.042,0,0,0
"Rolo Figueroa","Buena",0.156,0.123,0.194,0.147,0.168,0.144,0.143,0.126,0.202,0.069,0.158,0.283,0.047,0,0,0
"Rolo Figueroa","Ni buena ni mala",0.322,0.337,0.305,0.254,0.365,0.406,0.176,0.273,0.351,0.353,0.252,0.26,0.439,0.647,0.79,0.512
"Rolo Figueroa","Mala",0.072,0.055,0.09,0.068,0.067,0.087,0.122,0.068,0.057,0.137,0,0.061,0.142,0,0.21,0.159
"Rolo Figueroa","Muy mala",0.06,0.074,0.044,0.111,0.039,0,0,0.016,0.098,0.042,0,0.04,0.162,0,0,0.27
"Rolo Figueroa","No sabe",0.149,0.13,0.17,0.206,0.113,0.054,0.361,0.186,0.086,0.285,0.062,0.112,0.168,0.353,0,0.059
"Guillermo Pereyra","Muy buena",0.206,0.273,0.13,0.189,0.255,0.059,0.279,0.328,0.13,0.137,0.228,0.383,0.15,0,0,0.137
"Guillermo Pereyra","Buena",0.177,0.179,0.175,0.192,0.179,0.163,0.022,0.189,0.209,0.02,0.245,0.257,0.049,0,0,0
"Guillermo Pereyra","Ni buena ni mala",0.264,0.192,0.346,0.295,0.224,0.365,0.086,0.169,0.347,0.228,0.284,0.209,0.144,0.443,0.609,0.296
"Guillermo Pereyra","Mala",0.076,0.098,0.051,0,0.107,0.182,0.085,0.066,0.078,0.095,0.044,0.022,0.295,0,0.391,0.129
"Guillermo Pereyra","Muy mala",0.137,0.138,0.136,0.17,0.114,0.106,0.216,0.088,0.115,0.366,0.082,0.105,0.263,0.557,0,0.438
"Guillermo Pereyra","No sabe",0.14,0.12,0.162,0.154,0.121,0.125,0.312,0.16,0.121,0.154,0.117,0.024,0.099,0,0,0
"Marcelo Rucci","Muy buena",0.312,0.405,0.207,0.371,0.324,0.091,0.319,0.506,0.211,0.131,0.359,0.499,0.149,0,0,0.136
"Marcelo Rucci","Buena",0.08,0.101,0.057,0.077,0.087,0.074,0.044,0.065,0.103,0.037,0.077,0.059,0.108,0,0,0
"Marcelo Rucci","Ni buena ni mala",0.246,0.125,0.382,0.274,0.22,0.303,0.063,0.145,0.322,0.25,0.305,0.226,0.099,0,0.608,0.283
"Marcelo Rucci","Mala",0.12,0.123,0.117,0,0.162,0.32,0.129,0.081,0.143,0.147,0.084,0.09,0.278,0.569,0.392,0.306
"Marcelo Rucci","Muy mala",0.114,0.104,0.126,0.169,0.059,0.149,0.13,0.053,0.127,0.246,0.051,0.102,0.267,0,0,0.275
"Marcelo Rucci","No sabe",0.128,0.142,0.111,0.109,0.148,0.063,0.315,0.15,0.094,0.189,0.124,0.024,0.099,0.431,0,0
